book,sym,day,wd,dte,arm,dwell,entry_hm,exit_cfg,sl,K_spot,K_used,spot0,forward,fwd_gap,strike_changed,ce0,pe0,credit,skew,ba_pct,exit_hm,exit_comb,reason,spot_exit,idx_move_pct,gross_lot,net_lot,lot
COMB_NIFTY,NIFTY,2026-04-20,0,1,A,2,13:56,15:20,30,24400,24400,24379.85,24361.35,-18.5,0,116.0,154.65,270.65,-38.65,0.123,15:20,276.9,TIME_EXIT,24325.45,-0.2231,-406,-656,65
COMB_NIFTY,NIFTY,2026-04-20,0,1,A,0,13:56,15:20,30,24400,24400,24379.85,24361.35,-18.5,0,116.0,154.65,270.65,-38.65,0.123,15:20,276.9,TIME_EXIT,24325.45,-0.2231,-406,-656,65
COMB_NIFTY,NIFTY,2026-04-20,0,1,B,2,13:56,15:20,30,24400,24350,24379.85,24361.35,-18.5,1,142.1,129.9,272.0,12.2,0.239,15:20,269.35,TIME_EXIT,24325.45,-0.2231,172,-78,65
COMB_NIFTY,NIFTY,2026-04-20,0,1,B,0,13:56,15:20,30,24400,24350,24379.85,24361.35,-18.5,1,142.1,129.9,272.0,12.2,0.239,15:20,269.35,TIME_EXIT,24325.45,-0.2231,172,-78,65
TIMEB_NIFTY,NIFTY,2026-04-20,0,1,A,2,13:56,14:00,20,24400,24400,24379.85,24361.35,-18.5,0,116.0,154.65,270.65,-38.65,0.123,14:00,266.05,TIME_EXIT,24395.35,0.0636,299,49,65
TIMEB_NIFTY,NIFTY,2026-04-20,0,1,A,0,13:56,14:00,20,24400,24400,24379.85,24361.35,-18.5,0,116.0,154.65,270.65,-38.65,0.123,14:00,266.05,TIME_EXIT,24395.35,0.0636,299,49,65
TIMEB_NIFTY,NIFTY,2026-04-20,0,1,B,2,13:56,14:00,20,24400,24350,24379.85,24361.35,-18.5,1,142.1,129.9,272.0,12.2,0.239,14:00,268.7,TIME_EXIT,24395.35,0.0636,214,-36,65
TIMEB_NIFTY,NIFTY,2026-04-20,0,1,B,0,13:56,14:00,20,24400,24350,24379.85,24361.35,-18.5,1,142.1,129.9,272.0,12.2,0.239,14:00,268.7,TIME_EXIT,24395.35,0.0636,214,-36,65
COMB_NIFTY,NIFTY,2026-04-27,0,1,A,2,09:20,15:20,30,24000,24000,24020.35,24055.45,35.1,0,150.6,95.15,245.75,55.45,0.264,15:20,215.25,TIME_EXIT,24079.8,0.2475,1982,1732,65
COMB_NIFTY,NIFTY,2026-04-27,0,1,A,0,09:20,15:20,30,24000,24000,24020.35,24055.45,35.1,0,150.6,95.15,245.75,55.45,0.264,15:20,215.25,TIME_EXIT,24079.8,0.2475,1982,1732,65
