variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,INDUSINDBK,2024-03-18,LONG,2024-03-18T10:30:00,1486.25,1475.10,1502.97,201,11.15,2024-03-18T11:00:00,1479.60,REVERSE,-1336.65,-1783.75
baseline,INDUSINDBK,2024-03-20,LONG,2024-03-20T13:00:00,1456.80,1445.07,1474.39,205,11.73,2024-03-20T14:30:00,1445.07,STOP,-2404.51,-2850.67
baseline,INDUSINDBK,2024-04-01,SHORT,2024-04-01T14:30:00,1549.25,1556.86,1537.83,193,7.61,2024-04-01T15:30:00,1542.95,EOD,1215.90,768.30
baseline,INDUSINDBK,2024-04-02,LONG,2024-04-02T10:30:00,1567.50,1558.75,1580.62,191,8.75,2024-04-02T12:30:00,1565.45,TIME_STOP,-391.55,-840.35
baseline,INDUSINDBK,2024-04-04,LONG,2024-04-04T14:30:00,1541.30,1533.02,1553.72,194,8.28,2024-04-04T15:30:00,1545.00,EOD,717.80,268.74
baseline,INDUSINDBK,2024-04-10,SHORT,2024-04-10T14:30:00,1554.55,1561.12,1544.69,192,6.57,2024-04-10T15:30:00,1549.95,EOD,883.20,436.15
baseline,INDUSINDBK,2024-04-12,LONG,2024-04-12T11:30:00,1560.80,1553.08,1572.38,192,7.72,2024-04-12T12:30:00,1553.08,STOP,-1482.57,-1930.97
baseline,INDUSINDBK,2024-04-19,LONG,2024-04-19T14:30:00,1483.10,1472.11,1499.59,202,10.99,2024-04-19T15:30:00,1483.00,EOD,-20.20,-469.56
baseline,INDUSINDBK,2024-04-22,SHORT,2024-04-22T13:30:00,1477.25,1486.82,1462.90,203,9.57,2024-04-22T15:30:00,1480.95,TIME_STOP,-751.10,-1201.49
baseline,INDUSINDBK,2024-04-23,LONG,2024-04-23T13:30:00,1480.00,1472.50,1491.25,202,7.50,2024-04-23T14:00:00,1477.70,REVERSE,-464.60,-912.69
baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:30:00,1483.50,1476.58,1493.88,202,6.92,2024-04-25T11:00:00,1476.58,STOP,-1398.27,-1846.73
baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T11:00:00,1473.90,1483.96,1458.81,203,10.06,2024-04-26T13:00:00,1473.45,TIME_STOP,91.35,-357.38
baseline,INDUSINDBK,2024-04-29,LONG,2024-04-29T11:00:00,1481.80,1471.44,1497.34,202,10.36,2024-04-29T13:00:00,1475.80,TIME_STOP,-1212.00,-1660.08
baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T12:00:00,1495.30,1506.07,1479.14,200,10.77,2024-05-03T13:00:00,1479.14,TARGET,3231.02,2784.85
baseline,INDUSINDBK,2024-05-06,LONG,2024-05-06T10:30:00,1498.50,1486.59,1516.37,200,11.91,2024-05-06T12:30:00,1495.00,TIME_STOP,-700.00,-1149.03
baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T12:30:00,1415.80,1424.08,1403.38,211,8.28,2024-05-15T14:30:00,1409.30,TIME_STOP,1371.50,924.43
baseline,INDUSINDBK,2024-05-17,LONG,2024-05-17T11:30:00,1407.40,1398.56,1420.67,213,8.84,2024-05-17T12:30:00,1406.40,EOD_FORCED,-213.00,-662.50
baseline,INDUSINDBK,2024-05-28,SHORT,2024-05-28T13:00:00,1460.85,1469.31,1448.16,205,8.46,2024-05-28T13:00:00,1464.55,REVERSE,-758.50,-1208.28
baseline,INDUSINDBK,2024-05-31,LONG,2024-05-31T14:30:00,1461.25,1453.16,1473.39,205,8.09,2024-05-31T14:30:00,1453.16,STOP,-1659.25,-2107.34
baseline,INDUSINDBK,2024-06-04,SHORT,2024-06-04T11:30:00,1399.35,1419.40,1369.28,124,20.05,2024-06-04T11:30:00,1419.40,STOP,-2485.85,-2747.99
baseline,INDUSINDBK,2024-06-05,LONG,2024-06-05T12:00:00,1436.70,1411.64,1474.29,99,25.06,2024-06-05T13:30:00,1474.29,TARGET,3721.43,3505.29
baseline,INDUSINDBK,2024-06-07,LONG,2024-06-07T12:00:00,1487.00,1473.21,1507.68,181,13.79,2024-06-07T14:00:00,1492.90,TIME_STOP,1067.90,663.38
baseline,INDUSINDBK,2024-06-21,SHORT,2024-06-21T14:00:00,1527.40,1535.25,1515.62,196,7.85,2024-06-21T14:00:00,1531.60,REVERSE,-823.20,-1272.87
baseline,INDUSINDBK,2024-06-25,LONG,2024-06-25T14:30:00,1495.00,1487.18,1506.73,200,7.82,2024-06-25T15:30:00,1495.00,EOD,0.00,-448.50
baseline,INDUSINDBK,2024-06-26,LONG,2024-06-26T10:30:00,1497.30,1488.16,1511.01,200,9.14,2024-06-26T11:30:00,1511.01,TARGET,2741.06,2289.81
baseline,INDUSINDBK,2024-07-03,LONG,2024-07-03T13:00:00,1447.00,1438.88,1459.18,207,8.12,2024-07-03T15:00:00,1456.55,TIME_STOP,1976.85,1526.07
baseline,INDUSINDBK,2024-07-04,SHORT,2024-07-04T11:30:00,1438.15,1446.15,1426.15,208,8.00,2024-07-04T13:30:00,1439.60,TIME_STOP,-301.60,-750.53
baseline,INDUSINDBK,2024-07-09,SHORT,2024-07-09T10:30:00,1432.65,1439.67,1422.12,209,7.02,2024-07-09T12:30:00,1432.50,TIME_STOP,31.35,-417.76
baseline,INDUSINDBK,2024-07-16,SHORT,2024-07-16T10:30:00,1437.25,1443.66,1427.63,208,6.41,2024-07-16T12:00:00,1443.66,STOP,-1333.98,-1783.41
baseline,INDUSINDBK,2024-07-19,SHORT,2024-07-19T10:30:00,1444.60,1451.53,1434.21,207,6.93,2024-07-19T11:00:00,1434.21,TARGET,2150.25,1703.31
baseline,INDUSINDBK,2024-07-26,LONG,2024-07-26T11:00:00,1388.10,1379.30,1401.29,216,8.80,2024-07-26T12:30:00,1401.29,TARGET,2849.97,2398.09
baseline,INDUSINDBK,2024-07-31,SHORT,2024-07-31T11:30:00,1419.70,1427.22,1408.43,211,7.52,2024-07-31T11:30:00,1422.20,REVERSE,-527.50,-977.23
baseline,INDUSINDBK,2024-08-08,LONG,2024-08-08T14:30:00,1350.20,1341.59,1363.11,222,8.61,2024-08-08T15:30:00,1348.00,EOD,-488.40,-937.65
baseline,INDUSINDBK,2024-08-09,SHORT,2024-08-09T13:00:00,1344.70,1352.14,1333.54,223,7.44,2024-08-09T15:00:00,1348.00,TIME_STOP,-735.90,-1186.25
baseline,INDUSINDBK,2024-08-12,LONG,2024-08-12T11:30:00,1353.25,1345.45,1364.95,221,7.80,2024-08-12T13:30:00,1353.55,TIME_STOP,66.30,-382.35
