symbol,tf,signal,policy,cagr,calmar,maxdd,bh_cagr,bh_calmar,bh_maxdd,null_cagr_med,null_calmar_med,null_maxdd_med,pct_cagr,pct_calmar,n_draws,time_in_mkt,n_trades
ACC,60min,EMA_9_21,long_flat,0.032309,0.0889,-0.363402,-0.020398,-0.036,-0.566903,-0.039257,-0.0709,-0.561283,0.985,0.99,200,0.5045,355
ACC,60min,EMA_10_30,long_flat,0.020018,0.0509,-0.393009,-0.020398,-0.036,-0.566903,-0.039524,-0.0702,-0.550377,0.915,0.925,200,0.5082,293
ACC,60min,EMA_20_50,long_flat,-0.050814,-0.087,-0.583776,-0.020398,-0.036,-0.566903,-0.017292,-0.0326,-0.52074,0.2,0.2,200,0.5139,187
ACC,60min,EMA_50_200,long_flat,-0.020965,-0.0419,-0.499936,-0.020398,-0.036,-0.566903,0.013394,0.0282,-0.467164,0.23,0.22,200,0.4651,59
ACC,60min,ST_7_3.0,long_flat,0.041821,0.1294,-0.323183,-0.020398,-0.036,-0.566903,-0.021196,-0.0397,-0.524017,0.95,0.96,200,0.5222,232
ACC,60min,ST_7_2.5,long_flat,0.032801,0.0929,-0.353244,-0.020398,-0.036,-0.566903,-0.034498,-0.0624,-0.572058,0.975,0.985,200,0.5186,299
ACC,60min,ST_10_5.0,long_flat,-0.028052,-0.0552,-0.508464,-0.020398,-0.036,-0.566903,-0.001961,-0.0047,-0.491519,0.26,0.265,200,0.5015,124
ACC,60min,MST_7_5.0_7_2.0,long_flat,-0.033424,-0.0688,-0.485573,-0.020398,-0.036,-0.566903,0.000239,0.0006,-0.483454,0.23,0.185,200,0.5021,128
ACC,60min,MST_7_6.0_7_2.0,long_flat,-0.0491,-0.0936,-0.524655,-0.020398,-0.036,-0.566903,0.000551,0.0011,-0.489175,0.14,0.105,200,0.504,102
ADANIPORTS,60min,EMA_9_21,long_flat,0.026924,0.0559,-0.48179,0.158325,0.279,-0.567523,0.041845,0.0705,-0.58073,0.44,0.445,200,0.5468,381
ADANIPORTS,60min,EMA_10_30,long_flat,0.046882,0.1071,-0.437914,0.158325,0.279,-0.567523,0.058287,0.1083,-0.546307,0.44,0.5,200,0.5542,312
ADANIPORTS,60min,EMA_20_50,long_flat,0.071588,0.1623,-0.441062,0.158325,0.279,-0.567523,0.082818,0.1538,-0.553457,0.435,0.53,200,0.5541,165
ADANIPORTS,60min,EMA_50_200,long_flat,0.101997,0.2282,-0.446887,0.158325,0.279,-0.567523,0.105769,0.1978,-0.567523,0.455,0.645,200,0.5898,44
ADANIPORTS,60min,ST_7_3.0,long_flat,-0.005247,-0.0086,-0.607918,0.158325,0.279,-0.567523,0.065503,0.1263,-0.547093,0.13,0.13,200,0.5517,257
ADANIPORTS,60min,ST_7_2.5,long_flat,0.030448,0.055,-0.553878,0.158325,0.279,-0.567523,0.047756,0.0808,-0.562726,0.395,0.41,200,0.5363,323
ADANIPORTS,60min,ST_10_5.0,long_flat,0.093783,0.239,-0.392385,0.158325,0.279,-0.567523,0.091246,0.1757,-0.546601,0.525,0.71,200,0.5533,117
ADANIPORTS,60min,MST_7_5.0_7_2.0,long_flat,0.085683,0.216,-0.396743,0.158325,0.279,-0.567523,0.08012,0.152,-0.548019,0.52,0.695,200,0.5545,122
ADANIPORTS,60min,MST_7_6.0_7_2.0,long_flat,0.064015,0.1435,-0.445953,0.158325,0.279,-0.567523,0.085908,0.1606,-0.536581,0.32,0.42,200,0.5338,96
AFFLE,60min,EMA_9_21,long_flat,0.688343,2.0413,-0.337201,0.710352,1.1769,-0.603593,0.242491,0.5503,-0.483623,0.99,0.99,200,0.5095,222
AFFLE,60min,EMA_10_30,long_flat,0.73926,2.2308,-0.331385,0.710352,1.1769,-0.603593,0.366574,0.7038,-0.474199,1.0,1.0,200,0.5196,172
AFFLE,60min,EMA_20_50,long_flat,0.711231,1.8174,-0.391335,0.710352,1.1769,-0.603593,0.297668,0.6288,-0.486735,0.985,0.955,200,0.5313,105
