symbol,tf,signal,policy,cagr,calmar,maxdd,bh_cagr,bh_calmar,bh_maxdd,null_cagr_med,null_calmar_med,null_maxdd_med,pct_cagr,pct_calmar,n_draws,time_in_mkt,n_trades
ABFRL,60min,EMA_9_21,long_flat,-0.049778,-0.0697,-0.714628,-0.037011,-0.0462,-0.801253,-0.060449,-0.0822,-0.746799,0.565,0.56,200,0.4806,370
ABFRL,60min,EMA_10_30,long_flat,-0.012796,-0.0202,-0.634425,-0.037011,-0.0462,-0.801253,-0.048844,-0.0684,-0.750308,0.72,0.715,200,0.4832,306
ABFRL,60min,EMA_20_50,long_flat,-0.07127,-0.0925,-0.770453,-0.037011,-0.0462,-0.801253,-0.015823,-0.0215,-0.709129,0.205,0.21,200,0.4891,172
ABFRL,60min,EMA_50_200,long_flat,-0.075979,-0.1003,-0.757288,-0.037011,-0.0462,-0.801253,-0.001786,-0.0026,-0.695588,0.13,0.115,200,0.5033,56
ABFRL,60min,ST_7_3.0,long_flat,-0.00277,-0.0051,-0.546406,-0.037011,-0.0462,-0.801253,-0.037505,-0.0516,-0.746283,0.685,0.685,200,0.5483,227
ABFRL,60min,ST_7_2.5,long_flat,-0.027006,-0.0402,-0.671029,-0.037011,-0.0462,-0.801253,-0.055304,-0.0723,-0.769594,0.63,0.63,200,0.5414,299
ABFRL,60min,ST_10_5.0,long_flat,-0.018072,-0.0318,-0.567862,-0.037011,-0.0462,-0.801253,-0.016409,-0.0229,-0.734963,0.485,0.475,200,0.5492,111
ABFRL,60min,MST_7_5.0_7_2.0,long_flat,-0.08898,-0.1131,-0.786822,-0.037011,-0.0462,-0.801253,-0.022665,-0.0317,-0.737185,0.195,0.19,200,0.553,117
ABFRL,60min,MST_7_6.0_7_2.0,long_flat,-0.117337,-0.1392,-0.843054,-0.037011,-0.0462,-0.801253,-0.017041,-0.0234,-0.729672,0.04,0.05,200,0.5392,92
ADANIENT,60min,EMA_9_21,long_flat,0.300403,0.6588,-0.455971,0.28003,0.312,-0.897445,0.107489,0.1331,-0.848041,0.965,0.99,200,0.5365,358
ADANIENT,60min,EMA_10_30,long_flat,0.333779,0.7106,-0.469739,0.28003,0.312,-0.897445,0.11032,0.139,-0.855594,1.0,1.0,200,0.5453,262
ADANIENT,60min,EMA_20_50,long_flat,0.475096,0.9835,-0.483076,0.28003,0.312,-0.897445,0.142327,0.1921,-0.841393,1.0,1.0,200,0.5607,145
ADANIENT,60min,EMA_50_200,long_flat,0.416776,0.7607,-0.547909,0.28003,0.312,-0.897445,0.17194,0.2084,-0.85956,0.98,0.97,200,0.5862,47
ADANIENT,60min,ST_7_3.0,long_flat,0.346521,0.7117,-0.486922,0.28003,0.312,-0.897445,0.130155,0.1711,-0.844496,0.99,1.0,200,0.5446,228
ADANIENT,60min,ST_7_2.5,long_flat,0.3404,0.724,-0.470182,0.28003,0.312,-0.897445,0.113909,0.143,-0.827028,0.99,1.0,200,0.5437,294
ADANIENT,60min,ST_10_5.0,long_flat,0.367701,0.913,-0.40274,0.28003,0.312,-0.897445,0.145659,0.182,-0.86002,0.965,0.99,200,0.5521,102
ADANIENT,60min,MST_7_5.0_7_2.0,long_flat,0.318758,0.7618,-0.418419,0.28003,0.312,-0.897445,0.151028,0.1914,-0.862071,0.91,0.965,200,0.5671,107
ADANIENT,60min,MST_7_6.0_7_2.0,long_flat,0.407382,0.8397,-0.485157,0.28003,0.312,-0.897445,0.17214,0.2128,-0.854538,0.98,0.995,200,0.5579,83
ADANIPOWER,60min,EMA_9_21,long_flat,0.41545,0.9353,-0.444189,0.302351,0.4066,-0.743697,0.098612,0.1488,-0.692635,1.0,1.0,200,0.4848,359
ADANIPOWER,60min,EMA_10_30,long_flat,0.418744,0.8498,-0.492735,0.302351,0.4066,-0.743697,0.129433,0.1974,-0.660253,0.995,0.995,200,0.4943,282
ADANIPOWER,60min,EMA_20_50,long_flat,0.425229,0.7668,-0.554545,0.302351,0.4066,-0.743697,0.150259,0.2303,-0.668713,0.995,0.995,200,0.5057,158
ADANIPOWER,60min,EMA_50_200,long_flat,0.406618,0.8604,-0.472574,0.302351,0.4066,-0.743697,0.168604,0.2471,-0.693801,0.98,0.995,200,0.5488,38
ADANIPOWER,60min,ST_7_3.0,long_flat,0.435277,0.901,-0.483097,0.302351,0.4066,-0.743697,0.117575,0.1818,-0.672355,1.0,1.0,200,0.5126,239
ADANIPOWER,60min,ST_7_2.5,long_flat,0.422911,1.0132,-0.417385,0.302351,0.4066,-0.743697,0.126358,0.1953,-0.662428,1.0,1.0,200,0.5067,315
ADANIPOWER,60min,ST_10_5.0,long_flat,0.532724,0.992,-0.537042,0.302351,0.4066,-0.743697,0.168492,0.2507,-0.655002,1.0,1.0,200,0.5319,119
ADANIPOWER,60min,MST_7_5.0_7_2.0,long_flat,0.484041,0.86,-0.562849,0.302351,0.4066,-0.743697,0.157895,0.2361,-0.672194,0.995,0.995,200,0.5439,125
ADANIPOWER,60min,MST_7_6.0_7_2.0,long_flat,0.450925,0.8294,-0.543656,0.302351,0.4066,-0.743697,0.155934,0.2185,-0.675753,0.995,1.0,200,0.5678,102
ALKEM,60min,EMA_9_21,long_flat,-0.006771,-0.0131,-0.516374,0.143623,0.4737,-0.303196,0.026211,0.0673,-0.388205,0.175,0.19,200,0.5202,370
ALKEM,60min,EMA_10_30,long_flat,0.031294,0.083,-0.377249,0.143623,0.4737,-0.303196,0.045868,0.1227,-0.372246,0.37,0.375,200,0.5218,282
ALKEM,60min,EMA_20_50,long_flat,0.0639,0.1624,-0.393463,0.143623,0.4737,-0.303196,0.066693,0.2022,-0.329583,0.485,0.42,200,0.525,153
ALKEM,60min,EMA_50_200,long_flat,0.083565,0.2294,-0.364215,0.143623,0.4737,-0.303196,0.09495,0.2985,-0.307277,0.425,0.355,200,0.5339,48
ALKEM,60min,ST_7_3.0,long_flat,0.001325,0.0027,-0.493532,0.143623,0.4737,-0.303196,0.053384,0.1446,-0.363549,0.095,0.095,200,0.5412,203
ALKEM,60min,ST_7_2.5,long_flat,-0.024788,-0.0401,-0.6178,0.143623,0.4737,-0.303196,0.046949,0.1342,-0.352278,0.04,0.055,200,0.5299,258
ALKEM,60min,ST_10_5.0,long_flat,0.062209,0.2083,-0.29858,0.143623,0.4737,-0.303196,0.079571,0.2571,-0.315948,0.345,0.39,200,0.5424,92
