symbol,day_n,day_start,day_end,min5_n,min5_start,min5_end,med_tv_cr,split_flags,worst_gap,gap_dates
CHAMBLFERT,5363,2005-01-03,2026-09-11,185488,2015-02-02,2026-07-16,11.05,0,1.149,
CHENNPETRO,5364,2005-01-03,2026-09-15,189199,2015-02-02,2026-09-15,6.2,0,1.229,
CHOLAFIN,5364,2005-01-03,2026-09-15,184954,2015-02-02,2026-07-16,0.56,0,1.206,
CIPLA,5827,2003-01-27,2026-09-15,184973,2015-02-02,2026-07-16,61.6,0,1.247,
COALINDIA,1580,2010-11-04,2026-09-15,184974,2015-02-02,2026-07-16,93.42,0,1.213,
COFORGE,5364,2005-01-03,2026-09-15,184971,2015-02-02,2026-07-16,9.68,0,1.221,
COLPAL,5364,2005-01-03,2026-09-15,184975,2015-02-02,2026-07-16,22.78,0,1.243,
CONCOR,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,14.67,0,1.244,
COROMANDEL,5364,2005-01-03,2026-09-15,185483,2015-02-02,2026-07-16,3.7,0,1.249,
CRISIL,5363,2005-01-03,2026-09-11,185427,2015-02-02,2026-07-16,1.93,0,1.2,
CUB,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,4.35,0,1.334,
CUMMINSIND,5364,2005-01-03,2026-09-15,184973,2015-02-02,2026-07-16,16.11,0,1.225,
CYIENT,5364,2005-01-03,2026-09-15,185483,2015-02-02,2026-07-16,2.27,0,1.217,
DABUR,5364,2005-01-03,2026-09-15,184971,2015-02-02,2026-07-16,28.13,0,1.19,
DBCORP,4128,2010-01-06,2026-09-11,184831,2015-02-02,2026-07-16,1.07,0,1.181,
DCBBANK,4913,2006-10-27,2026-09-15,185488,2015-02-02,2026-07-16,12.25,0,1.139,
DCMSHRIRAM,5363,2005-01-03,2026-09-11,185470,2015-02-02,2026-07-16,1.93,0,1.248,
DEEPAKNTR,3916,2010-09-29,2026-09-15,185371,2015-02-02,2026-07-16,4.81,0,1.166,
DELTACORP,4658,2007-11-02,2026-09-11,185489,2015-02-02,2026-07-16,16.7,0,1.25,
DIVISLAB,5796,2003-03-12,2026-09-15,184972,2015-02-02,2026-07-16,29.07,0,1.203,
DLF,4743,2007-07-05,2026-09-15,188593,2015-02-02,2026-09-15,171.48,0,1.239,
DRREDDY,5845,2003-01-01,2026-09-15,184972,2015-02-02,2026-07-16,78.82,0,1.236,
ECLERX,4620,2007-12-31,2026-09-15,185394,2015-02-02,2026-07-16,2.24,0,1.219,
EDELWEISS,4631,2007-12-12,2026-09-15,185484,2015-02-02,2026-07-16,7.35,0,1.283,
EICHERMOT,5827,2003-01-27,2026-09-15,188594,2015-02-02,2026-09-15,5.38,0,1.247,
EIDPARRY,5364,2005-01-03,2026-09-15,185476,2015-02-02,2026-07-16,2.71,0,1.206,
EIHOTEL,5363,2005-01-03,2026-09-11,185352,2015-02-02,2026-07-16,1.51,0,1.197,
ELGIEQUIP,5364,2005-01-03,2026-09-15,184000,2015-02-02,2026-07-16,0.36,0,1.222,
EMAMILTD,4970,2006-08-03,2026-09-15,185489,2015-02-02,2026-07-16,9.6,0,1.247,
ENGINERSIN,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,8.93,0,1.202,
ESCORTS,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,22.22,0,1.16,
EXIDEIND,5364,2005-01-03,2026-09-15,185491,2015-02-02,2026-07-16,24.85,0,1.208,
FDC,5363,2005-01-03,2026-09-11,185189,2015-02-02,2026-07-16,0.97,0,1.201,
FEDERALBNK,5383,2005-01-03,2026-09-15,184973,2015-02-02,2026-07-16,39.48,0,1.246,
FINCABLES,5364,2005-01-03,2026-09-15,185487,2015-02-02,2026-07-16,1.8,0,1.224,
FINPIPE,5363,2005-01-03,2026-09-11,185441,2015-02-02,2026-07-16,1.68,0,1.198,
FORTIS,4784,2007-05-09,2026-09-15,185487,2015-02-02,2026-07-16,12.68,0,1.156,
FSL,4833,2007-02-22,2026-09-11,185488,2015-02-02,2026-07-16,8.77,0,1.2,
GAIL,5364,2005-01-03,2026-09-15,184973,2015-02-02,2026-07-16,29.46,0,1.207,
GARFIBRES,4792,2007-04-03,2026-09-11,184208,2015-02-02,2026-07-16,0.66,0,1.25,
GESHIP,5364,2005-01-03,2026-09-15,185417,2015-02-02,2026-07-16,6.59,0,1.176,
GHCL,5363,2005-01-03,2026-09-11,185473,2015-02-02,2026-07-16,3.94,0,1.241,
GICRE,2203,2017-10-25,2026-09-15,143547,2015-02-02,2026-07-16,8.98,0,1.135,
GILLETTE,5363,2005-01-03,2026-09-11,185258,2015-02-02,2026-07-16,1.46,0,1.234,
GLENMARK,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,35.31,0,1.237,
GMDCLTD,5364,2005-01-03,2026-09-15,185485,2015-02-02,2026-07-16,3.26,0,1.237,
GNFC,5364,2005-01-03,2026-09-15,185482,2015-02-02,2026-07-16,3.65,1,1.703,2008-10-28
GODFRYPHLP,5363,2005-01-03,2026-09-15,189093,2015-02-02,2026-09-15,1.67,0,1.22,
GODREJCP,5364,2005-01-03,2026-09-15,185490,2015-02-02,2026-07-16,22.72,0,1.237,
GODREJIND,5363,2005-01-03,2026-09-11,185488,2015-02-02,2026-07-16,8.37,0,1.2,
GODREJPROP,4130,2010-01-05,2026-09-15,184971,2015-02-02,2026-07-16,11.22,0,1.238,
GPPL,3958,2010-09-09,2026-09-11,185451,2015-02-02,2026-07-16,4.45,0,1.164,
GRANULES,5248,2005-06-20,2026-09-15,185488,2015-02-02,2026-07-16,10.61,0,1.205,
GRAPHITE,5364,2005-01-03,2026-09-15,185429,2015-02-02,2026-07-16,1.42,0,1.237,
GRASIM,5827,2003-01-27,2026-09-15,184967,2015-02-02,2026-07-16,33.02,0,1.222,
GRINDWELL,4943,2006-09-11,2026-09-11,183816,2015-02-02,2026-07-16,0.4,0,1.188,
GSFC,5363,2005-01-03,2026-09-11,185490,2015-02-02,2026-07-16,3.86,0,1.175,
GUJALKALI,5363,2005-01-03,2026-09-11,185443,2015-02-02,2026-07-16,2.03,0,1.229,
GULFOILLUB,2995,2014-07-31,2026-09-11,184325,2015-02-02,2026-07-16,1.28,0,1.214,
HATSUN,3023,2014-06-20,2026-09-11,183562,2015-02-02,2026-07-16,1.19,0,1.192,
HAVELLS,5364,2005-01-03,2026-09-15,184972,2015-02-02,2026-07-16,37.21,0,1.223,
HCLTECH,5827,2003-01-27,2026-09-15,188593,2015-02-02,2026-09-15,56.34,0,1.207,
HDFCBANK,5845,2003-01-01,2026-09-15,189685,2015-02-02,2026-09-15,84.81,0,1.205,
HDFCLIFE,2186,2017-11-17,2026-09-15,144698,2015-02-11,2026-09-15,172.13,0,1.108,
HEG,5353,2005-01-03,2026-08-28,185382,2015-02-02,2026-07-16,1.53,0,1.23,
HEIDELBERG,5363,2005-01-03,2026-09-11,185483,2015-02-02,2026-07-16,1.73,0,1.249,
HERITGFOOD,5362,2005-01-03,2026-09-11,185314,2015-02-02,2026-07-16,0.97,0,1.24,
HEROMOTOCO,5827,2003-01-27,2026-09-15,184972,2015-02-02,2026-07-16,83.34,0,1.322,
