symbol,day_n,day_start,day_end,min5_n,min5_start,min5_end,med_tv_cr,split_flags,worst_gap,gap_dates
M&M,5845,2003-01-01,2026-09-15,184972,2015-02-02,2026-07-16,114.93,0,1.198,
M&MFIN,5065,2006-03-17,2026-09-15,185490,2015-02-02,2026-07-16,39.83,0,1.221,
MAHABANK,5364,2005-01-03,2026-09-15,185478,2015-02-02,2026-07-16,1.06,0,1.249,
MANAPPURAM,4010,2010-06-30,2026-09-15,185488,2015-02-02,2026-07-16,40.74,0,1.189,
MARICO,5364,2005-01-03,2026-09-15,184972,2015-02-02,2026-07-16,22.57,0,1.211,
MARUTI,5716,2003-07-09,2026-09-15,184972,2015-02-02,2026-07-16,191.7,0,1.218,
MCX,3588,2012-03-09,2026-09-15,184971,2015-02-02,2026-07-16,35.73,0,1.246,
MFSL,5314,2005-01-03,2026-09-15,185479,2015-02-02,2026-07-16,12.94,1,4.596,2007-03-12
MHRIL,4243,2009-07-16,2026-09-11,185294,2015-02-02,2026-07-16,1.5,0,1.209,
MINDACORP,3258,2012-03-19,2026-09-11,185293,2015-02-02,2026-07-16,4.64,0,1.238,
MOIL,3891,2010-12-15,2026-09-11,185488,2015-02-02,2026-07-16,3.66,0,1.145,
MOTILALOFS,4696,2007-09-11,2026-09-15,185337,2015-02-02,2026-07-16,3.45,0,1.247,
MPHASIS,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,11.8,0,1.328,
MRF,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,26.6,0,1.156,
MRPL,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,6.13,0,1.238,
MUTHOOTFIN,3796,2011-05-06,2026-09-15,184967,2015-02-02,2026-07-16,40.44,0,1.2,
NATCOPHARM,5364,2005-01-03,2026-09-15,185487,2015-02-02,2026-07-16,7.45,0,1.249,
NATIONALUM,5364,2005-01-03,2026-09-15,185493,2015-02-02,2026-07-16,13.71,0,1.221,
NAUKRI,4896,2006-11-21,2026-09-15,185484,2015-02-02,2026-07-16,5.98,0,1.2,
NAVINFLUOR,4767,2007-06-01,2026-09-15,185444,2015-02-02,2026-07-16,1.66,0,1.214,
NBCC,3566,2012-04-12,2026-09-15,185491,2015-02-02,2026-07-16,30.15,0,1.151,
