window,signal,policy,fill,n_names,beat_rate20,beat_rate10,beat_rate40,med_cagr20,med_bh_cagr,med_excess,med_maxdd,med_calmar,med_bh_calmar,calmar_beat,med_switch_yr,med_trades,med_wr,med_exp,med_tim,pos_cagr_share
full,EMA_10_30,long_flat,next_open,146.0,0.4178082191780822,0.4520547945205479,0.3698630136986301,0.11343900000000001,0.12719350000000001,-0.010773499999999995,-0.519779,0.20995,0.17375000000000002,0.5958904109589042,8.305,82.5,0.36970000000000003,0.032435,0.56,0.9657534246575342
full,EMA_10_30,long_flat,signal_close,146.0,0.4315068493150685,0.4657534246575342,0.3972602739726027,0.1080725,0.1240565,-0.012516500000000012,-0.5119205,0.21975,0.1743,0.6164383561643836,8.305,82.5,0.35450000000000004,0.028541499999999997,0.5601,0.9726027397260274
full,EMA_10_30,long_short,next_open,146.0,0.06164383561643835,0.0821917808219178,0.04794520547945205,-0.0342395,0.12719350000000001,-0.1649435,-0.8732345,-0.0429,0.17375000000000002,0.07534246575342465,8.32,165.0,0.30895,0.006718999999999999,0.9998,0.4041095890410959
full,EMA_10_30,long_short,signal_close,146.0,0.08904109589041095,0.0958904109589041,0.0821917808219178,-0.026588,0.1240565,-0.1365385,-0.8552605,-0.03795,0.1743,0.14383561643835616,8.32,165.0,0.3042,0.006176,1.0,0.4383561643835616
full,EMA_10_30,short_flat,next_open,146.0,0.0136986301369863,0.0136986301369863,0.00684931506849315,-0.082978,0.12719350000000001,-0.21986050000000001,-0.8928784999999999,-0.09515,0.17375000000000002,0.0136986301369863,8.295,83.0,0.24075,-0.0189245,0.4388,0.0273972602739726
full,EMA_10_30,short_flat,signal_close,146.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,-0.069953,0.1240565,-0.20495400000000003,-0.8560975,-0.0814,0.1743,0.0136986301369863,8.295,83.0,0.24,-0.016052,0.4389,0.06164383561643835
full,EMA_20_50,long_flat,next_open,146.0,0.3767123287671233,0.3835616438356164,0.3561643835616438,0.1077455,0.12719350000000001,-0.026717499999999984,-0.529916,0.202,0.17375000000000002,0.541095890410959,4.59,46.0,0.3901,0.0553085,0.57315,0.958904109589041
full,EMA_20_50,long_flat,signal_close,146.0,0.3561643835616438,0.3767123287671233,0.3561643835616438,0.1095175,0.1240565,-0.022511000000000003,-0.5290159999999999,0.21434999999999998,0.1743,0.5684931506849316,4.59,46.0,0.38380000000000003,0.0505055,0.57315,0.958904109589041
full,EMA_20_50,long_short,next_open,146.0,0.04794520547945205,0.06164383561643835,0.0410958904109589,-0.043625,0.12719350000000001,-0.17026199999999997,-0.8660985,-0.0538,0.17375000000000002,0.0684931506849315,4.59,92.0,0.30510000000000004,0.0088595,0.9998,0.3561643835616438
full,EMA_20_50,long_short,signal_close,146.0,0.07534246575342465,0.0821917808219178,0.0684931506849315,-0.0265515,0.1240565,-0.1530895,-0.8610905,-0.03385,0.1743,0.0958904109589041,4.59,92.0,0.30325,0.0096805,1.0,0.4041095890410959
