window,signal,policy,fill,n_names,beat_rate20,beat_rate10,beat_rate40,med_cagr20,med_bh_cagr,med_excess,med_maxdd,med_calmar,med_bh_calmar,calmar_beat,med_switch_yr,med_trades,med_wr,med_exp,med_tim,pos_cagr_share
full,EMA_10_30,long_flat,next_open,146.0,0.2534246575342466,0.3767123287671233,0.13013698630136986,0.051009,0.1142875,-0.060753,-0.4702755,0.109,0.18730000000000002,0.4041095890410959,51.62,296.0,0.3121,0.0024085,0.5213,0.815068493150685
full,EMA_10_30,long_flat,signal_close,146.0,0.2534246575342466,0.363013698630137,0.13013698630136986,0.047448000000000004,0.1123555,-0.062348,-0.4913925,0.11274999999999999,0.18575,0.3698630136986301,51.62,296.0,0.30565,0.001991,0.5213,0.773972602739726
full,EMA_10_30,long_short,next_open,146.0,0.08904109589041095,0.15753424657534246,0.06164383561643835,-0.1103825,0.1142875,-0.22792050000000003,-0.85718,-0.1336,0.18730000000000002,0.0958904109589041,51.675,592.0,0.28715,-0.000822,0.9982,0.1917808219178082
full,EMA_10_30,long_short,signal_close,146.0,0.07534246575342465,0.1506849315068493,0.0547945205479452,-0.11139750000000001,0.1123555,-0.23319600000000001,-0.8640095,-0.13505,0.18575,0.0821917808219178,51.675,592.0,0.27945,-0.0011165,0.9983,0.18493150684931506
full,EMA_10_30,short_flat,next_open,146.0,0.07534246575342465,0.08904109589041095,0.0410958904109589,-0.11055899999999999,0.1142875,-0.2253485,-0.821353,-0.136,0.18730000000000002,0.0821917808219178,51.635,296.0,0.2602,-0.0043185,0.47695,0.07534246575342465
full,EMA_10_30,short_flat,signal_close,146.0,0.0684931506849315,0.07534246575342465,0.02054794520547945,-0.116715,0.1123555,-0.2319805,-0.8245425,-0.13824999999999998,0.18575,0.0821917808219178,51.635,296.0,0.252,-0.0045345,0.47695,0.0684931506849315
full,EMA_20_50,long_flat,next_open,146.0,0.2876712328767123,0.3561643835616438,0.2054794520547945,0.0640785,0.1142875,-0.0443325,-0.4689775,0.15095,0.18730000000000002,0.4315068493150685,28.3,162.0,0.3312,0.005017499999999999,0.52725,0.8698630136986302
full,EMA_20_50,long_flat,signal_close,146.0,0.2876712328767123,0.3424657534246575,0.2054794520547945,0.0628585,0.1123555,-0.044772000000000006,-0.464917,0.13695000000000002,0.18575,0.4452054794520548,28.3,162.0,0.32384999999999997,0.004775,0.5273,0.863013698630137
full,EMA_20_50,long_short,next_open,146.0,0.11643835616438356,0.14383561643835616,0.0547945205479452,-0.076232,0.1142875,-0.190672,-0.8138575,-0.10125,0.18730000000000002,0.1232876712328767,28.345,324.5,0.29455,-0.000954,0.9971,0.22602739726027396
full,EMA_20_50,long_short,signal_close,146.0,0.0958904109589041,0.14383561643835616,0.06164383561643835,-0.078204,0.1123555,-0.18512649999999997,-0.813607,-0.1005,0.18575,0.1095890410958904,28.345,324.5,0.28785,-0.001002,0.9971,0.2328767123287671
full,EMA_20_50,short_flat,next_open,146.0,0.0684931506849315,0.0821917808219178,0.04794520547945205,-0.095555,0.1142875,-0.212887,-0.7966605,-0.1247,0.18730000000000002,0.07534246575342465,28.310000000000002,162.5,0.25625,-0.0067410000000000005,0.4697,0.0684931506849315
full,EMA_20_50,short_flat,signal_close,146.0,0.0684931506849315,0.0821917808219178,0.04794520547945205,-0.0946795,0.1123555,-0.21786149999999999,-0.7932980000000001,-0.1207,0.18575,0.07534246575342465,28.310000000000002,162.5,0.2531,-0.006699,0.4697,0.0684931506849315
full,EMA_21_55,long_flat,next_open,146.0,0.3013698630136986,0.3287671232876712,0.1917808219178082,0.0659145,0.1142875,-0.04535149999999998,-0.472325,0.13185,0.18730000000000002,0.4246575342465753,26.64,152.0,0.32655,0.005552,0.528,0.8493150684931506
full,EMA_21_55,long_flat,signal_close,146.0,0.2808219178082192,0.3356164383561644,0.18493150684931506,0.0637415,0.1123555,-0.050051,-0.474912,0.13585,0.18575,0.4246575342465753,26.64,152.0,0.32084999999999997,0.005145,0.528,0.8493150684931506
full,EMA_21_55,long_short,next_open,146.0,0.11643835616438356,0.13013698630136986,0.0410958904109589,-0.0874055,0.1142875,-0.192284,-0.810678,-0.10935,0.18730000000000002,0.1095890410958904,26.71,304.0,0.28695000000000004,-0.001026,0.9968,0.23972602739726026
full,EMA_21_55,long_short,signal_close,146.0,0.10273972602739725,0.136986301369863,0.04794520547945205,-0.0924725,0.1123555,-0.19174950000000002,-0.823332,-0.11099999999999999,0.18575,0.10273972602739725,26.71,304.0,0.28454999999999997,-0.0012065,0.9968,0.2328767123287671
full,EMA_21_55,short_flat,next_open,146.0,0.0684931506849315,0.07534246575342465,0.04794520547945205,-0.09386549999999999,0.1142875,-0.21596749999999998,-0.8001425,-0.1222,0.18730000000000002,0.07534246575342465,26.64,152.0,0.25085,-0.0071505,0.4687,0.06164383561643835
full,EMA_21_55,short_flat,signal_close,146.0,0.06164383561643835,0.0821917808219178,0.04794520547945205,-0.0969945,0.1123555,-0.2139935,-0.792736,-0.1231,0.18575,0.06164383561643835,26.64,152.0,0.24755,-0.0073045,0.4687,0.06164383561643835
full,EMA_50_100,long_flat,next_open,146.0,0.3287671232876712,0.363013698630137,0.23972602739726026,0.076461,0.1142875,-0.034302,-0.467125,0.1805,0.18730000000000002,0.4794520547945205,12.745000000000001,73.0,0.3433,0.012455,0.539,0.8835616438356164
full,EMA_50_100,long_flat,signal_close,146.0,0.3424657534246575,0.3561643835616438,0.2602739726027397,0.07686599999999999,0.1123555,-0.0351765,-0.467564,0.18025,0.18575,0.4726027397260274,12.745000000000001,73.0,0.33555,0.012731,0.53905,0.8767123287671232
full,EMA_50_100,long_short,next_open,146.0,0.10273972602739725,0.11643835616438356,0.0821917808219178,-0.05437549999999999,0.1142875,-0.168605,-0.7643005,-0.0742,0.18730000000000002,0.11643835616438356,12.795,146.0,0.3,0.0008545,0.9942,0.2876712328767123
full,EMA_50_100,long_short,signal_close,146.0,0.08904109589041095,0.11643835616438356,0.07534246575342465,-0.0564985,0.1123555,-0.1721185,-0.7663925,-0.0712,0.18575,0.10273972602739725,12.795,146.0,0.29655,0.0006045,0.9942,0.273972602739726
full,EMA_50_100,short_flat,next_open,146.0,0.06164383561643835,0.0684931506849315,0.0410958904109589,-0.07938300000000001,0.1142875,-0.1979055,-0.7466845,-0.1114,0.18730000000000002,0.0684931506849315,12.75,73.0,0.25,-0.0121665,0.45430000000000004,0.0684931506849315
full,EMA_50_100,short_flat,signal_close,146.0,0.04794520547945205,0.04794520547945205,0.03424657534246575,-0.07931099999999999,0.1123555,-0.20192200000000002,-0.745247,-0.1127,0.18575,0.04794520547945205,12.75,73.0,0.2466,-0.012543499999999999,0.45430000000000004,0.06164383561643835
full,EMA_50_200,long_flat,next_open,146.0,0.3356164383561644,0.363013698630137,0.2671232876712329,0.079875,0.1142875,-0.027805999999999997,-0.46127450000000003,0.1773,0.18730000000000002,0.5547945205479452,8.82,51.0,0.3393,0.019189499999999998,0.54975,0.9041095890410958
full,EMA_50_200,long_flat,signal_close,146.0,0.3287671232876712,0.3356164383561644,0.2671232876712329,0.0763865,0.1123555,-0.0319045,-0.457473,0.1785,0.18575,0.5342465753424658,8.82,51.0,0.33615,0.0185875,0.5498000000000001,0.8972602739726028
full,EMA_50_200,long_short,next_open,146.0,0.0958904109589041,0.11643835616438356,0.0821917808219178,-0.045897,0.1142875,-0.1502715,-0.7632764999999999,-0.061399999999999996,0.18730000000000002,0.10273972602739725,8.91,101.0,0.28415,0.0015314999999999999,0.9884,0.3082191780821918
full,EMA_50_200,long_short,signal_close,146.0,0.0958904109589041,0.10273972602739725,0.07534246575342465,-0.0422045,0.1123555,-0.159528,-0.7672585000000001,-0.06230000000000001,0.18575,0.10273972602739725,8.91,101.0,0.28045,0.0013285,0.9885,0.3356164383561644
full,EMA_50_200,short_flat,next_open,146.0,0.0547945205479452,0.06164383561643835,0.0410958904109589,-0.07270499999999999,0.1142875,-0.199977,-0.7344065,-0.10275000000000001,0.18730000000000002,0.0547945205479452,8.844999999999999,51.0,0.2292,-0.016312,0.4386,0.0684931506849315
full,EMA_50_200,short_flat,signal_close,146.0,0.0410958904109589,0.04794520547945205,0.03424657534246575,-0.074403,0.1123555,-0.2013925,-0.738252,-0.10350000000000001,0.18575,0.06164383561643835,8.844999999999999,51.0,0.2292,-0.016825,0.4386,0.0547945205479452
full,EMA_5_20,long_flat,next_open,146.0,0.2602739726027397,0.3424657534246575,0.1095890410958904,0.036023,0.1142875,-0.08163900000000002,-0.5336265,0.06705,0.18730000000000002,0.3493150684931507,86.50999999999999,497.0,0.3013,0.0010275,0.51785,0.6575342465753424
full,EMA_5_20,long_flat,signal_close,146.0,0.22602739726027396,0.3424657534246575,0.0958904109589041,0.020858500000000002,0.1123555,-0.09411549999999999,-0.5587025,0.036500000000000005,0.18575,0.2876712328767123,86.50999999999999,497.0,0.28785,0.000748,0.51785,0.589041095890411
full,EMA_5_20,long_short,next_open,146.0,0.11643835616438356,0.19863013698630136,0.04794520547945205,-0.13829750000000002,0.1142875,-0.258289,-0.9022565,-0.1575,0.18730000000000002,0.13013698630136986,86.595,994.0,0.28105,-0.0010845,0.9988,0.2054794520547945
full,EMA_5_20,long_short,signal_close,146.0,0.0821917808219178,0.15753424657534246,0.03424657534246575,-0.161619,0.1123555,-0.29374300000000003,-0.9194895,-0.16745,0.18575,0.08904109589041095,86.595,994.0,0.27149999999999996,-0.0012955,0.9988,0.18493150684931506
full,EMA_5_20,short_flat,next_open,146.0,0.0684931506849315,0.0958904109589041,0.04794520547945205,-0.1254895,0.1142875,-0.23248249999999998,-0.8479675,-0.15200000000000002,0.18730000000000002,0.0684931506849315,86.595,497.0,0.26439999999999997,-0.0031315,0.48095,0.0821917808219178
full,EMA_5_20,short_flat,signal_close,146.0,0.04794520547945205,0.0684931506849315,0.03424657534246575,-0.137005,0.1123555,-0.248423,-0.8780455,-0.15325,0.18575,0.0547945205479452,86.595,497.0,0.25455,-0.0032675,0.481,0.0547945205479452
full,EMA_9_21,long_flat,next_open,146.0,0.2671232876712329,0.3424657534246575,0.136986301369863,0.047676,0.1142875,-0.064281,-0.500908,0.08805,0.18730000000000002,0.3767123287671233,64.715,370.0,0.31295,0.0017585,0.5191,0.7465753424657534
full,EMA_9_21,long_flat,signal_close,146.0,0.2191780821917808,0.3356164383561644,0.1232876712328767,0.0376345,0.1123555,-0.071106,-0.509363,0.06585,0.18575,0.3150684931506849,64.715,370.0,0.30820000000000003,0.0013695,0.5191,0.6986301369863014
full,EMA_9_21,long_short,next_open,146.0,0.1232876712328767,0.17123287671232876,0.07534246575342465,-0.10837849999999999,0.1142875,-0.232049,-0.866673,-0.1298,0.18730000000000002,0.13013698630136986,64.725,740.0,0.2926,-0.0009274999999999999,0.9987,0.19863013698630136
full,EMA_9_21,long_short,signal_close,146.0,0.0958904109589041,0.136986301369863,0.0547945205479452,-0.12361849999999999,0.1123555,-0.24648,-0.8767210000000001,-0.14275,0.18575,0.0958904109589041,64.725,740.0,0.2854,-0.0011365,0.9988,0.1643835616438356
full,EMA_9_21,short_flat,next_open,146.0,0.0821917808219178,0.10273972602739725,0.0410958904109589,-0.112257,0.1142875,-0.227802,-0.8336585000000001,-0.14005,0.18730000000000002,0.0958904109589041,64.685,370.0,0.2691,-0.0035789999999999997,0.4796,0.0821917808219178
full,EMA_9_21,short_flat,signal_close,146.0,0.06164383561643835,0.08904109589041095,0.03424657534246575,-0.11935100000000001,0.1123555,-0.24372,-0.8479315000000001,-0.1404,0.18575,0.07534246575342465,64.685,370.0,0.2612,-0.003823,0.47965,0.07534246575342465
full,MST_7_4.0_7_1.5,long_flat,next_open,146.0,0.22602739726027396,0.3013698630136986,0.1643835616438356,0.054321999999999995,0.1142875,-0.059959,-0.5054445000000001,0.1017,0.18730000000000002,0.3356164383561644,28.91,166.0,0.39405,0.0038945,0.5362,0.8287671232876712
full,MST_7_4.0_7_1.5,long_flat,signal_close,146.0,0.21232876712328766,0.2808219178082192,0.1643835616438356,0.0490325,0.1123555,-0.06388550000000001,-0.5079065,0.09615,0.18575,0.3082191780821918,28.91,166.0,0.38980000000000004,0.0036369999999999996,0.53625,0.7945205479452054
full,MST_7_4.0_7_1.5,long_short,next_open,146.0,0.1095890410958904,0.1232876712328767,0.07534246575342465,-0.09636149999999999,0.1142875,-0.2172635,-0.842784,-0.12245,0.18730000000000002,0.11643835616438356,28.955,332.0,0.3547,-0.001399,0.9995,0.19863013698630136
full,MST_7_4.0_7_1.5,long_short,signal_close,146.0,0.1095890410958904,0.1232876712328767,0.06164383561643835,-0.10621,0.1123555,-0.22559250000000003,-0.84468,-0.1335,0.18575,0.1095890410958904,28.955,332.0,0.3532,-0.001873,0.9996,0.1917808219178082
full,MST_7_4.0_7_1.5,short_flat,next_open,146.0,0.06164383561643835,0.0684931506849315,0.04794520547945205,-0.1001905,0.1142875,-0.2179355,-0.819542,-0.12915,0.18730000000000002,0.06164383561643835,28.82,166.0,0.31505,-0.007164,0.46325,0.07534246575342465
full,MST_7_4.0_7_1.5,short_flat,signal_close,146.0,0.06164383561643835,0.06164383561643835,0.0410958904109589,-0.1058795,0.1123555,-0.2229635,-0.822178,-0.13219999999999998,0.18575,0.07534246575342465,28.82,166.0,0.316,-0.0075320000000000005,0.46325,0.0684931506849315
full,MST_7_4.0_7_2.0,long_flat,next_open,146.0,0.22602739726027396,0.3013698630136986,0.1643835616438356,0.054013,0.1142875,-0.060406,-0.5054445000000001,0.10005,0.18730000000000002,0.3356164383561644,28.91,166.0,0.39375,0.0038945,0.5362,0.8287671232876712
