symbol,tf,signal,policy,cagr,calmar,maxdd,bh_cagr,bh_calmar,bh_maxdd,null_cagr_med,null_calmar_med,null_maxdd_med,pct_cagr,pct_calmar,n_draws,time_in_mkt,n_trades
ABFRL,day,EMA_9_21,long_flat,-0.105493,-0.1297,-0.813619,-0.069401,-0.0853,-0.813688,-0.006368,-0.0096,-0.712012,0.09,0.075,200,0.4862,81
ABFRL,day,EMA_10_30,long_flat,-0.105452,-0.128,-0.823684,-0.069401,-0.0853,-0.813688,-0.016023,-0.0229,-0.707892,0.06,0.07,200,0.4911,66
ABFRL,day,EMA_20_50,long_flat,0.003046,0.0045,-0.680411,-0.069401,-0.0853,-0.813688,0.001599,0.0021,-0.705295,0.5,0.505,200,0.5,28
ABFRL,day,EMA_50_200,long_flat,-0.02622,-0.0433,-0.604865,-0.069401,-0.0853,-0.813688,0.0046,0.0056,-0.728505,0.345,0.31,200,0.5111,11
ABFRL,day,ST_7_3.0,long_flat,-0.07843,-0.1036,-0.75728,-0.069401,-0.0853,-0.813688,-0.006818,-0.0103,-0.727226,0.125,0.105,200,0.5603,39
ABFRL,day,ST_7_2.5,long_flat,-0.070271,-0.0949,-0.740647,-0.069401,-0.0853,-0.813688,-0.000737,-0.0013,-0.698541,0.145,0.14,200,0.5148,50
ABFRL,day,ST_10_5.0,long_flat,-0.03731,-0.0555,-0.672257,-0.069401,-0.0853,-0.813688,-0.00328,-0.0048,-0.723236,0.285,0.28,200,0.5862,15
ABFRL,day,MST_7_5.0_7_2.0,long_flat,-0.067777,-0.0867,-0.78133,-0.069401,-0.0853,-0.813688,0.001556,0.0021,-0.728505,0.105,0.105,200,0.5714,18
ABFRL,day,MST_7_6.0_7_2.0,long_flat,-0.052269,-0.0735,-0.711137,-0.069401,-0.0853,-0.813688,0.002595,0.0033,-0.762077,0.21,0.19,200,0.6092,13
ADANIENT,day,EMA_9_21,long_flat,0.588067,1.1377,-0.516891,0.329175,0.3669,-0.897085,0.182913,0.2143,-0.874523,1.0,1.0,200,0.5591,91
ADANIENT,day,EMA_10_30,long_flat,0.477082,0.577,-0.826815,0.329175,0.3669,-0.897085,0.196963,0.2318,-0.873071,1.0,0.985,200,0.5606,69
ADANIENT,day,EMA_20_50,long_flat,0.322131,0.3694,-0.872064,0.329175,0.3669,-0.897085,0.199698,0.2327,-0.874048,0.925,0.84,200,0.5897,42
ADANIENT,day,EMA_50_200,long_flat,0.255533,0.2941,-0.868813,0.329175,0.3669,-0.897085,0.196024,0.2349,-0.881432,0.715,0.7,200,0.5651,12
ADANIENT,day,ST_7_3.0,long_flat,0.39777,0.6404,-0.621127,0.329175,0.3669,-0.897085,0.180591,0.2087,-0.875646,1.0,1.0,200,0.5511,63
ADANIENT,day,ST_7_2.5,long_flat,0.428569,0.682,-0.628401,0.329175,0.3669,-0.897085,0.191668,0.2252,-0.866445,0.995,1.0,200,0.5468,80
ADANIENT,day,ST_10_5.0,long_flat,0.407573,0.5801,-0.702532,0.329175,0.3669,-0.897085,0.201368,0.2377,-0.881432,0.975,0.965,200,0.5712,30
ADANIENT,day,MST_7_5.0_7_2.0,long_flat,0.403442,0.5439,-0.741745,0.329175,0.3669,-0.897085,0.200948,0.2339,-0.880311,1.0,0.99,200,0.6076,32
ADANIENT,day,MST_7_6.0_7_2.0,long_flat,0.401356,0.6105,-0.657376,0.329175,0.3669,-0.897085,0.208714,0.2403,-0.881432,0.985,0.99,200,0.6365,24
ADANIPOWER,day,EMA_9_21,long_flat,0.275709,0.5401,-0.510464,0.14272,0.1597,-0.893836,0.086904,0.1233,-0.754682,0.99,0.995,200,0.4985,79
ADANIPOWER,day,EMA_10_30,long_flat,0.254063,0.5413,-0.469389,0.14272,0.1597,-0.893836,0.084883,0.1111,-0.759979,0.975,0.995,200,0.5091,62
ADANIPOWER,day,EMA_20_50,long_flat,0.227179,0.4079,-0.556902,0.14272,0.1597,-0.893836,0.088512,0.1148,-0.760247,0.94,0.985,200,0.5224,32
ADANIPOWER,day,EMA_50_200,long_flat,0.099886,0.1249,-0.799777,0.14272,0.1597,-0.893836,0.093239,0.1188,-0.77257,0.545,0.525,200,0.4987,12
ADANIPOWER,day,ST_7_3.0,long_flat,0.147016,0.24,-0.612472,0.14272,0.1597,-0.893836,0.099012,0.1291,-0.751508,0.73,0.79,200,0.5165,56
ADANIPOWER,day,ST_7_2.5,long_flat,0.136287,0.2538,-0.536964,0.14272,0.1597,-0.893836,0.078755,0.1006,-0.765957,0.795,0.91,200,0.4812,74
ADANIPOWER,day,ST_10_5.0,long_flat,0.201207,0.3712,-0.542081,0.14272,0.1597,-0.893836,0.097757,0.1239,-0.794592,0.905,0.965,200,0.576,24
ADANIPOWER,day,MST_7_5.0_7_2.0,long_flat,0.22649,0.4346,-0.521196,0.14272,0.1597,-0.893836,0.113466,0.1463,-0.775778,0.955,0.99,200,0.6061,23
ADANIPOWER,day,MST_7_6.0_7_2.0,long_flat,0.181272,0.2458,-0.737574,0.14272,0.1597,-0.893836,0.125595,0.1566,-0.791364,0.86,0.82,200,0.6454,19
ALKEM,day,EMA_9_21,long_flat,0.099625,0.359,-0.27748,0.130783,0.4467,-0.292744,0.087321,0.2962,-0.307505,0.62,0.685,200,0.5315,52
ALKEM,day,EMA_10_30,long_flat,0.090424,0.2852,-0.317038,0.130783,0.4467,-0.292744,0.085219,0.2662,-0.304621,0.56,0.525,200,0.5382,43
ALKEM,day,EMA_20_50,long_flat,0.052696,0.1457,-0.361589,0.130783,0.4467,-0.292744,0.093773,0.3143,-0.294523,0.17,0.14,200,0.5631,29
ALKEM,day,EMA_50_200,long_flat,0.083705,0.2844,-0.294342,0.130783,0.4467,-0.292744,0.103762,0.3477,-0.292744,0.26,0.305,200,0.6535,8
ALKEM,day,ST_7_3.0,long_flat,0.01547,0.0457,-0.338449,0.130783,0.4467,-0.292744,0.09265,0.32,-0.300639,0.04,0.04,200,0.5269,33
ALKEM,day,ST_7_2.5,long_flat,0.033589,0.0879,-0.382198,0.130783,0.4467,-0.292744,0.090709,0.2936,-0.300184,0.075,0.07,200,0.5427,41
ALKEM,day,ST_10_5.0,long_flat,0.066116,0.2236,-0.295745,0.130783,0.4467,-0.292744,0.111717,0.378,-0.292744,0.1,0.145,200,0.6056,12
ALKEM,day,MST_7_5.0_7_2.0,long_flat,0.052911,0.193,-0.274113,0.130783,0.4467,-0.292744,0.107831,0.3503,-0.2968,0.07,0.16,200,0.6083,13
ALKEM,day,MST_7_6.0_7_2.0,long_flat,0.085442,0.2736,-0.312239,0.130783,0.4467,-0.292744,0.112655,0.3581,-0.299797,0.215,0.255,200,0.7156,8
APOLLOHOSP,day,EMA_9_21,long_flat,0.053282,0.0932,-0.571774,0.189055,0.4576,-0.413172,0.111249,0.2396,-0.450745,0.02,0.02,200,0.581,131
APOLLOHOSP,day,EMA_10_30,long_flat,0.051807,0.0729,-0.71104,0.189055,0.4576,-0.413172,0.122254,0.2742,-0.442318,0.02,0.005,200,0.5943,96
APOLLOHOSP,day,EMA_20_50,long_flat,0.073171,0.1133,-0.645974,0.189055,0.4576,-0.413172,0.130112,0.3001,-0.430353,0.03,0.005,200,0.6426,57
APOLLOHOSP,day,EMA_50_200,long_flat,0.115311,0.29,-0.397639,0.189055,0.4576,-0.413172,0.151714,0.3651,-0.413172,0.085,0.13,200,0.75,19
APOLLOHOSP,day,ST_7_3.0,long_flat,0.022206,0.0344,-0.645677,0.189055,0.4576,-0.413172,0.120171,0.2751,-0.432775,0.0,0.0,200,0.6059,63
APOLLOHOSP,day,ST_7_2.5,long_flat,0.045795,0.0718,-0.638053,0.189055,0.4576,-0.413172,0.118531,0.2743,-0.436503,0.0,0.0,200,0.5945,79
APOLLOHOSP,day,ST_10_5.0,long_flat,0.092151,0.1801,-0.511587,0.189055,0.4576,-0.413172,0.141705,0.3484,-0.413172,0.04,0.01,200,0.6616,22
APOLLOHOSP,day,MST_7_5.0_7_2.0,long_flat,0.086001,0.1586,-0.542266,0.189055,0.4576,-0.413172,0.139747,0.3391,-0.413172,0.015,0.0,200,0.6759,22
APOLLOHOSP,day,MST_7_6.0_7_2.0,long_flat,0.122021,0.2475,-0.493061,0.189055,0.4576,-0.413172,0.155144,0.3756,-0.413172,0.09,0.035,200,0.7406,14
ASHOKLEY,day,EMA_9_21,long_flat,0.189213,0.3041,-0.622288,0.178283,0.1912,-0.932203,0.109148,0.1347,-0.836385,0.855,0.935,200,0.5625,110
ASHOKLEY,day,EMA_10_30,long_flat,0.245913,0.4316,-0.569706,0.178283,0.1912,-0.932203,0.105303,0.1239,-0.852365,0.97,0.99,200,0.5724,80
ASHOKLEY,day,EMA_20_50,long_flat,0.17668,0.267,-0.661679,0.178283,0.1912,-0.932203,0.107255,0.1257,-0.867507,0.83,0.89,200,0.5681,54
ASHOKLEY,day,EMA_50_200,long_flat,0.108765,0.1637,-0.664424,0.178283,0.1912,-0.932203,0.119291,0.1363,-0.888773,0.455,0.61,200,0.5756,16
ASHOKLEY,day,ST_7_3.0,long_flat,0.203733,0.3616,-0.563428,0.178283,0.1912,-0.932203,0.115009,0.131,-0.841891,0.9,0.985,200,0.5357,66
ASHOKLEY,day,ST_7_2.5,long_flat,0.166249,0.2748,-0.605044,0.178283,0.1912,-0.932203,0.112973,0.1316,-0.837457,0.765,0.835,200,0.5396,86
ASHOKLEY,day,ST_10_5.0,long_flat,0.186753,0.2465,-0.757658,0.178283,0.1912,-0.932203,0.106528,0.1221,-0.872182,0.86,0.87,200,0.5707,29
ASHOKLEY,day,MST_7_5.0_7_2.0,long_flat,0.171626,0.2086,-0.822609,0.178283,0.1912,-0.932203,0.111378,0.1366,-0.867196,0.77,0.725,200,0.5642,31
ASHOKLEY,day,MST_7_6.0_7_2.0,long_flat,0.24379,0.3246,-0.75096,0.178283,0.1912,-0.932203,0.111091,0.1364,-0.860362,0.955,0.955,200,0.5546,19
AUROPHARMA,day,EMA_9_21,long_flat,0.254186,0.5942,-0.427803,0.196473,0.2259,-0.869818,0.113172,0.1515,-0.756117,0.985,1.0,200,0.5748,92
AUROPHARMA,day,EMA_10_30,long_flat,0.231015,0.3973,-0.581436,0.196473,0.2259,-0.869818,0.118358,0.1565,-0.751033,0.96,0.965,200,0.5804,73
AUROPHARMA,day,EMA_20_50,long_flat,0.262493,0.4991,-0.525962,0.196473,0.2259,-0.869818,0.11908,0.1598,-0.75448,0.995,0.99,200,0.5613,41
AUROPHARMA,day,EMA_50_200,long_flat,0.245721,0.6329,-0.38824,0.196473,0.2259,-0.869818,0.123127,0.1605,-0.748778,0.97,0.99,200,0.5658,9
AUROPHARMA,day,ST_7_3.0,long_flat,0.253574,0.5222,-0.485624,0.196473,0.2259,-0.869818,0.113623,0.1546,-0.737396,0.995,1.0,200,0.5642,57
AUROPHARMA,day,ST_7_2.5,long_flat,0.23583,0.578,-0.40799,0.196473,0.2259,-0.869818,0.120052,0.1669,-0.722044,0.97,1.0,200,0.5572,77
AUROPHARMA,day,ST_10_5.0,long_flat,0.236009,0.3782,-0.624036,0.196473,0.2259,-0.869818,0.124783,0.1713,-0.727799,0.945,0.93,200,0.5734,25
AUROPHARMA,day,MST_7_5.0_7_2.0,long_flat,0.20319,0.3112,-0.652988,0.196473,0.2259,-0.869818,0.119761,0.1551,-0.757263,0.91,0.91,200,0.584,26
AUROPHARMA,day,MST_7_6.0_7_2.0,long_flat,0.23915,0.4228,-0.565687,0.196473,0.2259,-0.869818,0.118535,0.1616,-0.725669,0.955,0.985,200,0.5582,18
BAJAJ-AUTO,day,EMA_9_21,long_flat,0.196552,0.5339,-0.368138,0.196405,0.3384,-0.580328,0.149642,0.2953,-0.504951,0.875,0.945,200,0.6274,94
BAJAJ-AUTO,day,EMA_10_30,long_flat,0.183427,0.4509,-0.4068,0.196405,0.3384,-0.580328,0.15074,0.3093,-0.526802,0.775,0.855,200,0.632,75
BAJAJ-AUTO,day,EMA_20_50,long_flat,0.201782,0.7117,-0.283536,0.196405,0.3384,-0.580328,0.156708,0.3027,-0.550502,0.83,0.98,200,0.6517,35
BAJAJ-AUTO,day,EMA_50_200,long_flat,0.158875,0.4266,-0.372391,0.196405,0.3384,-0.580328,0.184261,0.339,-0.580328,0.235,0.86,200,0.7499,14
BAJAJ-AUTO,day,ST_7_3.0,long_flat,0.162267,0.5412,-0.299845,0.196405,0.3384,-0.580328,0.142303,0.2884,-0.497734,0.66,0.94,200,0.5871,53
BAJAJ-AUTO,day,ST_7_2.5,long_flat,0.113251,0.3135,-0.36125,0.196405,0.3384,-0.580328,0.146853,0.3145,-0.479893,0.225,0.495,200,0.5772,78
BAJAJ-AUTO,day,ST_10_5.0,long_flat,0.154161,0.321,-0.480288,0.196405,0.3384,-0.580328,0.168691,0.3214,-0.526802,0.415,0.495,200,0.6391,25
BAJAJ-AUTO,day,MST_7_5.0_7_2.0,long_flat,0.150723,0.2542,-0.592946,0.196405,0.3384,-0.580328,0.156067,0.3072,-0.528181,0.445,0.255,200,0.6466,27
BAJAJ-AUTO,day,MST_7_6.0_7_2.0,long_flat,0.147088,0.3483,-0.422266,0.196405,0.3384,-0.580328,0.162505,0.324,-0.527326,0.35,0.595,200,0.623,21
BAJFINANCE,day,EMA_9_21,long_flat,0.228008,0.2638,-0.864211,0.307728,0.3385,-0.909091,0.192456,0.2365,-0.83281,0.715,0.62,200,0.6093,86
BAJFINANCE,day,EMA_10_30,long_flat,0.275472,0.3428,-0.803532,0.307728,0.3385,-0.909091,0.198809,0.2491,-0.82799,0.865,0.805,200,0.6285,65
BAJFINANCE,day,EMA_20_50,long_flat,0.295892,0.671,-0.440996,0.307728,0.3385,-0.909091,0.210101,0.2573,-0.816951,0.915,0.99,200,0.6586,39
BAJFINANCE,day,EMA_50_200,long_flat,0.196228,0.3031,-0.647477,0.307728,0.3385,-0.909091,0.239413,0.2773,-0.875122,0.225,0.58,200,0.7489,17
BAJFINANCE,day,ST_7_3.0,long_flat,0.1746,0.2019,-0.864585,0.307728,0.3385,-0.909091,0.185089,0.2258,-0.821773,0.445,0.4,200,0.5737,71
BAJFINANCE,day,ST_7_2.5,long_flat,0.182554,0.2151,-0.848749,0.307728,0.3385,-0.909091,0.175352,0.2203,-0.801612,0.575,0.48,200,0.5485,86
BAJFINANCE,day,ST_10_5.0,long_flat,0.279546,0.4039,-0.692188,0.307728,0.3385,-0.909091,0.197843,0.2433,-0.817718,0.86,0.825,200,0.6183,33
BAJFINANCE,day,MST_7_5.0_7_2.0,long_flat,0.277239,0.4159,-0.666667,0.307728,0.3385,-0.909091,0.190042,0.2348,-0.818321,0.88,0.93,200,0.6236,36
BAJFINANCE,day,MST_7_6.0_7_2.0,long_flat,0.280868,0.4058,-0.692188,0.307728,0.3385,-0.909091,0.20723,0.2591,-0.820754,0.9,0.885,200,0.631,28
BANKBARODA,day,EMA_9_21,long_flat,0.113046,0.1831,-0.617245,0.09077,0.1043,-0.87069,0.056965,0.0759,-0.753559,0.85,0.855,200,0.5271,102
BANKBARODA,day,EMA_10_30,long_flat,0.103685,0.1531,-0.677088,0.09077,0.1043,-0.87069,0.059959,0.0792,-0.7545,0.795,0.82,200,0.5314,81
BANKBARODA,day,EMA_20_50,long_flat,0.079257,0.1027,-0.77168,0.09077,0.1043,-0.87069,0.067975,0.0896,-0.763853,0.575,0.555,200,0.5425,45
BANKBARODA,day,EMA_50_200,long_flat,0.068828,0.099,-0.694938,0.09077,0.1043,-0.87069,0.080048,0.1024,-0.78047,0.395,0.475,200,0.5666,18
BANKBARODA,day,ST_7_3.0,long_flat,0.048877,0.0702,-0.696719,0.09077,0.1043,-0.87069,0.064868,0.0876,-0.738294,0.395,0.44,200,0.5067,67
BANKBARODA,day,ST_7_2.5,long_flat,0.045048,0.0647,-0.696164,0.09077,0.1043,-0.87069,0.059011,0.0767,-0.744396,0.395,0.43,200,0.4845,86
BANKBARODA,day,ST_10_5.0,long_flat,0.059746,0.0714,-0.836573,0.09077,0.1043,-0.87069,0.065966,0.0847,-0.777806,0.465,0.42,200,0.5613,29
BANKBARODA,day,MST_7_5.0_7_2.0,long_flat,0.040708,0.048,-0.848034,0.09077,0.1043,-0.87069,0.079532,0.1028,-0.768616,0.255,0.235,200,0.558,30
BANKBARODA,day,MST_7_6.0_7_2.0,long_flat,0.04365,0.0525,-0.832096,0.09077,0.1043,-0.87069,0.074271,0.0907,-0.794224,0.255,0.25,200,0.593,22
BATAINDIA,day,EMA_9_21,long_flat,0.145659,0.2963,-0.491614,0.100779,0.1329,-0.758492,0.062349,0.0924,-0.680915,0.97,0.98,200,0.546,99
BATAINDIA,day,EMA_10_30,long_flat,0.139343,0.2781,-0.501,0.100779,0.1329,-0.758492,0.06963,0.1062,-0.670718,0.965,0.955,200,0.5524,78
BATAINDIA,day,EMA_20_50,long_flat,0.114689,0.2146,-0.534317,0.100779,0.1329,-0.758492,0.067252,0.1013,-0.677129,0.86,0.92,200,0.5639,42
BATAINDIA,day,EMA_50_200,long_flat,0.09901,0.1741,-0.568743,0.100779,0.1329,-0.758492,0.089776,0.1349,-0.676519,0.585,0.67,200,0.5577,12
BATAINDIA,day,ST_7_3.0,long_flat,0.098908,0.1548,-0.639143,0.100779,0.1329,-0.758492,0.075013,0.1083,-0.668442,0.66,0.665,200,0.5418,61
BATAINDIA,day,ST_7_2.5,long_flat,0.170443,0.3552,-0.479823,0.100779,0.1329,-0.758492,0.07731,0.1179,-0.672349,0.985,0.985,200,0.5372,71
BATAINDIA,day,ST_10_5.0,long_flat,0.11005,0.1715,-0.641777,0.100779,0.1329,-0.758492,0.078219,0.1156,-0.665279,0.815,0.745,200,0.5612,28
BATAINDIA,day,MST_7_5.0_7_2.0,long_flat,0.10616,0.1537,-0.690807,0.100779,0.1329,-0.758492,0.074658,0.1124,-0.69085,0.76,0.695,200,0.5825,28
BATAINDIA,day,MST_7_6.0_7_2.0,long_flat,0.079103,0.1218,-0.649219,0.100779,0.1329,-0.758492,0.07016,0.1029,-0.688761,0.585,0.59,200,0.5817,24
BEML,day,EMA_9_21,long_flat,0.250023,0.4853,-0.515196,0.064633,0.0695,-0.930124,0.046837,0.0566,-0.813738,1.0,1.0,200,0.5019,94
BEML,day,EMA_10_30,long_flat,0.201281,0.3884,-0.518239,0.064633,0.0695,-0.930124,0.037878,0.0481,-0.816553,0.995,1.0,200,0.4884,80
BEML,day,EMA_20_50,long_flat,0.181417,0.4043,-0.44872,0.064633,0.0695,-0.930124,0.040487,0.0492,-0.817131,0.965,1.0,200,0.4794,43
BEML,day,EMA_50_200,long_flat,0.094209,0.1533,-0.614373,0.064633,0.0695,-0.930124,0.060261,0.0712,-0.843423,0.695,0.81,200,0.5071,14
BEML,day,ST_7_3.0,long_flat,0.268768,0.5259,-0.511093,0.064633,0.0695,-0.930124,0.044815,0.0583,-0.812909,1.0,1.0,200,0.4915,53
BEML,day,ST_7_2.5,long_flat,0.204596,0.4155,-0.492372,0.064633,0.0695,-0.930124,0.039492,0.0529,-0.820005,0.99,1.0,200,0.5091,77
BEML,day,ST_10_5.0,long_flat,0.155447,0.2749,-0.565384,0.064633,0.0695,-0.930124,0.061128,0.0751,-0.816702,0.955,0.965,200,0.4952,33
BEML,day,MST_7_5.0_7_2.0,long_flat,0.143556,0.2377,-0.603995,0.064633,0.0695,-0.930124,0.069102,0.0847,-0.802672,0.9,0.93,200,0.4968,34
BEML,day,MST_7_6.0_7_2.0,long_flat,0.183457,0.3559,-0.515462,0.064633,0.0695,-0.930124,0.062116,0.075,-0.837116,0.965,0.995,200,0.5566,23
BHARTIARTL,day,EMA_9_21,long_flat,0.086761,0.1674,-0.518229,0.122071,0.2117,-0.57664,0.086375,0.1565,-0.543202,0.505,0.53,200,0.5769,108
BHARTIARTL,day,EMA_10_30,long_flat,0.080231,0.134,-0.598658,0.122071,0.2117,-0.57664,0.085529,0.1611,-0.538813,0.465,0.39,200,0.5783,81
BHARTIARTL,day,EMA_20_50,long_flat,0.065898,0.1067,-0.617395,0.122071,0.2117,-0.57664,0.083991,0.1623,-0.518109,0.29,0.23,200,0.5846,49
BHARTIARTL,day,EMA_50_200,long_flat,0.072062,0.1099,-0.655427,0.122071,0.2117,-0.57664,0.084446,0.1553,-0.551077,0.33,0.225,200,0.6409,14
