symbol,ts,date,dow,tod,days_to_expiry,break_up,break_down,rsi,vwap_dist_atr,htf_slope,vol_spike,body_ratio,close_in_range,cpr_bias,gap_pct,atr_pct,sqz_duration,outcome
NIFTY50,2024-03-26 13:45:00,2024-03-26,1,afternoon,2,False,False,40.394553811694166,,3.2453174661422963,,-0.4765100671139498,0.45973154362426266,-1,-0.6018803666533723,0.0619332467896422,15,DOWN
NIFTY50,2024-04-02 13:15:00,2024-04-02,1,afternoon,23,False,True,36.83077863534492,,13.266295856548822,,-0.7094017094017803,0.2364672364673292,1,0.5178332460580705,0.055943957138025094,21,UP
NIFTY50,2024-04-05 14:00:00,2024-04-05,4,afternoon,20,True,False,64.20989102410766,,6.996526011425885,,0.6936542669582946,0.820568927789856,-1,-0.24311039341294727,0.05895590553989193,26,DOWN
NIFTY50,2024-04-10 11:35:00,2024-04-10,2,midday,15,False,False,49.06623332814264,,12.896668867731933,,-0.22151898734173134,0.3164556962024734,1,0.2614624244296368,0.06378428929353534,6,NEITHER
NIFTY50,2024-04-26 12:40:00,2024-04-26,4,midday,34,False,True,39.10722988112822,,12.332552873504028,,-0.3652482269502375,0.6028368794326864,1,0.9289583351924431,0.07600494674166394,13,DOWN
NIFTY50,2024-04-30 13:10:00,2024-04-30,1,afternoon,30,False,True,39.44832536991933,,16.265225686460326,,-0.3893129770992536,0.31106870229012323,1,0.20545085416744904,0.06293960553418959,9,UP
NIFTY50,2024-05-14 11:05:00,2024-05-14,1,midday,16,False,False,62.243159499834434,,7.151662022428354,,0.5511221945136994,0.6334164588529271,1,0.032098519851345625,0.11421747251024318,16,NEITHER
NIFTY50,2024-05-21 09:50:00,2024-05-21,1,morning,9,False,True,37.034830240003,,13.624409762516734,,-0.7396121883656527,0.055401662049852564,-1,-0.45430714273019707,0.09111530627569828,6,UP
NIFTY50,2024-05-21 11:05:00,2024-05-21,1,midday,9,True,False,60.81557600495029,,10.694140299601713,,0.45370370370353214,0.45370370370353214,-1,-0.45430714273019707,0.07300071288910177,6,UP
NIFTY50,2024-05-22 12:15:00,2024-05-22,2,midday,8,True,False,61.15982465713413,,8.961681776130717,,0.7792494481234739,0.7991169977923789,1,0.30678594516062063,0.07615112265568574,19,NEITHER
NIFTY50,2024-05-24 13:00:00,2024-05-24,4,afternoon,6,True,False,70.15701792770507,,24.539243259019713,,0.7507886435330542,0.7823343848579782,1,-0.08823144961003879,0.06717509893387243,9,DOWN
NIFTY50,2024-05-28 10:35:00,2024-05-28,1,morning,2,False,False,53.20568706490966,,12.510182541507675,,-0.01901140684410436,0.2813688212927999,1,0.10957650749390666,0.09207892318627117,12,DOWN
NIFTY50,2024-06-06 13:35:00,2024-06-06,3,afternoon,21,True,False,58.029388937501906,,-1.356242258585553,,0.7979351032448785,0.9889380530973451,1,0.9994240907278542,0.2283535207580849,6,DOWN
NIFTY50,2024-06-10 12:15:00,2024-06-10,0,midday,17,False,False,47.40627685925074,,29.524663461590535,,0.7455621301775249,0.9260355029585703,1,0.21100083583835094,0.11421662656896929,7,NEITHER
