variant,symbol,date,direction,entry_time,entry,stop,qty,atr_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
direct_trail,NIFTY50,2024-04-02,SHORT,2024-04-02T13:20:00,22396.95,22409.48,13,12.53,2024-04-02T13:25:00,22409.48,STOP,-162.89,-599.75
direct_trail,NIFTY50,2024-04-05,LONG,2024-04-05T14:05:00,22523.45,22510.17,13,13.28,2024-04-05T14:10:00,22510.17,STOP,-172.64,-611.71
direct_trail,NIFTY50,2024-04-26,SHORT,2024-04-26T12:45:00,22503.70,22439.62,13,17.10,2024-04-26T15:10:00,22408.25,TIME_STOP,1240.85,802.96
direct_trail,NIFTY50,2024-04-30,SHORT,2024-04-30T13:15:00,22715.00,22729.30,13,14.30,2024-04-30T13:20:00,22729.30,STOP,-185.86,-628.94
direct_trail,NIFTY50,2024-05-21,SHORT,2024-05-21T09:55:00,22454.35,22474.81,13,20.46,2024-05-21T10:00:00,22474.81,STOP,-265.99,-704.05
direct_trail,NIFTY50,2024-05-21,LONG,2024-05-21T11:10:00,22501.35,22553.42,13,16.43,2024-05-21T13:20:00,22553.42,STOP,676.92,237.64
direct_trail,NIFTY50,2024-05-22,LONG,2024-05-22T12:20:00,22581.75,22564.55,13,17.20,2024-05-22T12:25:00,22564.55,STOP,-223.55,-663.73
direct_trail,NIFTY50,2024-05-24,LONG,2024-05-24T13:05:00,23011.95,22996.49,13,15.46,2024-05-24T13:10:00,22996.49,STOP,-200.97,-649.55
direct_trail,NIFTY50,2024-06-06,LONG,2024-06-06T13:40:00,22811.60,22759.51,13,52.09,2024-06-06T13:45:00,22759.51,STOP,-677.16,-1121.48
direct_trail,NIFTY50,2024-06-10,LONG,2024-06-10T13:45:00,23358.50,23339.97,12,18.53,2024-06-10T14:20:00,23339.97,STOP,-222.33,-642.62
direct_trail,NIFTY50,2024-06-11,LONG,2024-06-11T13:35:00,23371.10,23354.18,12,16.92,2024-06-11T14:00:00,23354.18,STOP,-203.00,-623.52
direct_trail,NIFTY50,2024-06-14,LONG,2024-06-14T13:20:00,23459.75,23448.60,12,11.15,2024-06-14T13:30:00,23448.60,STOP,-133.76,-555.93
direct_trail,NIFTY50,2024-06-18,LONG,2024-06-18T14:05:00,23546.95,23536.71,12,10.24,2024-06-18T14:10:00,23536.71,STOP,-122.92,-546.67
direct_trail,NIFTY50,2024-06-26,LONG,2024-06-26T11:00:00,23764.30,23809.45,12,22.38,2024-06-26T13:00:00,23809.45,STOP,541.83,113.66
direct_trail,NIFTY50,2024-07-04,LONG,2024-07-04T12:50:00,24354.80,24342.05,12,12.75,2024-07-04T13:00:00,24342.05,STOP,-152.96,-591.23
direct_trail,NIFTY50,2024-07-09,LONG,2024-07-09T13:10:00,24419.20,24410.92,12,12.80,2024-07-09T15:15:00,24441.75,EOD,270.60,-169.15
direct_trail,NIFTY50,2024-07-15,LONG,2024-07-15T13:20:00,24630.25,24615.46,12,14.79,2024-07-15T13:40:00,24615.46,STOP,-177.52,-620.74
direct_trail,NIFTY50,2024-08-08,LONG,2024-08-08T12:15:00,24307.25,24267.12,12,40.13,2024-08-08T12:45:00,24267.12,STOP,-481.51,-918.68
direct_trail,NIFTY50,2024-08-22,LONG,2024-08-22T11:50:00,24842.35,24829.02,12,13.33,2024-08-22T12:10:00,24829.02,STOP,-159.94,-606.98
direct_trail,NIFTY50,2024-08-29,SHORT,2024-08-29T11:55:00,25074.50,25088.68,11,14.18,2024-08-29T12:10:00,25088.68,STOP,-155.99,-569.84
direct_trail,NIFTY50,2024-09-03,LONG,2024-09-03T13:00:00,25270.70,25272.31,11,9.70,2024-09-03T13:40:00,25272.31,STOP,17.70,-399.28
direct_trail,NIFTY50,2024-09-04,LONG,2024-09-04T13:20:00,25175.70,25162.71,11,12.99,2024-09-04T13:40:00,25162.71,STOP,-142.89,-558.18
