symbol,fire_dir,first_move_dir,first_move_aligned,outcome,continues,reverses
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,DOWN,True,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,STALL,False,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,REVERSE,False,True
NIFTY50,UP,UP,True,REVERSE,False,True
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,REVERSE,False,True
NIFTY50,UP,UP,True,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,STALL,False,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,REVERSE,False,True
NIFTY50,UP,UP,True,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,DOWN,True,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,REVERSE,False,True
NIFTY50,DOWN,DOWN,True,STALL,False,False
NIFTY50,DOWN,DOWN,True,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,DOWN,True,REVERSE,False,True
NIFTY50,DOWN,DOWN,True,STALL,False,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,,False,NEITHER,False,False
NIFTY50,DOWN,DOWN,True,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,DOWN,False,REVERSE,False,True
NIFTY50,UP,DOWN,False,FOLLOW_THROUGH,True,False
NIFTY50,UP,UP,True,STALL,False,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
NIFTY50,DOWN,UP,False,FOLLOW_THROUGH,True,False
