label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s06_eq,A,6,0.166667,random,0.05,25.0,30,,3619,21.89,20.69,25.39,-42.5,-42.5,0.516,0.487,1.018,266.5,12.3,50.0,38.685,-11.53,13.371,11.0,74.06,22.4,-40.15,21.295,-42.5,894.0,152.0,1785.5,1567.5,266.5,1556698.0,1.264,18.061,55.3,434864416.0,11518.519,21,1.5
A_s07_eq,A,7,0.142857,random,0.05,25.0,30,,3619,20.75,19.83,22.41,-39.98,-39.98,0.519,0.496,1.003,315.0,14.5,48.3,38.465,-11.51,12.576,9.0,74.525,21.04,-39.98,20.245,-39.65,826.0,112.0,1651.5,1656.0,315.0,1226011.5,0.992,12.389,49.65,2703219328.0,68950.734,5,1.6
A_s08_eq,A,8,0.125,random,0.05,25.0,30,,3619,20.37,19.08,22.53,-35.64,-35.64,0.571,0.535,1.026,361.0,16.6,46.7,39.585,-11.58,12.183,11.0,75.35,18.595,-35.64,22.34,-34.7,792.0,115.0,1587.5,1671.0,361.0,900871.0,0.829,9.4,44.8,16534887936.0,333754.562,19,1.7
A_s09_eq,A,9,0.111111,random,0.05,25.0,30,,3619,21.56,20.89,22.45,-34.26,-35.55,0.629,0.597,1.102,405.0,18.7,48.45,38.36,-11.42,12.688,11.0,75.03,20.07,-34.26,23.07,-30.77,761.5,111.0,1533.0,1680.5,405.0,986556.5,0.792,9.992,45.85,3958314237952.0,78619076.0,23,2.0
A_s10_eq,A,10,0.1,random,0.05,25.0,30,C_s10_p1000,3619,22.46,20.7,24.11,-33.57,-37.16,0.669,0.57,1.165,448.0,20.7,49.0,38.93,-11.55,13.271,11.0,75.01,20.2,-32.855,24.82,-30.12,715.5,100.0,1442.0,1733.0,448.0,911877.0,0.772,10.703,45.85,275209324068864.0,3325546752.0,22,2.0
A_s11_eq,A,11,0.090909,random,0.05,25.0,30,,3619,22.03,20.45,23.72,-33.85,-34.64,0.67,0.617,1.169,487.0,22.5,49.2,38.595,-11.555,12.906,12.0,74.885,19.72,-33.85,24.385,-30.49,676.0,96.0,1371.0,1759.5,487.0,888504.5,0.673,8.894,42.4,2824346200440832.0,32111905792.0,23,2.0
A_s12_eq,A,12,0.083333,random,0.05,25.0,30,,3619,21.33,19.88,22.31,-33.6,-37.47,0.633,0.573,1.151,530.0,24.4,48.5,38.16,-11.565,12.535,13.0,74.19,19.55,-32.97,23.085,-32.14,608.0,52.0,1225.5,1863.0,530.0,772702.0,0.603,7.186,40.05,1.1319100156411904e+16,110750302208.0,16,2.4
A_s13_eq,A,13,0.076923,random,0.05,25.0,30,,3619,20.76,19.57,21.8,-33.29,-36.62,0.616,0.534,1.148,570.5,26.3,48.3,37.79,-11.7,12.291,13.0,73.83,18.91,-31.32,22.55,-33.025,559.0,60.0,1128.0,1920.5,570.5,692253.5,0.532,6.431,37.6,6.478904264176435e+16,624847650816.0,24,2.6
A_s14_eq,A,14,0.071429,random,0.05,25.0,30,,3619,21.21,20.59,22.39,-34.41,-35.33,0.615,0.583,1.175,606.0,27.9,49.2,37.55,-11.705,12.534,14.0,73.705,19.9,-32.15,22.47,-34.41,529.0,50.0,1074.0,1940.0,606.0,689562.5,0.526,6.178,38.15,4.1544832450748744e+18,33178734559232.0,16,2.9
A_s16_eq,A,16,0.0625,random,0.05,25.0,30,B_s16_p0625|C_s16_p0625,3619,20.94,19.81,21.74,-35.5,-36.96,0.601,0.549,1.19,688.0,31.7,49.0,37.41,-11.58,12.314,14.0,72.89,18.935,-32.705,22.9,-35.5,472.0,41.0,977.5,1955.0,688.0,542587.5,0.426,4.704,32.9,9.23786201681212e+20,7667506881757184.0,29,3.4
