label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
PROOF_055,P,16,0.0625,random,0.055,25.0,30,,3619,21.26,19.87,21.89,-34.8,-35.91,0.618,0.553,1.203,687.0,31.7,49.2,37.23,-11.56,12.427,14.0,72.89,19.165,-32.485,23.32,-34.805,470.5,41.0,978.0,552620.5,0.432,4.764,33.1,1.289113594300763e+21,1.0393129903456256e+16,16,2.9
PROOF_050,P,16,0.0625,random,0.05,25.0,30,,3619,20.94,19.81,21.74,-35.5,-36.96,0.601,0.549,1.19,688.0,31.7,49.0,37.41,-11.58,12.314,14.0,72.89,18.935,-32.705,22.9,-35.5,472.0,41.0,977.5,542587.5,0.426,4.704,32.9,9.23786201681212e+20,7667506881757184.0,29,2.8
