label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s06_eq_bps60,A,6,0.166667,random,0.05,60.0,30,,3619,20.71,19.14,23.81,-43.74,-43.74,0.473,0.437,0.97,266.5,12.3,49.25,38.31,-11.935,12.753,11.0,74.045,21.13,-40.58,20.21,-43.74,895.5,152.0,1788.5,1566.0,266.5,1349247.5,1.122,14.717,51.4,80654308.0,2336.166,10,1.4
A_s07_eq_bps60,A,7,0.142857,random,0.05,60.0,30,,3619,19.55,18.48,20.89,-41.13,-41.14,0.475,0.449,0.956,316.0,14.6,47.5,38.1,-11.935,11.85,9.0,74.5,19.77,-40.35,19.045,-41.13,827.5,112.0,1656.5,1646.5,316.0,1058082.5,0.867,9.965,46.45,367118720.0,10043.037,24,1.4
A_s08_eq_bps60,A,8,0.125,random,0.05,60.0,30,,3619,18.8,17.37,21.8,-36.04,-36.07,0.522,0.482,0.952,363.0,16.7,45.95,38.765,-11.885,11.17,11.0,74.885,17.74,-35.98,19.78,-36.04,791.5,114.0,1589.5,1668.5,363.0,794919.0,0.739,7.665,42.0,1376408704.0,33009.237,17,1.6
A_s09_eq_bps60,A,9,0.111111,random,0.05,60.0,30,,3619,19.99,18.97,21.27,-34.81,-39.01,0.575,0.491,1.034,403.5,18.6,47.3,38.525,-11.88,11.903,11.0,75.175,19.23,-34.58,20.83,-32.12,750.5,112.0,1484.0,1728.0,403.5,883592.0,0.733,8.317,43.3,200135663616.0,4020323.0,17,1.8
A_s10_eq_bps60,A,10,0.1,random,0.05,60.0,30,C_s10_p1000,3619,20.76,19.88,22.21,-33.4,-38.09,0.617,0.568,1.091,444.5,20.5,47.75,39.325,-11.82,12.503,11.0,75.035,18.99,-32.93,22.635,-31.91,716.5,73.0,1443.0,1731.0,444.5,832018.0,0.685,8.584,42.4,11358309449728.0,158462752.0,6,1.9
A_s11_eq_bps60,A,11,0.090909,random,0.05,60.0,30,,3619,20.59,18.98,21.39,-34.62,-34.94,0.6,0.562,1.099,487.5,22.5,47.4,39.11,-11.785,12.278,12.0,74.955,18.545,-34.16,21.955,-32.21,683.5,96.0,1374.0,1759.0,487.5,754067.5,0.589,7.288,39.9,135565768916992.0,1547750848.0,16,1.9
A_s12_eq_bps60,A,12,0.083333,random,0.05,60.0,30,,3619,20.11,18.74,21.29,-33.43,-35.47,0.599,0.542,1.102,528.0,24.3,46.75,38.85,-11.79,11.91,13.0,74.425,18.34,-33.26,21.905,-31.895,630.0,94.0,1258.0,1832.5,528.0,658952.5,0.554,6.212,38.45,611422669111296.0,5566073600.0,30,2.5
A_s13_eq_bps60,A,13,0.076923,random,0.05,60.0,30,,3619,19.35,18.19,20.12,-33.81,-36.62,0.558,0.516,1.083,572.0,26.4,46.55,38.295,-11.96,11.52,13.0,73.88,17.75,-31.59,20.895,-33.81,566.5,60.0,1135.5,1913.5,572.0,595864.5,0.454,5.011,34.3,1077707119001600.0,10020143616.0,22,2.4
A_s14_eq_bps60,A,14,0.071429,random,0.05,60.0,30,,3619,20.09,18.91,20.94,-35.9,-36.79,0.554,0.514,1.123,606.0,27.9,47.95,38.01,-11.93,11.988,14.0,73.8,18.91,-32.42,21.085,-35.9,536.5,50.0,1092.5,1920.0,606.0,613762.0,0.484,5.13,35.15,1.668307031687168e+17,1649854906368.0,28,2.7
A_s16_eq_bps60,A,16,0.0625,random,0.05,60.0,30,B_s16_p0625|C_s16_p0625,3619,19.39,18.21,20.51,-34.04,-38.4,0.56,0.49,1.117,687.0,31.7,47.9,37.28,-11.94,11.517,14.0,72.885,17.955,-32.91,20.975,-34.04,471.5,41.0,983.0,1950.0,687.0,479455.5,0.386,3.977,28.75,6.85776122482262e+18,60855792173056.0,20,2.8
A_s18_eq_bps60,A,18,0.055556,random,0.05,60.0,30,,3619,19.14,17.99,20.05,-34.61,-37.51,0.543,0.48,1.111,760.5,35.05,48.2,36.475,-11.99,11.436,14.0,71.665,17.51,-32.31,20.765,-34.61,413.5,42.0,852.5,2005.5,760.5,413866.5,0.328,3.373,23.4,6.893399585262561e+20,6170123442323456.0,9,2.8
A_s20_eq_bps60,A,20,0.05,random,0.05,60.0,30,C_s20_p0500,3619,18.89,18.0,19.91,-36.19,-38.02,0.518,0.473,1.129,828.0,38.2,48.6,36.335,-11.985,11.528,15.0,70.98,17.53,-31.64,20.22,-36.19,377.5,17.0,777.0,2013.5,828.0,370380.0,0.286,2.923,20.7,1.065637330300772e+23,7.276091383050404e+17,17,3.3
A_s24_eq_bps60,A,24,0.041667,random,0.05,60.0,30,,3619,18.41,17.74,18.95,-36.7,-36.71,0.502,0.483,1.132,976.5,45.05,48.7,35.775,-12.05,11.242,15.0,68.92,17.06,-33.74,19.77,-36.7,313.0,16.0,622.0,2022.5,976.5,282347.5,0.212,1.99,13.3,2.8844132389356665e+26,1.9887043085288677e+21,30,3.5
A_s30_eq_bps60,A,30,0.033333,random,0.05,60.0,30,,3619,16.61,16.3,17.02,-32.79,-32.8,0.506,0.497,1.081,1192.0,55.0,46.7,35.49,-12.03,10.169,15.0,66.2,14.64,-31.06,18.59,-32.79,223.0,1.0,420.0,2006.0,1192.0,188776.0,0.142,1.298,6.8,1.5046394642986298e+28,1.0728517816518456e+23,25,3.9
B_s08_p0625_bps60,B,8,0.0625,random,0.05,60.0,30,,3619,14.62,13.49,15.87,-23.89,-24.63,0.607,0.568,1.212,407.0,18.8,48.0,39.055,-11.77,12.549,11.0,45.255,13.89,-23.88,15.23,-20.56,1585.0,1509.0,3212.0,0.0,407.0,295727.5,0.262,1.993,13.8,2079320506368.0,45719530.0,10,1.4
B_s10_p0625_bps60,B,10,0.0625,random,0.05,60.0,30,C_s10_p0625,3619,15.88,14.87,17.29,-26.83,-28.18,0.607,0.547,1.159,506.0,23.3,46.55,39.075,-12.05,11.764,12.0,54.53,14.35,-26.03,17.455,-25.2,1518.5,1431.5,3113.0,0.0,506.0,323754.5,0.296,2.494,17.25,57595018608640.0,924752032.0,28,1.6
B_s12_p0625_bps60,B,12,0.0625,random,0.05,60.0,30,,3619,17.26,15.84,18.37,-31.13,-35.59,0.55,0.467,1.113,593.0,27.3,46.55,38.05,-11.89,11.563,13.0,63.31,15.61,-30.32,18.78,-29.61,1461.5,1364.0,3026.0,0.0,593.0,369266.5,0.336,2.872,21.1,8488202654449664.0,83448971264.0,18,1.8
B_s14_p0625_bps60,B,14,0.0625,random,0.05,60.0,30,,3619,19.12,17.51,20.74,-34.91,-38.11,0.542,0.479,1.119,666.5,30.75,47.1,38.115,-11.885,11.628,14.0,71.18,17.56,-32.815,20.56,-34.91,1321.0,1155.5,2783.0,168.5,666.5,445621.0,0.384,3.86,28.35,2.4612723093783183e+18,22782972788736.0,13,2.3
C_s10_p0400_bps60,C,10,0.04,random,0.05,60.0,30,,3619,12.16,11.53,13.06,-17.52,-18.63,0.708,0.64,1.325,506.0,23.3,46.55,39.075,-12.05,11.764,12.0,35.815,11.185,-17.06,13.1,-16.265,1518.5,1431.5,3113.0,0.0,506.0,149031.0,0.137,0.885,3.5,57594997637120.0,924752032.0,10,1.7
C_s10_p0500_bps60,C,10,0.05,random,0.05,60.0,30,,3619,13.84,13.05,14.98,-21.91,-23.03,0.648,0.587,1.232,506.0,23.3,46.55,39.075,-12.05,11.764,12.0,44.24,12.63,-21.25,15.055,-20.405,1518.5,1431.5,3113.0,0.0,506.0,217029.0,0.199,1.453,8.75,57595041677312.0,924752032.0,28,1.6
C_s10_p0800_bps60,C,10,0.08,random,0.05,60.0,30,,3619,18.66,17.34,20.48,-33.14,-36.16,0.579,0.519,1.099,505.0,23.3,46.65,39.075,-12.04,11.815,12.0,68.45,16.765,-32.045,20.71,-31.37,1518.5,1431.5,3113.0,1.0,505.0,531091.5,0.489,4.976,34.6,67115988025344.0,1077621472.0,27,1.7
C_s16_p0400_bps60,C,16,0.04,random,0.05,60.0,30,,3619,15.05,14.27,16.12,-26.31,-30.72,0.562,0.478,1.177,763.0,35.2,47.15,37.305,-12.135,11.163,14.0,52.79,13.575,-25.66,16.505,-26.31,1347.5,1244.0,2856.0,0.0,763.0,192199.0,0.166,1.275,7.1,8.70597748900013e+19,672672073646080.0,30,2.2
C_s16_p0500_bps60,C,16,0.05,random,0.05,60.0,30,,3619,17.37,16.37,18.71,-32.3,-37.46,0.53,0.445,1.115,763.0,35.2,47.15,37.305,-12.135,11.163,14.0,64.96,15.525,-30.755,19.165,-32.295,1347.5,1244.0,2856.0,0.0,763.0,292442.5,0.254,2.253,15.15,8.705970891930363e+19,672672778289152.0,30,2.2
C_s20_p0400_bps60,C,20,0.04,random,0.05,60.0,30,,3619,16.48,15.64,17.21,-30.86,-33.13,0.538,0.489,1.113,927.0,42.7,47.65,35.79,-12.15,10.618,15.0,62.67,14.83,-29.33,17.955,-30.86,1234.0,1122.0,2692.0,0.0,927.0,222645.5,0.185,1.578,9.55,1.5474598903945946e+23,1.0837578938927022e+18,5,2.6
D_rs_s08_bps60,D,8,0.125,rs,0.05,60.0,30,,3619,20.39,20.39,20.39,-36.03,-36.03,0.566,0.566,1.021,365.0,16.8,46.0,40.54,-11.87,12.255,11.0,74.91,17.74,-35.98,23.05,-36.03,791.0,121.0,1582.0,1672.0,365.0,815227.0,0.777,11.361,42.7,9424223232.0,129676.555,16,1.5
D_rs_s16_bps60,D,16,0.0625,rs,0.05,60.0,30,,3619,19.62,19.62,19.62,-33.91,-33.91,0.579,0.579,1.122,692.0,31.9,48.6,36.52,-12.05,11.536,14.0,72.86,18.22,-32.96,20.94,-33.91,473.0,41.0,971.0,1956.0,692.0,500022.0,0.407,4.552,31.2,1.5661843848273854e+19,154892811370496.0,16,2.5
D_ext_s08_bps60,D,8,0.125,ext,0.05,60.0,30,,3619,20.57,20.57,20.57,-37.78,-37.78,0.544,0.544,1.032,349.0,16.1,46.7,40.5,-11.71,12.674,11.0,74.65,17.74,-35.98,23.41,-37.78,763.0,106.0,1508.0,1762.0,349.0,764721.0,0.734,9.693,42.4,13167849472.0,186197.109,16,1.4
D_ext_s16_bps60,D,16,0.0625,ext,0.05,60.0,30,,3619,19.61,19.61,19.61,-37.45,-37.45,0.524,0.524,1.131,687.0,31.7,47.9,37.23,-11.89,11.629,14.0,72.83,18.65,-32.91,20.46,-37.45,474.0,53.0,982.0,1950.0,687.0,504005.0,0.402,4.539,30.9,1.897547502625122e+19,187664183590912.0,16,2.3
D_tv_s08_bps60,D,8,0.125,tv,0.05,60.0,30,,3619,21.8,21.8,21.8,-36.05,-36.05,0.605,0.605,1.075,350.0,16.1,48.3,39.83,-11.64,13.216,11.0,74.79,17.74,-35.98,25.98,-36.05,758.0,106.0,1496.0,1773.0,350.0,790597.0,0.63,10.811,39.4,100085350400.0,1415235.625,16,1.5
D_tv_s16_bps60,D,16,0.0625,tv,0.05,60.0,30,,3619,20.08,20.08,20.08,-37.44,-37.44,0.536,0.536,1.151,684.0,31.5,48.4,37.26,-11.82,11.927,14.0,72.94,18.65,-32.91,21.44,-37.44,481.0,53.0,971.0,1964.0,684.0,503044.0,0.381,4.12,30.8,8.038708950967989e+19,795015626358784.0,16,2.3
D_age_s08_bps60,D,8,0.125,age,0.05,60.0,30,,3619,18.4,18.4,18.4,-36.03,-36.03,0.511,0.511,0.935,364.0,16.8,45.1,39.21,-11.91,11.124,11.0,75.1,17.74,-35.98,18.95,-36.03,811.0,114.0,1640.0,1615.0,364.0,788340.0,0.735,7.186,42.3,821854336.0,21098.281,16,1.6
D_age_s16_bps60,D,16,0.0625,age,0.05,60.0,30,,3619,20.23,20.23,20.23,-38.19,-38.19,0.53,0.53,1.149,679.0,31.3,48.2,37.97,-11.87,12.132,14.0,72.78,18.65,-32.91,21.73,-38.19,492.0,53.0,989.0,1951.0,679.0,493370.0,0.408,4.015,30.5,9.821432475183533e+19,791997942071296.0,16,2.8
