label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s06_eq_idle000,A,6,0.166667,random,0.0,25.0,10,,3619,20.34,19.2,22.2,-43.6,-43.6,0.467,0.44,0.96,267.5,12.35,49.9,39.26,-11.415,13.423,11.0,74.185,20.39,-42.02,20.215,-43.6,896.0,154.5,1789.0,1562.5,267.5,1271172.5,1.092,14.606,51.25,396725648.0,11061.09,2,0.7
A_s07_eq_idle000,A,7,0.142857,random,0.0,25.0,10,,3619,20.05,19.28,21.02,-41.89,-41.89,0.479,0.46,0.976,312.0,14.4,48.1,39.09,-11.61,13.045,9.0,74.625,19.205,-41.89,20.885,-40.72,828.0,120.0,1636.0,1667.5,312.0,1010878.0,0.865,10.444,47.1,5659808256.0,139833.195,5,0.6
A_s08_eq_idle000,A,8,0.125,random,0.0,25.0,10,,3619,19.04,18.34,21.26,-37.75,-37.75,0.504,0.486,0.973,360.0,16.6,46.8,39.3,-11.595,12.22,11.0,75.06,16.95,-37.75,21.33,-35.78,789.0,113.0,1578.5,1678.0,360.0,756792.5,0.727,7.349,41.95,18640861184.0,371622.25,5,1.0
A_s09_eq_idle000,A,9,0.111111,random,0.0,25.0,10,,3619,19.97,19.24,20.94,-36.53,-36.65,0.547,0.528,1.03,403.0,18.6,48.75,38.14,-11.53,12.606,11.0,74.97,18.37,-36.535,21.57,-31.96,744.0,108.0,1477.5,1741.5,403.0,819650.5,0.679,7.715,42.4,2666470768640.0,64257296.0,1,1.1
A_s10_eq_idle000,A,10,0.1,random,0.0,25.0,10,C_s10_p1000,3619,20.77,18.78,22.24,-35.37,-37.38,0.591,0.522,1.09,447.5,20.65,48.6,39.08,-11.515,13.198,11.0,75.04,18.145,-35.37,23.595,-31.025,713.5,83.5,1427.0,1750.5,447.5,736458.0,0.656,8.55,41.5,186963894206464.0,2367848192.0,5,1.0
A_s11_eq_idle000,A,11,0.090909,random,0.0,25.0,10,,3619,20.07,18.99,21.61,-36.07,-37.59,0.555,0.525,1.085,491.5,22.65,48.2,38.205,-11.55,12.581,12.0,74.785,17.7,-36.045,22.815,-33.395,643.5,68.0,1303.0,1825.0,491.5,698315.5,0.573,7.174,38.6,1426334211375104.0,20198597632.0,7,0.9
A_s12_eq_idle000,A,12,0.083333,random,0.0,25.0,10,,3619,19.43,18.47,20.56,-35.67,-38.68,0.546,0.49,1.069,531.0,24.45,48.1,37.74,-11.58,12.266,13.0,74.2,17.51,-35.3,21.24,-33.505,605.0,56.5,1216.5,1871.5,531.0,614215.5,0.504,5.414,36.8,5262338215116800.0,49127835648.0,1,0.9
A_s13_eq_idle000,A,13,0.076923,random,0.0,25.0,10,,3619,19.8,18.95,20.67,-35.01,-36.66,0.575,0.517,1.1,569.5,26.25,49.05,38.215,-11.715,12.58,13.0,73.995,16.75,-33.65,22.92,-33.93,556.0,60.0,1120.0,1929.0,569.5,549850.5,0.427,4.974,31.8,2.274354748540846e+17,2146623160320.0,3,1.1
A_s14_eq_idle000,A,14,0.071429,random,0.0,25.0,10,,3619,20.04,18.85,20.98,-35.76,-36.64,0.56,0.527,1.118,605.0,27.9,49.3,38.015,-11.645,12.76,13.0,73.755,18.265,-34.465,21.815,-35.76,536.0,56.0,1088.5,1925.5,605.0,571415.5,0.451,5.035,33.55,7.44297326504942e+18,55962178158592.0,5,1.2
A_s16_eq_idle000,A,16,0.0625,random,0.0,25.0,10,B_s16_p0625|C_s16_p0625,3619,19.27,18.69,19.89,-36.8,-37.3,0.532,0.502,1.111,688.5,31.75,49.1,36.77,-11.625,12.277,14.0,72.84,16.94,-34.97,21.565,-36.8,462.0,32.0,962.0,1968.5,688.5,435291.5,0.351,3.756,26.3,9.741492526266544e+20,8982825449553920.0,2,1.2
