label,axis,slots,slot_pct,select,cagr,cagr_worst,maxdd,calmar,invested,streak,tr_yr,w1_cagr,w1_dd,w2_cagr,w2_dd,w1_w2_drop,robust_w2,cagr_wins,cagr_delta,calmar_wins,calmar_delta,w1_wins,w2_wins,cap_med,cap_p95,cap_over1,pos_rs,mult_all,mult_drop10
A_s06_eq,A,6,0.166667,random,21.89,20.69,-42.5,0.516,74.06,11.0,12.3,22.4,-40.15,21.295,-42.5,1.1,True,27,1.03,1,-0.071,30,8,1.264,18.061,55.3,1556698.0,434864416.0,11518.519
A_s07_eq,A,7,0.142857,random,20.75,19.83,-39.98,0.519,74.525,9.0,14.5,21.04,-39.98,20.245,-39.65,0.79,True,12,-0.38,1,-0.086,30,6,0.992,12.389,49.65,1226011.5,2703219328.0,68950.734
A_s08_eq,A,8,0.125,random,20.37,19.08,-35.64,0.571,75.35,11.0,16.6,18.595,-35.64,22.34,-34.7,-3.75,True,9,-0.45,6,-0.033,0,13,0.829,9.4,44.8,900871.0,16534887936.0,333754.562
A_s09_eq,A,9,0.111111,random,21.56,20.89,-34.26,0.629,75.03,11.0,18.7,20.07,-34.26,23.07,-30.77,-3.0,True,24,0.53,22,0.028,30,15,0.792,9.992,45.85,986556.5,3958314237952.0,78619076.0
A_s10_eq,A,10,0.1,random,22.46,20.7,-33.57,0.669,75.01,11.0,20.7,20.2,-32.855000000000004,24.82,-30.12,-4.62,True,27,1.4,25,0.064,29,21,0.772,10.703,45.85,911877.0,275209324068864.0,3325546752.0
A_s11_eq,A,11,0.090909,random,22.03,20.45,-33.85,0.67,74.885,12.0,22.5,19.72,-33.849999999999994,24.384999999999998,-30.49,-4.66,True,27,1.13,26,0.058,29,22,0.673,8.894,42.4,888504.5,2824346200440832.0,32111905792.0
A_s12_eq,A,12,0.083333,random,21.33,19.88,-33.6,0.633,74.19,13.0,24.4,19.55,-32.97,23.085,-32.14,-3.54,True,22,0.33,24,0.025,29,15,0.603,7.186,40.05,772702.0,1.1319100156411904e+16,110750302208.0
A_s13_eq,A,13,0.076923,random,20.76,19.57,-33.29,0.616,73.83,13.0,26.3,18.91,-31.32,22.55,-33.025000000000006,-3.64,True,11,-0.26,19,0.02,14,12,0.532,6.431,37.6,692253.5,6.478904264176435e+16,624847650816.0
A_s14_eq,A,14,0.071429,random,21.21,20.59,-34.41,0.615,73.705,14.0,27.9,19.9,-32.15,22.47,-34.41,-2.57,True,21,0.32,16,0.014,30,11,0.526,6.178,38.15,689562.5,4.1544832450748733e+18,33178734559232.0
A_s16_eq,A,16,0.0625,random,20.94,19.81,-35.5,0.601,72.89,14.0,31.7,18.935000000000002,-32.705,22.9,-35.5,-3.96,True,0,0.0,0,0.0,0,0,0.426,4.704,32.9,542587.5,9.23786201681212e+20,7667506881757184.0
A_s18_eq,A,18,0.055556,random,20.29,19.25,-36.54,0.556,71.61,14.0,35.3,18.15,-32.11,22.45,-36.54,-4.3,True,3,-0.8,2,-0.042,0,8,0.354,3.8,26.45,446207.5,4.330662752759357e+22,3.4311834020767334e+17
A_s20_eq,A,20,0.05,random,20.57,19.42,-34.86,0.585,70.98,15.0,38.3,18.57,-31.42,22.575,-34.86,-4.0,True,10,-0.28,12,-0.014,0,12,0.323,3.667,24.15,418608.0,5.094064225437476e+25,4.192771560479151e+20
A_s24_eq,A,24,0.041667,random,19.87,19.32,-35.12,0.566,68.95,15.0,45.1,17.89,-33.53,21.825,-35.12,-3.93,True,1,-1.2,4,-0.03,0,5,0.23,2.336,17.05,315554.5,2.2429347124671184e+29,1.284228239169679e+24
A_s30_eq,A,30,0.033333,random,17.55,17.26,-31.08,0.565,66.26,15.0,55.1,15.59,-30.83,19.549999999999997,-31.08,-3.96,True,0,-3.5,3,-0.037,0,0,0.157,1.501,8.6,213885.0,6.849909395859741e+30,4.553986678223533e+25
B_s08_p0625,B,8,0.0625,random,15.46,14.32,-23.69,0.647,45.3,11.0,18.8,14.575,-23.69,16.265,-19.755000000000003,-1.69,True,0,-5.43,26,0.053,0,0,0.283,2.254,15.3,320979.5,35687211466752.0,722316464.0
B_s10_p0625,B,10,0.0625,random,16.94,15.93,-26.13,0.651,54.57,12.0,23.3,15.190000000000001,-25.825000000000003,18.715,-24.27,-3.52,True,0,-4.05,25,0.046,0,0,0.32,2.901,21.0,360135.0,2043610870579200.0,30647315456.0
B_s12_p0625,B,12,0.0625,random,18.52,17.11,-30.57,0.601,63.34,13.0,27.3,16.57,-30.060000000000002,20.345,-28.200000000000003,-3.77,True,0,-2.36,16,0.004,0,1,0.368,3.416,25.45,420471.0,5.3901918592198246e+17,4908899106816.0
B_s14_p0625,B,14,0.0625,random,20.73,18.59,-33.45,0.615,71.17,14.0,30.75,18.545,-32.61,23.015,-33.445,-4.47,True,13,-0.34,17,0.012,0,13,0.427,4.67,32.25,508299.0,3.599772218153511e+20,2997273260720128.0
C_s10_p0400,C,10,0.04,random,12.82,12.2,-17.12,0.754,35.89,12.0,23.3,11.719999999999999,-16.93,13.870000000000001,-15.68,-2.15,True,0,-8.21,30,0.133,0,0,0.144,0.976,4.9,160328.5,2043610400817152.0,30647319552.0
C_s10_p0500,C,10,0.05,random,14.68,13.89,-21.25,0.691,44.3,12.0,23.3,13.285,-21.095,16.045,-19.505000000000003,-2.76,True,0,-6.36,29,0.081,0,0,0.211,1.639,10.35,236974.5,2043612145647616.0,30647328768.0
C_s10_p0800,C,10,0.08,random,20.05,18.74,-32.45,0.627,68.455,12.0,23.3,17.835,-31.775,22.36,-30.115000000000002,-4.52,True,7,-1.0,19,0.017,0,10,0.54,6.034,38.15,605299.5,2364826911244288.0,35464466432.0
C_s16_p0400,C,16,0.04,random,16.07,15.3,-25.84,0.621,52.84,14.0,35.2,14.34,-25.51,17.785,-25.36,-3.45,True,0,-4.88,17,0.015,0,0,0.181,1.48,8.9,212705.5,1.829535500928554e+22,1.3205097283374285e+17
C_s16_p0500,C,16,0.05,random,18.68,17.71,-31.01,0.589,64.99,14.0,35.2,16.515,-30.54,20.814999999999998,-30.925,-4.3,True,0,-2.26,12,-0.01,0,5,0.276,2.683,19.0,331987.5,1.8295303217889824e+22,1.320504789125038e+17
C_s20_p0400,C,20,0.04,random,17.74,16.9,-29.88,0.593,62.695,15.0,42.7,15.745000000000001,-29.134999999999998,19.57,-29.83,-3.82,True,0,-3.26,11,-0.019,0,1,0.204,1.886,11.75,250952.0,1.0405891803496492e+26,6.761433560868979e+20
D_rs_s08,D,8,0.125,rs,21.62,21.62,-35.64,0.607,75.14,11.0,16.9,18.27,-35.64,25.1,-34.71,-6.83,True,28,0.68,19,0.006,0,30,0.858,13.391,45.1,884891.0,68861485056.0,883468.625
D_rs_s16,D,16,0.0625,rs,20.59,20.59,-36.05,0.571,72.82,14.0,32.0,19.24,-32.73,21.87,-36.05,-2.63,True,5,-0.35,5,-0.03,28,4,0.438,5.464,34.0,544268.0,3.787416104002786e+20,3492456683274240.0
D_ext_s08,D,8,0.125,ext,21.75,21.75,-36.46,0.596,74.9,11.0,16.1,18.22,-35.64,25.44,-36.46,-7.22,True,30,0.81,13,-0.005,0,30,0.791,11.228,44.3,830376.0,87147634688.0,1148979.875
D_ext_s16,D,16,0.0625,ext,20.86,20.86,-35.99,0.579,72.85,14.0,31.9,19.67,-32.67,21.94,-35.99,-2.27,True,9,-0.08,9,-0.022,30,5,0.442,5.726,35.0,573540.0,1.1867792851304417e+21,1.0943536941760512e+16
D_tv_s08,D,8,0.125,tv,22.97,22.97,-35.64,0.645,75.03,11.0,16.2,18.27,-35.64,27.94,-34.74,-9.67,True,30,2.03,25,0.044,0,30,0.682,12.686,40.7,851219.0,658415484928.0,8680737.0
D_tv_s16,D,16,0.0625,tv,21.72,21.72,-32.67,0.665,72.99,14.0,31.5,19.67,-32.67,23.73,-32.55,-4.06,True,29,0.78,29,0.064,30,22,0.435,5.172,34.4,602579.0,1.5060265711608028e+22,1.3887391922546278e+17
D_age_s08,D,8,0.125,age,19.75,19.75,-35.64,0.554,75.52,11.0,16.7,18.53,-35.64,20.97,-34.7,-2.44,True,0,-1.19,2,-0.047,0,2,0.847,8.771,44.6,876959.0,6970391552.0,166843.203
