slice,variant,n,total,mean,median,win_pct,worst,p05,gb_p50,gb_p90,gb_max,gb_mean,n_gb,rescue,cut_short,uplift,early_exit_pct
ALL,NO_DEFENCE,236,141596,600,775,74,-16527,-4036,299,3581,18138,1118,219,13,14,4913,0
ALL,STATIC,236,136683,579,628,71,-6667,-3620,289,3417,7644,1042,215,0,0,0,12
ALL,BE_CLAMP_50,236,134234,569,628,71,-6667,-3620,289,3749,7644,1053,215,0,2,-2449,13
ALL,BE_CLAMP_60,236,132300,561,616,70,-6667,-3620,289,3749,7644,1062,215,1,4,-4383,14
ALL,BE_CLAMP_70,236,126211,535,566,69,-6667,-3620,299,3464,7644,1058,215,3,6,-10472,14
ALL,RATCHET_K1.3,236,85521,362,490,67,-6667,-3247,400,3030,7644,1013,213,21,29,-51162,29
ALL,RATCHET_K1.5,236,78882,334,510,67,-6667,-3570,373,3401,7644,1120,215,11,24,-57801,24
ALL,RATCHET_K1.75,236,112401,476,590,68,-6667,-3706,324,3464,7644,1108,215,7,12,-24282,20
ALL,RATCHET_K2,236,132648,562,620,71,-6667,-3620,302,3417,7644,1055,215,5,6,-4035,17
ALL,RATCHET_K2.5,236,135334,573,640,71,-6667,-3620,289,3749,7644,1048,215,1,1,-1349,14
ALL,GIVEBACK_30,236,79327,336,535,74,-6667,-3570,381,3030,7644,881,215,13,36,-57356,33
ALL,GIVEBACK_50,236,78625,333,422,73,-6667,-3570,404,3030,7644,996,215,9,31,-58058,29
ALL,RS_GB_1000,236,55163,234,294,64,-5040,-2880,1022,1590,5532,979,215,26,68,-81520,51
ALL,RS_GB_2000,236,110696,469,566,69,-6667,-3570,351,3030,7644,1039,215,8,18,-25987,22
ALL,RS_GB_3000,236,129728,550,566,71,-6667,-3570,299,3459,7644,1050,215,4,6,-6955,17
ALL,TIME_RATCHET_MID,236,111539,473,566,69,-6667,-3620,356,3369,7644,1063,215,9,19,-25144,22
ALL,HYBRID_BE60_GB50,236,78625,333,422,73,-6667,-3570,404,3030,7644,996,215,9,31,-58058,29
COMB_NIFTY,NO_DEFENCE,68,42478,625,1372,69,-15821,-4676,640,4508,10072,1408,63,3,4,-18552,0
COMB_NIFTY,STATIC,68,61030,898,1372,69,-5853,-2990,640,4508,6692,1212,61,0,0,0,12
COMB_NIFTY,BE_CLAMP_50,68,61030,898,1372,69,-5853,-2990,640,4508,6692,1212,61,0,0,0,12
COMB_NIFTY,BE_CLAMP_60,68,60845,895,1238,68,-5853,-2990,640,3942,6692,1216,61,1,1,-185,13
COMB_NIFTY,BE_CLAMP_70,68,62759,923,1238,68,-5853,-2990,640,3413,6692,1182,61,2,1,1729,13
COMB_NIFTY,RATCHET_K1.3,68,50128,737,1116,66,-5853,-3078,653,3393,6692,1159,61,8,9,-10902,34
COMB_NIFTY,RATCHET_K1.5,68,48667,716,1068,68,-5853,-2990,660,3029,6692,1251,61,4,8,-12363,26
COMB_NIFTY,RATCHET_K1.75,68,59825,880,1372,68,-5853,-2990,653,3413,6692,1216,61,2,3,-1205,19
COMB_NIFTY,RATCHET_K2,68,60970,897,1482,69,-5853,-2990,640,3627,6692,1213,61,2,1,-60,16
COMB_NIFTY,RATCHET_K2.5,68,61609,906,1372,69,-5853,-2990,640,4508,6692,1203,61,1,0,579,13
COMB_NIFTY,GIVEBACK_30,68,41440,609,1004,74,-5853,-2990,572,2086,6692,954,61,4,13,-19590,34
COMB_NIFTY,GIVEBACK_50,68,43373,638,984,74,-5853,-2990,653,2249,6692,1071,61,4,10,-17657,29
COMB_NIFTY,RS_GB_1000,68,28241,415,480,65,-4953,-1696,1154,1469,5421,1099,61,10,30,-32789,68
COMB_NIFTY,RS_GB_2000,68,58016,853,1102,68,-5853,-2645,660,2444,6692,1146,61,4,5,-3014,22
COMB_NIFTY,RS_GB_3000,68,63040,927,1372,69,-5853,-2990,640,3627,6692,1180,61,2,1,2010,15
COMB_NIFTY,TIME_RATCHET_MID,68,59171,870,1116,69,-5853,-2990,653,2880,6692,1181,61,4,7,-1859,25
