construction,venue,day,dte,credit,n_min,peak_frac_window,peak_rs,final_rs,giveback_rs,mae_from_peak_rs,stop_dist_at_peak_rs,went_deep,after_deep_min_rs,after_deep_hit_stop
COMB_NIFTY,NIFTY,2026-04-20,1,270.65,84,0.807,822,-406,1228,1228,6100,0,,
COMB_NIFTY,NIFTY,2026-04-27,1,245.75,360,0.471,2642,1982,660,1417,7434,0,,
TIMEB_NIFTY,NIFTY,2026-04-27,1,199.85,61,0.2,166,-123,289,650,2764,0,,
COMB_NIFTY,NIFTY,2026-04-28,0,116.2,361,0.944,3601,19,3581,4576,5489,1,-497,0
TIMEB_NIFTY,NIFTY,2026-04-28,0,117.45,91,0.811,1739,1368,370,773,3647,0,,
COMB_NIFTY,NIFTY,2026-04-30,3,364.35,359,0.665,455,-702,1157,3666,5192,0,,
COMB_NIFTY,NIFTY,2026-05-01,2,367.9,361,0.0,0,0,0,0,7174,0,,
TIMEB_NIFTY,NIFTY,2026-05-01,2,367.9,121,0.0,0,0,0,0,4783,0,,
COMB_NIFTY,NIFTY,2026-05-04,1,260.8,361,0.992,2857,2701,156,3754,7942,0,,
TIMEB_NIFTY,NIFTY,2026-05-04,1,241.9,61,0.867,611,513,98,1180,3756,0,,
COMB_NIFTY,NIFTY,2026-05-05,0,148.4,360,1.0,8408,8408,0,4488,10819,1,3913,0
TIMEB_NIFTY,NIFTY,2026-05-05,0,127.1,91,0.556,1404,767,637,1105,3469,0,,
COMB_NIFTY,NIFTY,2026-05-07,3,358.05,360,0.997,1368,1307,62,2922,6023,0,,
COMB_NIFTY,NIFTY,2026-05-08,2,327.95,361,0.994,2528,2301,227,955,8924,0,,
TIMEB_NIFTY,NIFTY,2026-05-08,2,330.95,121,0.875,952,861,91,315,5255,0,,
COMB_NIFTY,NIFTY,2026-05-11,1,255.5,361,0.953,3829,3383,445,1248,8811,0,,
TIMEB_NIFTY,NIFTY,2026-05-11,1,212.35,61,1.0,241,241,0,559,3001,0,,
COMB_NIFTY,NIFTY,2026-05-12,0,133.6,361,0.008,211,-15571,15782,16520,2382,0,,
TIMEB_NIFTY,NIFTY,2026-05-12,0,132.45,91,0.811,1657,1615,42,513,3810,0,,
COMB_NIFTY,NIFTY,2026-05-14,3,394.2,361,0.344,1677,1225,452,4475,6802,0,,
COMB_NIFTY,NIFTY,2026-05-15,2,347.8,361,0.994,2178,1999,179,1485,8960,0,,
TIMEB_NIFTY,NIFTY,2026-05-15,2,344.95,121,0.608,829,540,289,1014,5313,0,,
COMB_NIFTY,NIFTY,2026-05-18,1,272.4,361,0.247,1839,-1479,3318,6350,7151,0,,
TIMEB_NIFTY,NIFTY,2026-05-18,1,255.6,61,0.967,429,429,0,442,3752,0,,
COMB_NIFTY,NIFTY,2026-05-19,0,137.55,360,0.827,6117,679,5437,5863,8352,1,254,0
TIMEB_NIFTY,NIFTY,2026-05-19,0,127.85,91,1.0,1726,1726,0,2454,3803,0,,
COMB_NIFTY,NIFTY,2026-05-21,3,372.1,361,0.469,1989,1043,946,3461,6826,0,,
COMB_NIFTY,NIFTY,2026-05-22,2,319.75,361,0.997,2805,2642,162,1700,9040,0,,
TIMEB_NIFTY,NIFTY,2026-05-22,2,310.35,121,0.833,1079,812,267,812,5114,0,,
COMB_NIFTY,NIFTY,2026-05-25,1,219.85,360,0.847,3253,2174,1079,1664,7540,0,,
TIMEB_NIFTY,NIFTY,2026-05-25,1,184.55,61,0.983,796,770,26,211,3195,0,,
COMB_NIFTY,NIFTY,2026-05-26,0,115.1,361,0.728,3315,1852,1462,3741,5185,1,-426,0
TIMEB_NIFTY,NIFTY,2026-05-26,0,114.35,91,0.978,1677,1648,29,514,3535,0,,
COMB_NIFTY,NIFTY,2026-05-28,3,305.25,361,0.0,0,0,0,0,3968,0,,
COMB_NIFTY,NIFTY,2026-05-29,2,278.2,361,0.425,1089,-2925,4014,7641,6514,0,,
TIMEB_NIFTY,NIFTY,2026-05-29,2,279.65,121,1.0,884,884,0,390,4519,0,,
COMB_NIFTY,NIFTY,2026-06-01,1,219.55,360,0.343,1138,-3370,4508,5405,5419,0,,
TIMEB_NIFTY,NIFTY,2026-06-01,1,202.65,61,0.917,663,653,10,146,3297,0,,
COMB_NIFTY,NIFTY,2026-06-02,0,122.05,361,0.536,3484,-4426,7910,12724,5467,1,-9240,1
TIMEB_NIFTY,NIFTY,2026-06-02,0,115.7,91,1.0,1788,1788,0,2168,3668,0,,
COMB_NIFTY,NIFTY,2026-06-04,3,364.5,365,0.769,2327,660,1667,2051,7065,0,,
COMB_NIFTY,NIFTY,2026-06-05,2,311.95,364,0.989,2220,1957,263,4192,8303,0,,
TIMEB_NIFTY,NIFTY,2026-06-05,2,315.7,121,0.867,1245,1082,162,1648,5349,0,,
COMB_NIFTY,NIFTY,2026-06-08,1,259.8,365,0.978,4212,4059,153,2139,9278,0,,
TIMEB_NIFTY,NIFTY,2026-06-08,1,228.9,61,0.267,572,374,198,572,3548,0,,
COMB_NIFTY,NIFTY,2026-06-09,0,109.3,336,0.872,4761,4462,299,2896,6537,1,1866,0
TIMEB_NIFTY,NIFTY,2026-06-09,0,109.3,76,0.813,400,97,302,978,2176,0,,
COMB_NIFTY,NIFTY,2026-06-11,3,340.15,365,0.964,2681,1973,708,4690,7103,0,,
COMB_NIFTY,NIFTY,2026-06-12,2,275.2,364,0.691,2207,-2740,4947,7030,7573,0,,
TIMEB_NIFTY,NIFTY,2026-06-12,2,280.5,121,1.0,754,754,0,302,4400,0,,
COMB_NIFTY,NIFTY,2026-06-15,1,204.1,362,0.95,1937,1297,640,1956,5917,0,,
TIMEB_NIFTY,NIFTY,2026-06-15,1,195.6,61,1.0,660,660,0,306,3203,0,,
COMB_NIFTY,NIFTY,2026-06-16,0,114.7,365,0.626,3569,1794,1774,2389,5432,1,1180,0
TIMEB_NIFTY,NIFTY,2026-06-16,0,103.7,91,0.978,1336,1316,19,604,3021,0,,
COMB_NIFTY,NIFTY,2026-06-18,3,280.3,364,0.953,3364,2724,640,1329,7008,0,,
COMB_NIFTY,NIFTY,2026-06-19,2,243.55,364,0.989,2064,1836,228,1098,6813,0,,
TIMEB_NIFTY,NIFTY,2026-06-19,2,247.75,121,0.783,488,380,107,816,3708,0,,
COMB_NIFTY,NIFTY,2026-06-22,1,169.0,365,0.978,2671,2431,240,270,5967,0,,
TIMEB_NIFTY,NIFTY,2026-06-22,1,143.55,61,1.0,263,263,0,98,2129,0,,
COMB_NIFTY,NIFTY,2026-06-23,0,88.35,364,0.416,1381,-8690,10072,10273,2817,0,,
TIMEB_NIFTY,NIFTY,2026-06-23,0,80.1,91,1.0,1089,1089,0,770,2390,0,,
COMB_NIFTY,NIFTY,2026-06-25,3,240.05,287,0.864,2096,1976,120,2555,5217,0,,
COMB_NIFTY,NIFTY,2026-06-26,2,214.3,360,0.0,0,0,0,0,4179,0,,
TIMEB_NIFTY,NIFTY,2026-06-26,2,214.3,120,0.0,0,0,0,0,2786,0,,
COMB_NIFTY,NIFTY,2026-06-29,1,178.0,330,0.319,1072,-1014,2086,4167,4544,0,,
TIMEB_NIFTY,NIFTY,2026-06-29,1,175.65,51,0.98,403,403,0,120,2686,0,,
COMB_NIFTY,NIFTY,2026-06-30,0,111.9,362,0.9,3429,-1420,4849,6773,5247,1,-3344,1
TIMEB_NIFTY,NIFTY,2026-06-30,0,137.25,91,0.967,2168,1950,218,351,4398,0,,
