slice,variant,n,total,mean,median,win_pct,worst,p05,gb_p50,gb_p90,gb_max,gb_mean,n_gb,rescue,cut_short,uplift,early_exit_pct
NIFTY_DTE0,NO_DEFENCE,34,18728,551,1242,74,-15821,-4676,302,4849,10072,1437,33,3,4,-16832,0
NIFTY_DTE0,STATIC,34,35560,1046,1092,71,-2704,-2473,299,3029,5707,1008,30,0,0,0,21
NIFTY_DTE0,BE_CLAMP_50,34,35560,1046,1092,71,-2704,-2473,299,3029,5707,1008,30,0,0,0,21
NIFTY_DTE0,BE_CLAMP_60,34,35375,1040,952,68,-2704,-2294,299,3413,5437,1014,30,1,1,-185,24
NIFTY_DTE0,BE_CLAMP_70,34,37289,1097,952,68,-2704,-2294,299,3029,5437,947,30,2,1,1729,24
NIFTY_DTE0,RATCHET_K1.3,34,25180,741,720,62,-2704,-2294,637,1963,2353,875,30,6,8,-10380,56
NIFTY_DTE0,RATCHET_K1.5,34,23197,682,816,68,-2704,-2457,637,2867,4488,1086,30,4,8,-12363,50
NIFTY_DTE0,RATCHET_K1.75,34,34355,1010,1092,68,-2704,-2294,370,3029,4576,1015,30,2,3,-1205,35
NIFTY_DTE0,RATCHET_K2,34,35500,1044,1242,71,-2704,-2294,302,3029,4979,1010,30,2,1,-60,29
NIFTY_DTE0,RATCHET_K2.5,34,36139,1063,1092,71,-2704,-2473,299,3029,5707,989,30,1,0,579,24
NIFTY_DTE0,GIVEBACK_30,34,14096,415,664,79,-2704,-2294,513,917,2080,552,30,5,16,-21464,76
NIFTY_DTE0,GIVEBACK_50,34,17095,503,594,79,-2704,-2294,588,1414,2684,732,30,4,10,-18465,62
NIFTY_DTE0,RS_GB_1000,34,16219,477,634,71,-2704,-2294,1001,1388,1414,745,30,4,10,-19341,59
NIFTY_DTE0,RS_GB_2000,34,32428,954,1032,71,-2704,-2294,370,2353,3029,905,30,3,4,-3132,35
NIFTY_DTE0,RS_GB_3000,34,37570,1105,1092,71,-2704,-2294,299,3029,4576,941,30,2,1,2010,26
NIFTY_DTE0,TIME_RATCHET_MID,34,33701,991,918,71,-2704,-2294,605,2772,3029,944,30,4,7,-1859,47
NIFTY_DTE0,HYBRID_BE60_GB50,34,17095,503,594,79,-2704,-2294,588,1414,2684,732,30,4,10,-18465,62
NIFTY_DTE1,NO_DEFENCE,35,15251,436,182,69,-5171,-1729,198,2086,5639,722,33,0,0,-218,0
NIFTY_DTE1,STATIC,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,BE_CLAMP_50,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,BE_CLAMP_60,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,BE_CLAMP_70,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,RATCHET_K1.3,35,14803,423,182,69,-3656,-2928,198,3393,5245,736,33,2,2,-666,11
NIFTY_DTE1,RATCHET_K1.5,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,RATCHET_K1.75,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,RATCHET_K2,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,RATCHET_K2.5,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,GIVEBACK_30,35,13254,379,182,69,-4953,-1729,198,2086,5421,740,33,0,3,-2215,14
NIFTY_DTE1,GIVEBACK_50,35,13591,388,182,69,-4953,-1729,198,2086,5421,772,33,0,3,-1878,11
NIFTY_DTE1,RS_GB_1000,35,12499,357,182,69,-4953,-656,234,1469,5421,688,33,3,8,-2970,34
NIFTY_DTE1,RS_GB_2000,35,12658,362,179,66,-4953,-1729,234,2152,5421,776,33,0,1,-2811,6
NIFTY_DTE1,RS_GB_3000,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,TIME_RATCHET_MID,35,15469,442,182,69,-4953,-1729,198,2086,5421,716,33,0,0,0,3
NIFTY_DTE1,HYBRID_BE60_GB50,35,13591,388,182,69,-4953,-1729,198,2086,5421,772,33,0,3,-1878,11
NIFTY_DTE2,NO_DEFENCE,32,13852,433,454,75,-3175,-1592,162,712,4947,560,27,1,0,2678,0
NIFTY_DTE2,STATIC,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,BE_CLAMP_50,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,BE_CLAMP_60,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,BE_CLAMP_70,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,RATCHET_K1.3,32,8185,256,454,75,-5853,-2986,162,712,6692,770,27,0,1,-2989,9
NIFTY_DTE2,RATCHET_K1.5,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,RATCHET_K1.75,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,RATCHET_K2,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,RATCHET_K2.5,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,GIVEBACK_30,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,GIVEBACK_50,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,RS_GB_1000,32,12247,383,288,66,-1592,-393,214,1365,2249,506,27,2,5,1073,22
NIFTY_DTE2,RS_GB_2000,32,14103,441,454,75,-5853,-344,162,712,6692,551,27,1,0,2929,6
NIFTY_DTE2,RS_GB_3000,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,TIME_RATCHET_MID,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE2,HYBRID_BE60_GB50,32,11174,349,454,75,-5853,-1592,162,712,6692,659,27,0,0,0,3
NIFTY_DTE3,NO_DEFENCE,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,STATIC,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,BE_CLAMP_50,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,BE_CLAMP_60,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,BE_CLAMP_70,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RATCHET_K1.3,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RATCHET_K1.5,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RATCHET_K1.75,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RATCHET_K2,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RATCHET_K2.5,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,GIVEBACK_30,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,GIVEBACK_50,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RS_GB_1000,17,3036,179,186,65,-1066,-952,1154,1352,2555,1128,15,1,10,-14512,65
NIFTY_DTE3,RS_GB_2000,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,RS_GB_3000,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,TIME_RATCHET_MID,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
NIFTY_DTE3,HYBRID_BE60_GB50,17,17548,1032,1057,76,-952,-373,520,1157,1667,551,15,0,0,0,0
SENSEX_DTE0,NO_DEFENCE,34,77220,2271,2093,91,-5410,-451,449,3097,5525,1318,34,5,2,31125,0
SENSEX_DTE0,STATIC,34,46095,1356,1298,76,-5040,-4326,449,4405,5491,1596,33,0,0,0,21
SENSEX_DTE0,BE_CLAMP_50,34,43646,1284,1298,74,-5040,-4326,449,4498,5491,1670,33,0,2,-2449,26
SENSEX_DTE0,BE_CLAMP_60,34,41897,1232,1222,71,-5040,-4326,449,4498,5491,1723,33,0,3,-4198,29
SENSEX_DTE0,BE_CLAMP_70,34,33894,997,1106,65,-5040,-4326,1333,4405,5491,1758,33,1,5,-12201,35
SENSEX_DTE0,RATCHET_K1.3,34,7310,215,273,56,-4384,-3245,1287,2819,5532,1501,31,11,18,-38785,85
SENSEX_DTE0,RATCHET_K1.5,34,657,19,334,53,-4416,-4045,2016,4057,5532,2032,33,7,16,-45438,76
SENSEX_DTE0,RATCHET_K1.75,34,23018,677,910,59,-5040,-4326,1746,5015,6108,2024,33,5,9,-23077,62
SENSEX_DTE0,RATCHET_K2,34,42120,1239,1381,76,-5040,-4326,1421,4405,5491,1683,33,3,5,-3975,47
SENSEX_DTE0,RATCHET_K2.5,34,44167,1299,1298,76,-5040,-4326,449,4498,5491,1654,33,0,1,-1928,32
SENSEX_DTE0,GIVEBACK_30,34,5880,173,506,82,-5040,-4326,629,3749,5491,1134,33,5,17,-40215,85
SENSEX_DTE0,GIVEBACK_50,34,5309,156,380,79,-5040,-4326,1072,3749,5491,1584,33,3,18,-40786,82
SENSEX_DTE0,RS_GB_1000,34,10691,314,658,74,-5040,-4326,1128,3749,5532,1510,33,8,14,-35404,79
SENSEX_DTE0,RS_GB_2000,34,19997,588,988,68,-5040,-4326,2102,4405,5491,1798,33,2,11,-26098,59
SENSEX_DTE0,RS_GB_3000,34,33080,973,1008,71,-5040,-4326,1491,4405,5491,1837,33,1,4,-13015,41
SENSEX_DTE0,TIME_RATCHET_MID,34,22810,671,807,65,-5040,-4326,1665,4405,5491,1793,33,5,12,-23285,68
SENSEX_DTE0,HYBRID_BE60_GB50,34,5309,156,380,79,-5040,-4326,1072,3749,5491,1584,33,3,18,-40786,82
SENSEX_DTE1,NO_DEFENCE,34,-11459,-337,338,68,-16527,-3741,258,1281,18138,1244,30,2,4,-11310,0
SENSEX_DTE1,STATIC,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,BE_CLAMP_50,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,BE_CLAMP_60,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,BE_CLAMP_70,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,RATCHET_K1.3,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,RATCHET_K1.5,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,RATCHET_K1.75,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,RATCHET_K2,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,RATCHET_K2.5,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,GIVEBACK_30,34,4561,134,362,71,-3346,-2877,258,1281,3417,638,30,1,0,4710,24
SENSEX_DTE1,GIVEBACK_50,34,2710,80,338,68,-3346,-2877,258,2375,3417,700,30,1,0,2859,21
SENSEX_DTE1,RS_GB_1000,34,-11795,-347,28,53,-3346,-2877,479,2073,3417,922,30,1,7,-11646,44
SENSEX_DTE1,RS_GB_2000,34,-1234,-36,315,65,-3706,-2989,258,3369,5317,832,30,0,1,-1085,21
SENSEX_DTE1,RS_GB_3000,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,TIME_RATCHET_MID,34,-149,-4,338,68,-3706,-2989,258,3369,5317,795,30,0,0,0,18
SENSEX_DTE1,HYBRID_BE60_GB50,34,2710,80,338,68,-3346,-2877,258,2375,3417,700,30,1,0,2859,21
SENSEX_DTE2,NO_DEFENCE,17,1823,107,1113,71,-5017,-4966,373,5005,6489,1659,17,1,3,-2010,0
SENSEX_DTE2,STATIC,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,BE_CLAMP_50,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,BE_CLAMP_60,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,BE_CLAMP_70,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,RATCHET_K1.3,17,4917,289,1113,71,-4222,-3346,373,4038,4869,1477,17,1,0,1084,24
SENSEX_DTE2,RATCHET_K1.5,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,RATCHET_K1.75,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,RATCHET_K2,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,RATCHET_K2.5,17,3833,225,1113,71,-4430,-4222,373,4038,5953,1541,17,0,0,0,24
SENSEX_DTE2,GIVEBACK_30,17,5661,333,1227,71,-4430,-4222,373,4038,5953,1433,17,2,0,1828,35
SENSEX_DTE2,GIVEBACK_50,17,4045,238,1227,71,-4430,-4222,373,4038,5953,1528,17,1,0,212,35
SENSEX_DTE2,RS_GB_1000,17,1494,88,152,59,-4222,-3247,1291,3030,4746,1385,17,3,4,-2339,65
