label,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups
BASELINE_6M_ONLY,32.19,1.05,1.14,27.0,1.19,21,81.0,23085034.76,130.85,33
DAILY_ATH15_NO_REPLACE,18.6,0.83,0.98,5.5,3.38,29,55.2,16675593.27,66.76,33
DAILY_ATH20_NO_REPLACE,22.18,0.89,0.93,7.79,2.85,28,71.4,18230587.76,82.31,33
DAILY_ATH25_NO_REPLACE,25.77,0.9,0.9,13.91,1.85,26,84.6,19885695.21,98.86,33
DAILY_ATH30_NO_REPLACE,25.88,0.84,0.86,20.34,1.27,20,95.0,19937330.97,99.37,33
DAILY_ATH15_REPLACE,27.08,1.04,1.3,20.41,1.33,135,44.4,20512928.9,105.13,34
DAILY_ATH20_REPLACE,25.88,0.9,1.04,19.19,1.35,68,50.0,19935214.23,99.35,33
DAILY_ATH25_REPLACE,27.08,0.85,0.94,23.01,1.18,43,60.5,20512944.31,105.13,33
DAILY_ATH30_REPLACE,27.61,0.86,0.95,26.69,1.03,25,76.0,20772287.93,107.72,33
