date,sym,dir,variant,entry_t,entry,exit_t,exit,reason,pnl_unit,pnl_mis,qty_mis
2026-01-29,TATASTEEL,LONG,strict,09:30,197.49,15:10,202.56,TGT,5.07,59298.72,11696
2026-01-29,TATASTEEL,LONG,lenient,09:30,197.49,15:10,202.56,TGT,5.07,59298.72,11696
2026-01-29,TRENT,SHORT,strict,09:35,3810.2,14:30,3810.2,SL,0.0,0.0,606
2026-01-29,TRENT,SHORT,lenient,09:35,3810.2,15:20,3824.9,EOD_1518,-14.7,-8908.2,606
2026-01-30,BEL,LONG,strict,10:05,447.9,14:30,448.07,SL,0.175,902.48,5157
2026-01-30,BEL,LONG,lenient,10:05,447.9,14:30,448.07,SL,0.175,902.48,5157
2026-01-30,M&M,LONG,strict,10:40,3378.9,15:20,3432.6,EOD_1518,53.7,36677.1,683
2026-01-30,M&M,LONG,lenient,10:40,3378.9,15:20,3432.6,EOD_1518,53.7,36677.1,683
2026-01-30,BAJFINANCE,LONG,strict,11:35,933.55,14:30,933.55,SL,0.0,0.0,2474
2026-01-30,BAJFINANCE,LONG,lenient,11:35,933.55,15:20,926.65,EOD_1518,-6.9,-17070.6,2474
2026-01-30,TRENT,SHORT,strict,10:20,3787.6,14:35,3780.1,SL,7.5,4567.5,609
2026-01-30,TRENT,SHORT,lenient,10:20,3787.6,14:35,3780.1,SL,7.5,4567.5,609
2026-01-30,HAL,LONG,strict,10:35,4628,14:30,4628,SL,0,0,499
2026-01-30,HAL,LONG,lenient,10:35,4628,15:20,4616.9,EOD_1518,-11.1,-5538.9,499
2026-01-30,IRCTC,LONG,strict,09:50,615.6,15:20,622.5,EOD_1518,6.9,25888.8,3752
2026-01-30,IRCTC,LONG,lenient,09:50,615.6,15:20,622.5,EOD_1518,6.9,25888.8,3752
2026-01-30,RELIANCE,LONG,strict,09:35,1388,14:40,1390.9,SL,2.9,4825.6,1664
2026-01-30,RELIANCE,LONG,lenient,09:35,1388,14:40,1390.9,SL,2.9,4825.6,1664
2026-01-30,APOLLOHOSP,LONG,strict,09:30,6892.5,15:20,6955,EOD_1518,62.5,20937.5,335
2026-01-30,APOLLOHOSP,LONG,lenient,09:30,6892.5,15:20,6955,EOD_1518,62.5,20937.5,335
2026-02-04,BAJFINANCE,LONG,strict,10:35,969.4,14:30,969.4,SL,0.0,0.0,2382
2026-02-04,BAJFINANCE,LONG,lenient,10:35,969.4,15:20,964.1,EOD_1518,-5.3,-12624.6,2382
2026-02-04,TRENT,LONG,strict,10:10,3886.5,14:05,4008.75,TGT,122.25,72616.5,594
2026-02-04,TRENT,LONG,lenient,10:10,3886.5,14:05,4008.75,TGT,122.25,72616.5,594
2026-02-05,TATASTEEL,LONG,strict,10:30,194.36,15:20,197.5,EOD_1518,3.14,37318.9,11885
2026-02-05,TATASTEEL,LONG,lenient,10:30,194.36,15:20,197.5,EOD_1518,3.14,37318.9,11885
2026-02-05,VEDL,SHORT,strict,11:00,645.45,14:30,645.45,SL,0.0,0.0,3578
2026-02-05,VEDL,SHORT,lenient,11:00,645.45,15:20,655,EOD_1518,-9.55,-34169.9,3578
2026-02-05,BAJFINANCE,LONG,strict,11:55,964.1,14:30,964.58,SL,0.475,1138.1,2396
2026-02-05,BAJFINANCE,LONG,lenient,11:55,964.1,14:30,964.58,SL,0.475,1138.1,2396
2026-02-05,APOLLOHOSP,SHORT,strict,09:50,7059.5,14:30,7059.5,SL,0.0,0.0,327
2026-02-05,APOLLOHOSP,SHORT,lenient,09:50,7059.5,15:20,7125.5,EOD_1518,-66.0,-21582.0,327
2026-02-06,ADANIENT,SHORT,strict,10:10,2213.7,14:30,2213.7,SL,0.0,0.0,1043
2026-02-06,ADANIENT,SHORT,lenient,10:10,2213.7,15:20,2224.6,EOD_1518,-10.9,-11368.7,1043
2026-02-06,VEDL,LONG,strict,11:05,658.3,15:20,670.75,EOD_1518,12.45,43687.05,3509
2026-02-06,VEDL,LONG,lenient,11:05,658.3,15:20,670.75,EOD_1518,12.45,43687.05,3509
2026-02-06,GRASIM,SHORT,strict,09:40,2859.4,12:40,2830.0,TGT,29.4,23725.8,807
2026-02-06,GRASIM,SHORT,lenient,09:40,2859.4,12:40,2830.0,TGT,29.4,23725.8,807
2026-02-06,AXISBANK,LONG,strict,11:05,1338.5,14:30,1338.9,SL,0.4,690.0,1725
2026-02-06,AXISBANK,LONG,lenient,11:05,1338.5,14:30,1338.9,SL,0.4,690.0,1725
2026-02-09,BEL,LONG,strict,09:30,433.75,14:40,436.3,SL,2.55,13578.75,5325
2026-02-09,BEL,LONG,lenient,09:30,433.75,14:40,436.3,SL,2.55,13578.75,5325
2026-02-09,BPCL,LONG,strict,10:25,387.9,14:30,387.9,SL,0.0,0.0,5955
2026-02-09,BPCL,LONG,lenient,10:25,387.9,15:20,387.25,EOD_1518,-0.65,-3870.75,5955
2026-02-09,M&M,LONG,strict,10:00,3594.8,14:40,3597.4,SL,2.6,1669.2,642
