date,symbol,cooloff_time,cooloff_price,max_adverse_eod,dte,cpr_width,cpr_position,prev_range_pct,prev_trend,inside_day,no_prev_day_break,gap_pct,gap_filled,or_breakout,narrow_cooloff_candles,max_adv_1200,max_adv_1230,max_adv_1300,max_adv_1330,max_adv_1400,max_adv_1430,max_adv_1500,max_adv_1515,max_adv_1525
2024-05-10,NIFTY50,11:15,22075.15,0.4077,4,0.4912,Inside,1.7094,Bearish,True,True,0.1523,True,True,True,0.2704,0.3391,0.4077,0.4077,0.4077,0.4077,0.4077,0.4077,0.4077
2024-05-13,NIFTY50,10:50,21877.85,1.1601,3,0.0435,Below,0.8207,Bullish,False,False,-0.1236,True,True,True,0.5115,0.7057,0.7457,0.7457,1.0687,1.1352,1.1557,1.1557,1.1601
2024-05-14,NIFTY50,12:30,22190.20,0.3598,2,0.3866,Above,1.4052,Bullish,False,False,0.1016,True,True,True,,,0.2100,0.2244,0.3571,0.3598,0.3598,0.3598,0.3598
2024-05-15,NIFTY50,12:15,22203.70,0.1774,1,0.1268,Inside,0.8498,Bullish,False,False,0.1699,True,True,True,,0.1268,0.1268,0.1774,0.1774,0.1774,0.1774,0.1774,0.1774
2024-05-16,NIFTY50,14:20,22131.05,1.3610,0,0.0723,Below,0.6567,Bearish,False,False,0.5344,True,True,False,,,,,,0.2492,1.2200,1.3610,1.3610
2024-05-17,NIFTY50,09:55,22407.05,0.4244,4,0.4797,Above,1.6859,Bullish,True,True,0.0509,True,False,False,0.3738,0.3738,0.3738,0.4244,0.4244,0.4244,0.4244,0.4244,0.4244
2024-05-21,NIFTY50,10:50,22472.05,0.5298,2,0.1254,Above,0.6966,Bullish,False,False,-0.2740,True,False,True,0.3342,0.3460,0.5298,0.5298,0.5298,0.5298,0.5298,0.5298,0.5298
2024-05-22,NIFTY50,11:30,22548.35,0.3599,1,0.0925,Above,0.8280,Bullish,True,True,0.2111,True,True,True,0.0796,0.1687,0.1687,0.1687,0.2652,0.2652,0.2652,0.3014,0.3599
2024-05-23,NIFTY50,11:10,22696.80,1.3077,0,0.1225,Above,0.6476,Bullish,False,False,0.0721,True,True,False,0.3166,0.4820,0.6838,0.7219,0.8096,1.1583,1.1583,1.3077,1.3077
2024-05-24,NIFTY50,11:50,22973.00,0.2324,3,0.5315,Above,1.8119,Bullish,False,False,-0.1607,True,False,True,0.0300,0.0814,0.1915,0.2031,0.2031,0.2324,0.2324,0.2324,0.2324
2024-05-29,NIFTY50,11:20,22723.20,0.3485,1,0.1175,Below,0.6119,Bearish,False,False,-0.5479,False,True,False,0.1061,0.1327,0.3485,0.3485,0.3485,0.3485,0.3485,0.3485,0.3485
2024-05-30,NIFTY50,10:55,22580.60,0.7245,0,0.1489,Below,0.6168,Bearish,False,False,-0.3843,True,True,True,0.1758,0.1758,0.1758,0.2338,0.2748,0.4349,0.7245,0.7245,0.7245
2024-05-31,NIFTY50,11:15,22521.30,0.4889,3,0.2151,Inside,1.2840,Bearish,True,True,0.3533,False,True,True,0.1743,0.1743,0.1743,0.1940,0.4889,0.4889,0.4889,0.4889,0.4889
2024-06-03,NIFTY50,10:45,23145.60,0.7027,2,0.0849,Above,0.8373,Bearish,False,False,3.5827,False,True,True,0.3858,0.4444,0.4444,0.4444,0.4480,0.4966,0.5189,0.6578,0.7027
2024-06-05,NIFTY50,10:45,22118.05,2.4973,1,1.0429,Inside,8.6730,Bearish,True,True,1.1143,True,False,True,1.4782,1.4782,1.4782,1.4782,1.8598,2.0011,2.4512,2.4973,2.4973
2024-06-06,NIFTY50,11:35,22802.20,0.6887,0,1.1603,Above,3.8835,Bullish,False,False,0.7880,False,True,False,0.5543,0.5543,0.5666,0.6887,0.6887,0.6887,0.6887,0.6887,0.6887
2024-06-07,NIFTY50,11:30,23076.25,1.0571,3,0.1317,Above,1.1724,Bullish,False,False,0.0020,True,True,True,0.6669,0.6669,0.7529,0.7529,0.7683,0.8910,1.0571,1.0571,1.0571
2024-06-10,NIFTY50,11:35,23350.00,0.5261,2,0.6788,Above,2.2806,Bullish,False,False,0.1245,True,True,True,0.0916,0.2248,0.2248,0.2248,0.2248,0.4009,0.5206,0.5206,0.5261
2024-06-11,NIFTY50,09:45,23263.90,0.5397,1,0.1726,Below,0.7943,Bearish,False,False,0.1056,True,False,False,0.3615,0.3615,0.4195,0.4728,0.5397,0.5397,0.5397,0.5397,0.5397
2024-06-13,NIFTY50,10:50,23383.95,0.1589,0,0.1313,Above,0.6260,Bearish,False,False,0.6774,False,True,True,0.1296,0.1296,0.1296,0.1589,0.1589,0.1589,0.1589,0.1589,0.1589
2024-06-14,NIFTY50,11:25,23433.95,0.2409,2,0.0529,Above,0.5434,Bearish,False,False,0.2823,True,False,True,0.0691,0.0691,0.0762,0.1263,0.1263,0.1263,0.2409,0.2409,0.2409
2024-06-18,NIFTY50,10:50,23534.55,0.1596,1,0.1516,Above,0.6654,Bullish,False,False,0.4483,False,True,True,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.1209,0.1596
2024-06-19,NIFTY50,12:25,23553.10,0.4709,0,0.0525,Above,0.3368,Bearish,False,False,0.3054,True,True,False,,0.0469,0.0737,0.1681,0.1681,0.3356,0.4709,0.4709,0.4709
2024-06-21,NIFTY50,12:05,23538.45,0.5958,4,0.0954,Inside,0.7697,Bearish,False,False,0.3995,True,True,True,,0.1202,0.4291,0.4930,0.4930,0.4930,0.5958,0.5958,0.5958
2024-06-24,NIFTY50,12:10,23534.65,0.1802,3,0.0894,Above,1.1442,Bearish,False,False,-0.5055,True,True,True,,0.0996,0.0996,0.0996,0.0996,0.1270,0.1802,0.1802,0.1802
2024-06-25,NIFTY50,10:40,23590.15,0.6952,2,0.2379,Above,0.8841,Bullish,False,False,0.1668,False,True,True,0.1191,0.2781,0.3328,0.4328,0.4328,0.5100,0.5333,0.6161,0.6952
2024-06-26,NIFTY50,12:55,23830.25,0.2503,1,0.1779,Above,0.8098,Bullish,False,False,0.0076,True,True,True,,,0.1110,0.1188,0.1408,0.2109,0.2318,0.2503,0.2503
2024-06-27,NIFTY50,13:15,23977.80,0.4573,0,0.2482,Above,0.9194,Bullish,False,False,0.0534,True,True,True,,,,0.1943,0.1943,0.2675,0.2836,0.4158,0.4573
2024-07-01,NIFTY50,10:20,24076.85,0.3620,3,0.1920,Inside,0.7838,Bearish,True,True,-0.0735,True,True,False,0.1800,0.2124,0.2124,0.2490,0.3136,0.3138,0.3138,0.3620,0.3620
2024-07-02,NIFTY50,14:10,24108.25,0.1742,2,0.1759,Inside,0.7096,Bullish,False,False,0.3595,True,True,False,,,,,,0.1338,0.1742,0.1742,0.1742
2024-07-03,NIFTY50,10:50,24276.15,0.1644,1,0.0622,Above,0.7459,Bearish,False,False,0.6960,False,True,True,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644
2024-07-04,NIFTY50,10:50,24315.95,0.1711,0,0.0780,Above,0.4202,Bearish,False,False,0.3436,False,True,False,0.1421,0.1446,0.1711,0.1711,0.1711,0.1711,0.1711,0.1711,0.1711
2024-07-05,NIFTY50,10:50,24243.20,0.4942,4,0.1065,Below,0.4938,Bearish,False,False,-0.3654,False,True,True,0.1660,0.1883,0.1883,0.1883,0.1883,0.1883,0.2479,0.4942,0.4942
2024-07-08,NIFTY50,10:20,24309.35,0.2830,3,0.1590,Above,0.7982,Bullish,True,True,0.0230,True,False,True,0.2532,0.2830,0.2830,0.2830,0.2830,0.2830,0.2830,0.2830,0.2830
2024-07-09,NIFTY50,10:40,24378.15,0.2685,2,0.0767,Above,0.4278,Bearish,False,False,0.1252,False,True,False,0.0946,0.1060,0.1704,0.2092,0.2092,0.2451,0.2490,0.2685,0.2685
2024-07-10,NIFTY50,11:45,24241.90,0.3929,1,0.1242,Below,0.4572,Bullish,False,False,0.1091,True,True,True,0.1883,0.1883,0.2329,0.2329,0.2329,0.2329,0.3599,0.3929,0.3929
2024-07-11,NIFTY50,11:40,24269.55,0.3603,0,0.0631,Below,1.3125,Bearish,True,True,0.2964,True,True,True,0.3123,0.3123,0.3123,0.3123,0.3123,0.3123,0.3123,0.3123,0.3603
2024-07-12,NIFTY50,12:20,24501.65,0.3241,3,0.0487,Above,0.8591,Bearish,False,False,0.2961,False,True,True,,0.0947,0.0955,0.2414,0.2586,0.3241,0.3241,0.3241,0.3241
2024-07-15,NIFTY50,11:35,24586.30,0.1983,2,0.1102,Above,1.0654,Bullish,False,False,0.3487,False,True,True,0.1576,0.1576,0.1576,0.1983,0.1983,0.1983,0.1983,0.1983,0.1983
2024-07-16,NIFTY50,11:20,24651.10,0.2574,1,0.0212,Above,0.4568,Bearish,False,False,0.1188,False,True,True,0.0791,0.1249,0.1249,0.1249,0.1637,0.2541,0.2574,0.2574,0.2574
2024-07-18,NIFTY50,15:15,24808.50,0.1312,0,0.0310,Above,0.2990,Bearish,False,False,-0.2812,True,True,True,,,,,,,,,0.1312
2024-07-19,NIFTY50,12:10,24661.75,0.6228,3,0.3500,Below,1.3439,Bullish,False,False,0.2135,True,True,True,,0.1861,0.2672,0.2905,0.2905,0.4600,0.5555,0.6228,0.6228
2024-07-23,NIFTY50,14:05,24493.55,0.2695,2,0.0830,Inside,0.9502,Bullish,False,False,0.2434,True,True,False,,,,,,0.2695,0.2695,0.2695,0.2695
2024-07-24,NIFTY50,11:25,24408.30,0.4140,1,0.4120,Inside,2.0767,Bearish,True,True,-0.1393,True,True,False,0.1250,0.4140,0.4140,0.4140,0.4140,0.4140,0.4140,0.4140,0.4140
2024-07-25,NIFTY50,10:50,24313.40,0.4637,0,0.0212,Below,0.8069,Bearish,False,False,-0.7477,False,True,False,0.2184,0.2706,0.3475,0.3475,0.4389,0.4637,0.4637,0.4637,0.4637
2024-07-26,NIFTY50,11:25,24639.55,0.8994,3,0.2399,Above,0.8824,Bullish,False,False,0.0707,False,True,True,0.0702,0.2269,0.3831,0.6599,0.7253,0.7253,0.8292,0.8667,0.8994
2024-07-29,NIFTY50,10:40,24874.60,0.5031,2,0.5366,Above,1.8130,Bullish,False,False,0.4367,False,True,False,0.5031,0.5031,0.5031,0.5031,0.5031,0.5031,0.5031,0.5031,0.5031
2024-07-31,NIFTY50,11:10,24923.00,0.2472,1,0.0748,Above,0.6964,Bullish,True,True,0.1183,True,True,False,0.0993,0.0993,0.1061,0.1077,0.1182,0.1860,0.1860,0.1860,0.2472
2024-08-01,NIFTY50,10:40,25020.10,0.2546,0,0.0818,Above,0.5134,Bullish,False,False,0.3198,False,False,False,0.1349,0.1956,0.2228,0.2228,0.2228,0.2546,0.2546,0.2546,0.2546
2024-08-02,NIFTY50,10:50,24818.10,0.5288,3,0.0172,Below,0.4874,Bearish,False,False,-0.8872,False,True,True,0.1586,0.2301,0.2555,0.2555,0.2555,0.3030,0.5288,0.5288,0.5288
2024-08-05,NIFTY50,10:45,24145.85,1.0443,2,0.1392,Below,0.6677,Bearish,False,False,-1.6783,False,True,False,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443
2024-08-06,NIFTY50,10:50,24207.65,1.0214,1,0.1833,Above,1.8971,Bearish,False,False,0.5581,False,True,False,0.2404,0.2404,0.2404,0.3034,0.6864,0.9183,1.0214,1.0214,1.0214
2024-08-08,NIFTY50,10:45,24191.20,0.6172,0,0.0994,Below,0.6289,Bullish,False,False,-0.2015,False,True,False,0.2553,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172
2024-08-09,NIFTY50,10:45,24342.50,0.1935,3,0.2567,Above,1.0814,Bearish,False,False,1.1189,False,True,False,0.1331,0.1331,0.1331,0.1331,0.1590,0.1935,0.1935,0.1935,0.1935
2024-08-12,NIFTY50,12:10,24388.10,0.3514,2,0.0055,Above,0.4455,Bearish,False,False,-0.1947,True,True,True,,0.0892,0.2091,0.2091,0.2091,0.2306,0.3514,0.3514,0.3514
2024-08-13,NIFTY50,10:10,24330.10,0.8779,1,0.0125,Below,1.0708,Bullish,True,True,-0.0191,True,False,False,0.2176,0.3253,0.5197,0.5216,0.7476,0.8779,0.8779,0.8779,0.8779
2024-08-16,NIFTY50,10:50,24263.70,1.2372,4,0.0120,Above,0.4009,Bearish,False,False,0.7915,False,True,False,0.5910,0.7282,0.8053,0.8053,0.9718,1.0489,1.1631,1.2372,1.2372
2024-08-19,NIFTY50,10:25,24558.00,0.1918,3,0.4282,Above,1.4645,Bullish,False,False,0.3879,False,True,False,0.1629,0.1629,0.1629,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
2024-08-20,NIFTY50,11:05,24697.30,0.1492,2,0.0223,Above,0.4715,Bearish,False,False,0.3103,False,True,False,0.0810,0.1067,0.1492,0.1492,0.1492,0.1492,0.1492,0.1492,0.1492
2024-08-21,NIFTY50,12:50,24721.20,0.2700,1,0.0759,Above,0.5146,Bullish,False,False,-0.0741,True,True,False,,,0.0415,0.0987,0.0987,0.1056,0.2105,0.2261,0.2700
2024-08-22,NIFTY50,10:35,24817.60,0.1217,0,0.1320,Above,0.5387,Bullish,False,False,0.3763,False,True,True,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217
2024-08-26,NIFTY50,10:50,24973.85,0.2439,3,0.0218,Above,0.3495,Bearish,False,False,0.3342,False,True,False,0.1858,0.1858,0.2439,0.2439,0.2439,0.2439,0.2439,0.2439,0.2439
2024-08-27,NIFTY50,12:30,25046.00,0.2300,2,0.1371,Above,0.6761,Bullish,False,False,0.0568,True,True,True,,,0.0567,0.0567,0.0842,0.0842,0.1916,0.1916,0.2300
2024-08-28,NIFTY50,12:45,25094.85,0.2501,1,0.0150,Above,0.3975,Bearish,False,False,0.0522,True,True,True,,,0.0500,0.0793,0.0827,0.1385,0.1823,0.2251,0.2501
2024-08-29,NIFTY50,11:10,25098.05,0.3966,0,0.0139,Above,0.6584,Bullish,True,True,-0.0681,True,True,False,0.1034,0.2781,0.3048,0.3048,0.3682,0.3966,0.3966,0.3966,0.3966
2024-08-30,NIFTY50,10:15,25205.50,0.2494,4,0.1493,Above,0.7729,Bullish,False,False,0.3886,False,True,False,0.1855,0.2089,0.2089,0.2089,0.2089,0.2289,0.2289,0.2289,0.2494
2024-09-02,NIFTY50,10:45,25311.25,0.2993,3,0.0054,Above,0.2732,Bearish,False,False,0.3871,False,True,True,0.1164,0.1164,0.2993,0.2993,0.2993,0.2993,0.2993,0.2993,0.2993
2024-09-03,NIFTY50,12:25,25254.85,0.1950,2,0.0155,Below,0.3883,Bearish,True,True,0.1373,True,True,True,,0.0247,0.1039,0.1720,0.1720,0.1720,0.1950,0.1950,0.1950
2024-09-04,NIFTY50,10:45,25114.40,0.4045,1,0.0029,Below,0.3398,Bearish,False,False,-0.7512,False,True,False,0.1187,0.1199,0.1238,0.3108,0.3108,0.3108,0.3297,0.3878,0.4045
2024-09-05,NIFTY50,10:20,25195.30,0.2681,0,0.1293,Above,0.5246,Bullish,False,False,0.2056,True,True,False,0.1736,0.1736,0.1736,0.1736,0.1736,0.2187,0.2681,0.2681,0.2681
2024-09-06,NIFTY50,11:20,24894.45,0.3742,4,0.1496,Below,0.5874,Bearish,False,False,-0.2044,True,True,False,0.1565,0.2655,0.2655,0.2655,0.2655,0.2946,0.3742,0.3742,0.3742
2024-09-09,NIFTY50,12:10,24851.95,0.4247,3,0.3552,Below,1.4785,Bearish,False,False,-0.1157,True,True,True,,0.0706,0.1064,0.3487,0.3487,0.3487,0.3487,0.3843,0.4247
2024-09-10,NIFTY50,14:20,25108.65,0.3738,2,0.2172,Above,0.8195,Bullish,False,False,0.2526,True,True,False,,,,,,0.0755,0.3738,0.3738,0.3738
2024-09-11,NIFTY50,11:35,25056.80,0.6850,1,0.0731,Above,0.9333,Bullish,True,True,-0.0284,True,True,True,0.1780,0.2271,0.2271,0.2271,0.3590,0.5316,0.6850,0.6850,0.6850
2024-09-12,NIFTY50,10:45,24989.85,1.7747,0,0.2162,Inside,0.9172,Bearish,True,True,0.5667,False,True,False,0.1937,0.1937,0.1937,0.1937,0.5812,1.1189,1.6991,1.7747,1.7747
2024-09-13,NIFTY50,09:45,25350.55,0.1706,3,0.5319,Above,1.9375,Bullish,True,True,0.1637,True,False,False,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706
2024-09-17,NIFTY50,12:10,25412.55,0.1145,2,0.0189,Above,0.4314,Bearish,True,True,0.1306,True,True,True,,0.0643,0.0956,0.0956,0.1145,0.1145,0.1145,0.1145,0.1145
2024-09-18,NIFTY50,12:10,25462.70,0.6957,1,0.0567,Above,0.3517,Bullish,False,False,-0.0635,True,True,True,,0.0748,0.3038,0.4599,0.6957,0.6957,0.6957,0.6957,0.6957
2024-09-19,NIFTY50,10:45,25502.15,0.4945,0,0.0166,Above,0.7749,Bearish,False,False,0.4315,False,True,True,0.4390,0.4390,0.4390,0.4549,0.4945,0.4945,0.4945,0.4945,0.4945
2024-09-20,NIFTY50,12:05,25709.45,0.8639,3,0.2047,Above,0.9282,Bearish,False,False,0.4334,False,True,True,,0.0842,0.3711,0.3946,0.8639,0.8639,0.8639,0.8639,0.8639
2024-09-23,NIFTY50,10:20,25892.65,0.2447,2,0.3971,Above,1.6388,Bullish,False,False,0.3164,False,True,False,0.1750,0.1750,0.1750,0.1750,0.1750,0.1750,0.2057,0.2447,0.2447
2024-09-25,NIFTY50,11:35,25921.40,0.4298,1,0.0226,Below,0.4807,Bullish,True,True,-0.1579,True,True,True,0.1931,0.1931,0.1931,0.1931,0.1931,0.1931,0.2753,0.4149,0.4298
2024-09-26,NIFTY50,10:20,26059.65,0.7339,0,0.1337,Above,0.6209,Bullish,False,False,0.0048,True,True,False,0.1349,0.1986,0.2045,0.2084,0.2084,0.2817,0.7339,0.7339,0.7339
2024-09-27,NIFTY50,09:55,26260.75,0.4164,3,0.2330,Above,0.9632,Bullish,False,False,0.1228,True,True,False,0.2049,0.2049,0.2995,0.3572,0.3572,0.3572,0.3915,0.4164,0.4164
2024-09-30,NIFTY50,10:50,25953.60,0.6146,2,0.0901,Below,0.4811,Bearish,False,False,-0.4494,False,True,False,0.2747,0.2747,0.2747,0.4978,0.4978,0.6009,0.6047,0.6047,0.6146
2024-10-01,NIFTY50,11:50,25795.75,0.1671,1,0.3950,Below,1.3196,Bearish,False,False,-0.0868,True,True,False,0.1632,0.1671,0.1671,0.1671,0.1671,0.1671,0.1671,0.1671,0.1671
2024-10-03,NIFTY50,10:50,25508.05,1.0889,0,0.0684,Below,0.6528,Bullish,False,False,-1.3337,False,False,True,0.4691,0.5463,0.5830,0.8335,1.0826,1.0889,1.0889,1.0889,1.0889
2024-10-04,NIFTY50,14:10,25045.40,0.3138,3,0.4855,Below,1.6204,Bearish,False,False,-0.2701,True,True,True,,,,,,0.1861,0.2513,0.3138,0.3138
