strategy,total_trades,win_rate,profit_factor,cagr,sharpe,sortino,calmar,max_drawdown,total_pnl,total_pnl_pct,avg_win,avg_loss,avg_rr,avg_bars_held,exit_sl,exit_tp,exit_maxhold,exit_signal,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
1_KC6_Style,168,61.31,1.31,1.14,0.4,0.33,0.18,6.27,935961.0,9.36,4.01,-4.4,0.91,7.9,48,85,35,0,0,0,0,0,15,40.0,0.57,-1.77,22,59.1,1.07,0.31,23,87.0,9.02,8.67,36,47.2,0.71,-2.83,19,78.9,2.13,2.04,34,64.7,1.66,3.26,19,52.6,0.9,-0.33
2_RSI_Extreme_Vol,957,45.98,0.83,-4.41,-0.3,-0.27,-0.11,39.24,-3005356.0,-30.05,3.6,-3.27,1.1,4.3,240,53,664,0,21,52.4,1.07,0.32,144,48.6,0.97,-0.77,127,40.2,0.52,-23.5,98,54.1,1.3,3.88,131,45.8,0.82,-4.47,160,45.0,0.79,-5.5,159,44.7,1.11,2.31,117,44.4,0.86,-2.33
3_BB_Bounce,1243,46.82,0.98,-0.67,0.03,0.03,-0.02,44.35,-516191.0,-5.16,4.71,-3.85,1.22,6.4,500,340,403,0,29,65.5,2.36,6.28,194,47.9,1.14,5.2,174,39.7,0.71,-19.05,155,54.8,2.01,21.73,196,45.4,0.84,-7.53,150,52.0,0.87,-3.49,185,43.2,0.85,-5.03,160,43.1,0.89,-3.27
4_Keltner_Wide,9,77.78,9.79,0.49,0.79,0.36,0.57,0.85,389875.0,3.9,6.41,-2.02,3.17,10.0,0,5,4,0,0,0,0,0,0,0,0,0,2,100.0,inf,1.98,1,100.0,inf,0.15,1,100.0,inf,0.75,2,100.0,inf,0.5,1,100.0,inf,0.96,2,0.0,0.0,-0.44
5_Oversold_Trend,1044,68.1,1.11,1.59,0.3,0.29,0.09,17.64,1327249.0,13.27,2.1,-3.46,0.61,3.4,263,765,16,0,7,100.0,inf,1.32,113,66.4,1.18,2.2,105,60.0,0.65,-8.82,236,71.6,1.82,17.3,123,66.7,0.87,-2.56,139,65.5,0.89,-1.47,210,70.0,1.16,3.47,111,69.4,1.2,1.83
6_Gap_Down_Rev,591,41.29,0.81,-2.63,-0.35,-0.24,-0.09,28.67,-1898193.0,-18.98,3.45,-2.63,1.31,2.9,292,124,175,0,18,72.2,3.28,3.59,48,47.9,1.03,0.19,114,36.0,0.49,-20.54,57,45.6,1.42,2.88,131,39.7,0.74,-4.57,49,42.9,0.85,-0.75,82,29.3,0.73,-2.97,92,47.8,1.34,3.19
