id,entry_date,exit_date,entry_price,call_strike,put_strike,zone_width_pct,premium,exit_price,max_price,min_price,max_breach_pct,gross_pnl,net_pnl,pnl_rs,outcome,zone_held,signals,iv,atr,dte,expiry,config,leg
0,2023-05-08 00:00:00,2023-05-22 00:00:00,43284.0,44000,42600,3.23,677.15,43885.1015625,44151.7,42822.15,0.35,312.05,308.05,13382.25,partial,False,BB_SQ,0.1679,457.75,17,2023-05-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
1,2023-06-08 00:00:00,2023-06-22 00:00:00,43995.25,44600,43400,2.73,636.35,43724.8515625,44220.1,43345.95,0.12,339.7,335.7,14626.5,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1342,371.82,21,2023-06-29,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
2,2023-07-11 00:00:00,2023-07-25 00:00:00,44745.05,45400,44100,2.91,602.99,45845.0,46369.5,44547.8,2.17,-23.86,-27.86,-1733.7,loss,False,BB_SQ,0.1515,426.98,16,2023-07-27,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
3,2023-08-22 00:00:00,2023-09-05 00:00:00,43993.25,44700,43300,3.18,1189.67,44532.1484375,44949.9,43830.75,0.57,276.2,272.2,11769.0,partial,False,"BB_SQ,ATR_C",0.1603,444.22,37,2023-09-28,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
4,2023-09-21 00:00:00,2023-10-06 00:00:00,44623.85,45400,43900,3.36,1339.54,44360.6015625,44996.75,43857.5,0.1,460.75,456.75,20073.75,partial,False,"BB_SQ,RSI_M",0.1807,507.93,35,2023-10-26,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
5,2023-11-02 00:00:00,2023-11-17 00:00:00,43017.2,43800,42200,3.72,1139.54,43583.94921875,44420.95,43221.0,1.44,353.57,349.57,15250.65,partial,False,BB_SQ,0.1916,519.28,28,2023-11-30,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
6,2023-12-22 00:00:00,2024-01-08 00:00:00,47491.85,48400,46600,3.79,1481.43,47450.25,48636.45,47387.35,0.5,520.98,516.98,22784.1,partial,False,BB_SQ,0.1954,584.54,34,2024-01-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
7,2024-01-31 00:00:00,2024-02-14 00:00:00,45996.8,47200,44800,5.22,1892.66,45908.30078125,46892.35,44633.85,0.36,745.76,741.76,32899.2,partial,False,BB_SQ,0.2837,822.15,29,2024-02-29,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
8,2024-02-29 00:00:00,2024-03-15 00:00:00,46120.9,47200,45100,4.55,1515.28,46594.1015625,48161.25,46218.0,2.08,556.68,552.68,24390.6,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.2372,689.18,28,2024-03-28,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
9,2024-04-15 00:00:00,2024-04-30 00:00:00,47773.25,48500,47100,2.93,1512.34,49396.75,49974.75,46579.05,3.09,-192.1,-196.1,-9304.5,loss,False,"BB_SQ,ATR_C",0.1587,477.47,45,2024-05-30,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
10,2024-05-16 00:00:00,2024-05-31 00:00:00,47977.05,49000,47000,4.17,1988.15,48983.94921875,49688.85,47435.25,1.44,365.22,361.22,15774.9,partial,False,"BB_SQ,ADX_L,RSI_M",0.221,667.97,42,2024-06-27,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
11,2024-06-18 00:00:00,2024-07-02 00:00:00,50440.9,52200,48700,6.94,3256.71,52168.1015625,53180.75,50441.75,1.94,686.16,682.16,30217.2,partial,False,"BB_SQ,ADX_L,RSI_M",0.3751,1191.81,37,2024-07-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
12,2024-07-18 00:00:00,2024-08-01 00:00:00,52620.7,53500,51700,3.42,1831.23,51564.0,52586.75,50438.3,2.4,494.5,490.5,21592.5,partial,False,"BB_SQ,ATR_C,CHOP,RSI_M",0.1838,609.23,42,2024-08-29,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
13,2024-08-19 00:00:00,2024-09-02 00:00:00,50368.35,51400,49400,3.97,1876.75,51439.55078125,51579.5,50333.35,0.36,351.1,347.1,15139.5,partial,False,"BB_SQ,ATR_C,ADX_L",0.2124,673.84,38,2024-09-26,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
14,2024-09-30 00:00:00,2024-10-15 00:00:00,52978.1,53800,52200,3.02,1347.38,51906.0,53235.25,50194.3,3.79,366.47,362.47,15831.15,partial,False,BB_SQ,0.1655,552.32,31,2024-10-31,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
15,2024-11-04 00:00:00,2024-11-19 00:00:00,51215.25,52300,50100,4.3,1498.75,50626.5,52493.95,49904.4,0.38,676.2,672.2,29769.0,partial,False,"BB_SQ,ADX_L,RSI_M",0.2326,750.54,24,2024-11-28,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
16,2024-12-12 00:00:00,2024-12-27 00:00:00,53216.45,54100,52300,3.38,2081.32,51311.30078125,53738.9,50609.35,3.18,305.37,301.37,13081.65,partial,False,"BB_SQ,ATR_C",0.1847,619.07,49,2025-01-30,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
17,2025-01-20 00:00:00,2025-02-03 00:00:00,49350.8,50600,48100,5.07,2278.67,49210.55078125,49674.8,47844.15,0.52,735.39,731.39,32432.55,partial,False,"BB_SQ,RSI_M",0.2658,826.34,38,2025-02-27,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
18,2025-02-18 00:00:00,2025-03-05 00:00:00,49087.3,50100,48100,4.07,1783.22,48489.94921875,49628.25,47841.3,0.53,580.69,576.69,25471.05,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.213,658.61,37,2025-03-27,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
19,2025-04-01 00:00:00,2025-04-17 00:00:00,50827.5,51800,49800,3.93,1244.26,54290.19921875,54407.2,49156.95,5.13,-1434.28,-400.0,-18000.0,stopped_out,False,BB_SQ,0.205,656.3,23,2025-04-24,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
20,2025-05-06 00:00:00,2025-05-20 00:00:00,54271.4,55600,52900,4.97,1719.73,54877.3515625,55695.55,53483.05,0.18,748.06,744.06,33002.7,partial,False,BB_SQ,0.2636,901.3,23,2025-05-29,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
21,2025-06-04 00:00:00,2025-06-18 00:00:00,55676.85,56500,54900,2.87,1005.86,55828.75,57049.5,55149.3,0.99,494.87,490.87,21609.15,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.154,540.21,22,2025-06-26,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
22,2025-07-03 00:00:00,2025-07-17 00:00:00,56791.95,57600,56000,2.82,1184.33,56828.80078125,57363.7,56594.25,0.0,479.94,475.94,20937.3,max_profit,True,"BB_SQ,ATR_C,ADX_L",0.1486,531.71,28,2025-07-31,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
23,2025-08-07 00:00:00,2025-08-22 00:00:00,55521.15,56300,54700,2.88,954.37,55149.3984375,56156.3,54905.6,0.0,500.07,496.07,21843.15,max_profit,True,BB_SQ,0.1526,533.61,21,2025-08-28,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
24,2025-09-09 00:00:00,2025-09-23 00:00:00,54216.1,54900,53500,2.58,701.16,55509.75,55835.25,54400.0,1.73,-88.4,-92.4,-4638.0,loss,False,"BB_SQ,ATR_C",0.1407,480.4,16,2025-09-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
25,2025-10-30 00:00:00,2025-11-14 00:00:00,58031.1,58800,57200,2.76,1171.08,58517.55078125,58615.95,57157.85,0.07,378.63,374.63,16378.35,partial,False,BB_SQ,0.144,526.31,28,2025-11-27,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
26,2025-12-02 00:00:00,2025-12-16 00:00:00,59273.8,60000,58600,2.36,941.01,59034.6015625,59806.6,58799.9,0.0,455.41,451.41,19833.45,max_profit,True,"BB_SQ,ATR_C,ADX_L",0.129,481.63,23,2025-12-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
27,2026-01-12 00:00:00,2026-01-28 00:00:00,59450.5,60100,58800,2.19,662.38,59598.80078125,60235.15,58121.6,1.14,418.18,414.18,18158.1,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1166,436.76,17,2026-01-29,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
28,2026-02-16 00:00:00,2026-03-02 00:00:00,60949.1,62200,59700,4.1,2261.62,59839.6484375,61678.8,59148.0,0.91,682.81,678.81,30066.45,partial,False,"BB_SQ,ADX_L",0.2137,820.64,38,2026-03-26,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,BNF
0,2023-04-20 00:00:00,2023-04-27 00:00:00,17624.45,17850,17400,2.55,195.91,17915.05078125,17931.6,17553.95,0.46,-2.21,-6.21,-630.5,loss,False,BB_SQ,0.1371,152.26,14,2023-05-04,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
1,2023-05-16 00:00:00,2023-05-23 00:00:00,18286.5,18500,18050,2.46,130.68,18348.0,18419.75,18060.4,0.0,83.64,79.64,3662.0,max_profit,True,BB_SQ,0.132,152.11,9,2023-05-25,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
2,2023-06-05 00:00:00,2023-06-12 00:00:00,18593.85,18800,18400,2.15,135.91,18601.5,18777.9,18531.6,0.0,84.68,80.68,3714.0,max_profit,True,"BB_SQ,ATR_C,ADX_L",0.1192,139.58,10,2023-06-15,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
3,2023-06-23 00:00:00,2023-07-03 00:00:00,18665.5,18850,18500,1.88,160.24,19322.55078125,19345.1,18646.7,2.65,-342.86,-240.0,-12000.0,stopped_out,False,"BB_SQ,ATR_C,RSI_M",0.1076,126.49,13,2023-07-06,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
4,2023-07-26 00:00:00,2023-08-02 00:00:00,19778.3,20050,19550,2.53,122.45,19526.55078125,19867.55,19423.55,0.64,30.75,26.75,1017.5,partial,False,BB_SQ,0.1328,165.43,8,2023-08-03,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
5,2023-08-10 00:00:00,2023-08-18 00:00:00,19543.1,19800,19300,2.56,202.51,19310.150390625,19557.75,19253.6,0.24,60.54,56.54,2507.0,partial,False,"BB_SQ,RSI_M",0.1319,162.44,14,2023-08-24,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
6,2023-08-28 00:00:00,2023-09-04 00:00:00,19306.05,19500,19100,2.07,139.99,19528.80078125,19545.15,19223.65,0.23,17.09,13.09,334.5,partial,False,"BB_SQ,ATR_C",0.1163,141.49,10,2023-09-07,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
7,2023-09-20 00:00:00,2023-09-27 00:00:00,19901.4,20150,19650,2.51,103.06,19716.44921875,19848.75,19554.0,0.48,56.72,52.72,2316.0,partial,False,BB_SQ,0.1213,152.09,8,2023-09-28,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
8,2023-10-06 00:00:00,2023-10-13 00:00:00,19653.5,19900,19400,2.54,187.85,19751.05078125,19843.3,19480.5,0.0,79.97,75.97,3478.5,max_profit,True,BB_SQ,0.1303,161.37,13,2023-10-19,COMBINED_6L_4L_BB_only_SD1.5_TF2.0,NIFTY
