date,sym,dir,entry_t,entry,exit_t,exit,reason,pnl_unit,pnl_mis,qty_mis,grade,score,cpr_narrow,tight_risk,rsi_conviction,clean_past,cpr_pct,or_width_pct,rsi_val,past_pct
2025-05-08,TRENT,LONG,10:05,5272.5,14:30,5272.5,SL,0.0,0.0,438,B,2,0,0,1,1,0.3355,0.9199,67.63,0.2567
2025-05-08,HAL,LONG,12:20,4524.2,14:30,4524.2,SL,0.0,0.0,510,B,2,0,0,1,1,0.4676,1.4036,68.91,0.3616
2025-05-08,RELIANCE,LONG,10:00,1412.5,14:45,1413.15,SL,0.65,1062.75,1635,C,1,0,0,1,0,0.3567,0.8566,84.6,0.1489
2025-05-09,RELIANCE,SHORT,10:00,1379.8,14:30,1378.05,SL,1.75,2929.5,1674,C,1,1,0,0,0,0.1136,1.0001,36.61,0.0869
2025-05-09,APOLLOHOSP,SHORT,11:15,6731,14:35,6721.0,SL,10.0,3430.0,343,C,1,0,0,1,0,0.3974,1.6565,28.27,0.0223
2025-05-13,BEL,LONG,09:30,331.4,15:20,335.75,EOD_1518,4.35,30319.5,6970,B,2,0,0,1,1,0.4564,2.1575,70.96,0.4395
2025-05-14,IRCTC,LONG,09:40,771.95,15:20,778.8,EOD_1518,6.85,20495.2,2992,C,0,0,0,0,0,0.3175,1.1076,63.09,0.1297
2025-05-15,ADANIENT,LONG,10:30,2404.3,10:45,2437.6,TGT,33.3,31968.0,960,A,3,1,1,0,1,0.1609,0.6696,60.69,0.2544
2025-05-15,TRENT,LONG,10:35,5407.5,13:45,5512.5,TGT,105.0,44835.0,427,A,3,1,0,1,1,0.1276,0.9431,68.11,0.3526
2025-05-16,VEDL,SHORT,11:00,425.5,14:40,425.0,SL,0.5,2714.0,5428,A,3,1,1,1,0,0.0817,0.7638,23.83,0.0352
2025-05-16,BPCL,LONG,09:55,303.75,14:30,303.9,SL,0.15,1140.6,7604,C,1,1,0,0,0,0.0387,0.9383,64.71,0.0494
2025-05-16,BAJFINANCE,SHORT,10:30,918.5,14:35,917.25,SL,1.25,3142.5,2514,C,1,0,0,1,0,0.4921,1.0343,15.37,0.0544
2025-05-16,IRCTC,LONG,09:30,797.1,15:20,808.45,EOD_1518,11.35,32892.3,2898,A,3,1,0,1,1,0.2424,1.4427,76.48,0.2011
2025-05-19,M&M,LONG,09:40,3137.4,14:30,3137.4,SL,0.0,0.0,736,A,3,1,0,1,1,0.0713,0.8096,71.02,0.2685
2025-05-19,TRENT,SHORT,09:35,5581,15:20,5555,EOD_1518,26,10738,413,B,2,1,0,1,0,0.0627,0.9407,31.54,0.0985
2025-05-19,GODREJPROP,LONG,09:30,2204,15:20,2230,EOD_1518,26,27248,1048,A,3,1,0,1,1,0.0843,1.6152,78.04,0.6668
2025-05-19,RELIANCE,SHORT,09:35,1444.9,14:35,1442.1,SL,2.8,4474.4,1598,B,2,1,1,0,0,0.1031,0.4983,38.73,0.1727
2025-05-19,AXISBANK,LONG,10:45,1214.5,14:30,1214.5,SL,0.0,0.0,1902,A+,4,1,1,1,1,0.0303,0.5681,65.67,0.2311
2025-05-20,ADANIENT,SHORT,11:40,2456.4,14:40,2422.5,TGT,33.9,31866.0,940,C,1,0,0,1,0,0.4379,0.859,34.49,0.061
2025-05-20,VEDL,SHORT,11:15,428.2,14:20,420.1,TGT,8.1,43691.4,5394,B,2,1,0,1,0,0.2573,1.2494,22.08,0.0117
2025-05-20,M&M,SHORT,09:40,3106.7,13:40,3063.8,TGT,42.9,31874.7,743,A+,4,1,1,1,1,0.049,0.6534,15.33,0.2665
2025-05-20,BAJFINANCE,SHORT,09:30,920,15:20,907.5,EOD_1518,12.5,31375.0,2510,B,2,1,0,1,0,0.1804,1.087,32.44,0.1086
2025-05-20,TRENT,SHORT,09:40,5500.5,14:50,5470.75,SL,29.75,12465.25,419,C,1,0,0,1,0,0.4007,1.7817,29.2,0.0999
2025-05-21,BEL,LONG,09:30,372.65,15:20,382.8,EOD_1518,10.15,62909.7,6198,B,2,1,0,1,0,0.1738,1.5564,71.28,0.7707
2025-05-21,AXISBANK,SHORT,11:45,1195.1,12:10,1185.95,TGT,9.15,17677.8,1932,C,1,0,1,0,0,0.3334,0.4267,39.61,0.0836
2025-05-22,ADANIENT,SHORT,11:35,2413.4,14:40,2402.45,SL,10.95,10479.15,957,B,2,1,0,1,0,0.0989,1.1312,18.26,0.058
2025-05-22,M&M,SHORT,09:30,3032.6,15:20,3008.8,EOD_1518,23.8,18111.8,761,B,2,1,0,1,0,0.014,1.7609,14.65,0.1251
2025-05-22,BAJFINANCE,SHORT,12:45,912,14:30,910.0,SL,2.0,5064.0,2532,B,2,0,1,1,0,0.3272,0.7675,35.0,0.1095
2025-05-22,IRCTC,SHORT,11:25,783,15:05,779.1,SL,3.9,11505.0,2950,B,2,1,0,1,0,0.1606,0.8812,11.47,0.0255
2025-05-22,RELIANCE,SHORT,09:30,1411,14:45,1405.05,SL,5.95,9740.15,1637,A+,4,1,1,1,1,0.0957,0.6875,27.02,0.2192
2025-05-23,ADANIENT,LONG,09:50,2435.7,15:20,2467.2,EOD_1518,31.5,29862.0,948,B,2,1,0,1,0,0.1601,0.854,80.71,0.0164
2025-05-23,TATASTEEL,LONG,09:50,158.81,14:35,159.0,SL,0.185,2690.83,14545,A,3,1,1,1,0,0.2868,0.5541,75.54,0.0693
2025-05-23,BEL,SHORT,09:40,384.8,14:30,384.73,SL,0.075,450.22,6003,C,1,1,0,0,0,0.0914,1.2214,39.57,0.1038
2025-05-23,VEDL,LONG,12:05,423.75,14:50,425.02,SL,1.275,6950.02,5451,B,2,1,0,1,0,0.0595,1.3923,65.5,0.0236
2025-05-23,BAJFINANCE,LONG,09:30,922,14:35,924.5,SL,2.5,6262.5,2505,A,3,1,0,1,1,0.0365,0.8677,73.54,0.3264
2025-05-23,HAL,SHORT,09:40,4992.8,15:20,4961.3,EOD_1518,31.5,14553.0,462,C,1,0,0,0,1,0.3551,1.0395,35.01,0.3433
2025-05-23,IRCTC,LONG,11:00,783.35,14:30,784.05,SL,0.7,2063.6,2948,B,2,0,1,1,0,0.3157,0.734,68.15,0.1278
2025-05-23,GRASIM,SHORT,13:50,2673.6,15:20,2661.6,EOD_1518,12.0,10368.0,864,B,2,1,0,1,0,0.0174,2.7042,31.18,0.0374
2025-05-23,RELIANCE,LONG,09:50,1420.7,14:50,1424.1,SL,3.4,5525.0,1625,B,2,1,0,1,0,0.0449,0.908,82.75,0.0845
2025-05-23,AXISBANK,LONG,09:35,1194.6,10:45,1204.35,TGT,9.75,18846.75,1933,A,3,1,1,1,0,0.0786,0.5274,74.41,0.0167
2025-05-23,APOLLOHOSP,LONG,09:40,7014.5,15:20,7059.5,EOD_1518,45.0,14805.0,329,A,3,1,0,1,1,0.0335,0.9837,75.25,0.2215
2025-05-26,TATASTEEL,SHORT,10:45,159.35,14:50,158.95,SL,0.4,5798.4,14496,B,2,1,0,1,0,0.1887,0.9727,26.01,0.0188
2025-05-26,TRENT,LONG,12:05,5507,15:20,5525,EOD_1518,18,7542,419,A+,4,1,1,1,1,0.1959,0.7717,70.34,0.3919
2025-05-26,GODREJPROP,LONG,09:35,2211.9,15:20,2243.4,EOD_1518,31.5,32886.0,1044,B,2,0,0,1,1,0.411,1.067,69.36,0.3767
2025-05-27,ADANIENT,LONG,11:15,2475,14:30,2475,SL,0,0,933,B,2,1,1,0,0,0.1926,0.6465,63.43,0.1173
2025-05-27,VEDL,LONG,10:20,430.8,11:50,434.55,TGT,3.75,20107.5,5362,A,3,1,1,1,0,0.1048,0.5687,69.38,0.0116
2025-05-28,ADANIENT,SHORT,11:45,2452.5,14:45,2447.05,SL,5.45,5128.45,941,C,1,1,0,0,0,0.1905,1.1091,37.83,0.0489
2025-05-28,TATASTEEL,SHORT,10:25,157.47,14:30,157.44,SL,0.03,440.07,14669,C,1,1,0,0,0,0.2442,0.9145,38.72,0.0444
2025-05-28,BEL,LONG,11:05,389.2,14:30,389.67,SL,0.475,2819.12,5935,B,2,1,0,1,0,0.1253,1.1177,74.82,0.1931
