strategy,params,timeframe,n_symbols,period,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
EMA_MACD_EMA9_21_MACD_SL2_TP4_TR2.5,"{""label"": ""EMA9_21_MACD_SL2_TP4_TR2.5"", ""sl_atr_mult"": 2.0, ""tp_atr_mult"": 4.0, ""trail_atr_mult"": 2.5}",60minute,27,2018-01 to 2025-11,11603,5789,5814,36.3,34.82,37.77,-24331126.0,-243.31,0.5958,-100.0,243.31,-0.3595,0.0,-0.411,0.95,-0.71,1.33,3.7,"{""eod"": 10352, ""fixed_tp"": 135, ""fixed_sl"": 994, ""trailing_sl"": 122}",1429,39.12,0.663,-25.68,1463,35.89,0.5886,-31.96,1518,38.8,0.7158,-26.74,1507,35.43,0.5517,-35.68,1440,37.71,0.601,-29.64,1475,32.27,0.543,-30.07,1465,34.13,0.4772,-39.11,1306,37.21,0.5893,-24.42
EMA_MACD_EMA9_21_MACD_SL1.5_TP3_TR2,"{""label"": ""EMA9_21_MACD_SL1.5_TP3_TR2"", ""sl_atr_mult"": 1.5, ""tp_atr_mult"": 3.0, ""trail_atr_mult"": 2.0}",60minute,27,2018-01 to 2025-11,11670,5819,5851,35.12,33.37,36.87,-25668223.0,-256.68,0.5715,-100.0,256.68,-0.3595,0.0,-0.3896,0.94,-0.69,1.35,3.5,"{""eod"": 9162, ""trailing_sl"": 302, ""fixed_tp"": 289, ""fixed_sl"": 1917}",1437,36.95,0.6065,-29.78,1473,34.01,0.5281,-37.77,1523,37.82,0.7052,-27.52,1515,34.65,0.5391,-36.2,1448,36.12,0.5814,-30.24,1484,31.54,0.5061,-32.76,1474,33.51,0.501,-36.15,1316,36.55,0.5646,-26.26
