id,direction,opt_type,entry_date,exit_date,entry_spot,exit_spot,strike,premium,exit_value,pnl_points,pnl_rupees,pnl_pct,lots,days_held,dte,exit_reason
0,short,call,2023-06-15,2023-06-26,43443.6,43641.05,43600,877.98,890.72,-12.74,-1655.67,-1.45,5,7,42,hold_complete
1,long,put,2023-07-20,2023-07-31,46186.9,45651.1,45900,787.06,955.76,-168.7,-13352.33,-21.43,5,7,42,hold_complete
2,long,put,2023-09-07,2023-09-18,44878.35,45979.85,44700,506.74,112.94,393.8,28835.18,77.71,5,7,21,hold_complete
3,short,call,2023-10-19,2023-10-31,43754.5,42845.95,44000,941.14,447.39,493.75,36331.24,52.46,5,7,42,hold_complete
4,long,put,2023-11-15,2023-11-24,44201.7,43769.1,44000,442.07,516.89,-74.81,-6311.03,-16.92,5,7,15,hold_complete
5,short,call,2024-01-09,2024-01-18,47242.65,45713.55,47500,737.9,90.03,647.87,47890.17,87.8,5,7,16,hold_complete
6,long,put,2024-02-16,2024-02-27,46384.85,46588.05,46000,1345.26,1140.62,204.64,14648.27,15.21,5,7,41,hold_complete
7,long,put,2024-03-05,2024-03-15,47581.0,46594.1,47300,729.93,1101.78,-371.85,-20000,-50.94,5,7,23,hold_complete
8,long,put,2024-04-02,2024-04-12,47545.45,48564.55,47300,685.36,248.05,437.31,32098.23,63.81,5,7,23,hold_complete
9,long,put,2024-04-29,2024-05-09,49424.05,47487.9,49100,882.4,1851.51,-969.11,-20000,-109.83,5,7,31,hold_complete
10,long,put,2024-05-27,2024-06-05,49281.8,49054.6,49000,867.04,858.79,8.25,-81.56,0.95,5,7,31,hold_complete
11,long,put,2024-06-25,2024-07-04,52606.0,53103.7,52200,1238.21,883.46,354.74,25905.8,28.65,5,7,30,hold_complete
12,short,call,2024-07-24,2024-08-02,51317.0,51350.15,51600,1261.97,1120.62,141.35,9900.97,11.2,5,7,36,hold_complete
13,long,put,2024-08-27,2024-09-05,51278.75,51473.05,51000,709.33,545.06,164.27,11620.24,23.16,5,7,30,hold_complete
14,short,call,2024-10-04,2024-10-15,51462.05,51906.0,51800,1028.22,1079.82,-51.6,-4570.16,-5.02,5,7,27,hold_complete
15,long,put,2024-10-29,2024-11-07,52320.7,51916.5,51900,1022.08,1060.48,-38.4,-3579.63,-3.76,5,7,30,hold_complete
16,short,call,2024-12-19,2024-12-31,51575.7,50860.2,51900,1482.98,989.05,493.93,36345.12,33.31,5,7,42,hold_complete
17,short,call,2025-01-09,2025-01-20,49503.5,49350.8,49900,1021.04,719.31,301.72,21929.37,29.55,5,7,21,hold_complete
18,long,put,2025-01-31,2025-02-11,49587.2,49403.4,49200,969.81,901.84,67.97,4397.68,7.01,5,7,27,hold_complete
19,short,call,2025-03-03,2025-03-12,48114.3,48056.65,48400,1018.96,795.54,223.41,16056.08,21.93,5,7,24,hold_complete
20,long,put,2025-04-15,2025-04-25,52379.5,54664.05,51900,1610.63,734.32,876.31,65023.08,54.41,5,7,44,hold_complete
21,long,put,2025-05-13,2025-05-22,54940.85,54941.3,54500,866.04,616.62,249.42,18006.32,28.8,5,7,16,hold_complete
22,long,put,2025-06-06,2025-06-17,56578.4,55714.15,56300,677.7,968.62,-290.92,-20000,-42.93,5,7,20,hold_complete
23,long,put,2025-06-26,2025-07-07,57206.7,56949.2,56900,789.97,814.81,-24.84,-2563.37,-3.15,5,7,35,hold_complete
24,short,call,2025-07-18,2025-07-29,56283.0,56222.0,56500,1029.54,878.25,151.29,10646.87,14.7,5,7,41,hold_complete
25,short,call,2025-08-22,2025-09-03,55149.4,54067.55,55400,983.22,403.93,579.3,42747.45,58.92,5,7,34,hold_complete
26,long,put,2025-09-17,2025-09-26,55493.3,54389.35,55300,641.58,1138.92,-497.34,-20000,-77.52,5,7,43,hold_complete
27,long,put,2025-10-20,2025-10-30,58033.2,58031.1,57800,792.99,722.32,70.67,4600.36,8.91,5,7,38,hold_complete
28,long,put,2025-11-13,2025-11-24,58381.95,58835.35,58100,765.38,541.87,223.52,16063.65,29.2,5,7,42,hold_complete
29,short,call,2025-12-18,2025-12-30,58912.85,59171.25,59200,1191.9,1197.61,-5.71,-1128.13,-0.48,5,7,42,hold_complete
