strategy,params,timeframe,n_symbols,period,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
D_MOM_BREAKOUT_ROC5_VOL1.5_TR2.5_MH15,"{""roc_thresh"": 5, ""vol_mult"": 1.5, ""trail_atr"": 2.5, ""max_hold"": 15, ""nifty_filter"": False}",day,50,2018-01 to 2025-12,1111,1111,0,40.5,40.5,0.0,-130957.0,-1.31,0.9951,-0.16,26.26,0.0474,0.0563,-0.0063,6.17,-3.88,1.59,10.2,"{'fixed_sl': 683, 'max_hold': 362, 'trailing_sl': 66}",106,31.13,0.5074,-16.21,115,44.35,1.0475,1.24,166,41.57,1.4217,20.42,170,39.41,0.9339,-2.95,135,43.7,0.9949,-0.15,146,50.0,1.2788,6.95,157,35.03,0.8794,-4.75,116,37.07,0.7525,-5.87
D_MOM_BREAKOUT_ROC10_VOL2.0_TR3.0_MH20,"{""roc_thresh"": 10, ""vol_mult"": 2.0, ""trail_atr"": 3.0, ""max_hold"": 20, ""nifty_filter"": False}",day,50,2018-01 to 2025-12,533,533,0,43.53,43.53,0.0,6215934.0,62.16,1.4203,6.23,15.44,0.7548,0.8927,0.4037,9.27,-4.72,1.96,13.9,"{'fixed_sl': 316, 'max_hold': 202, 'trailing_sl': 15}",52,34.62,0.7265,-4.9,43,37.21,0.7171,-4.03,92,47.83,1.974,30.88,98,48.98,1.8904,22.98,67,37.31,0.9121,-1.5,70,48.57,1.4657,7.09,72,41.67,1.4976,8.68,39,43.59,1.347,2.94
D_MOM_BREAKOUT_ROC3_VOL1.2_TR2.0_MH10,"{""roc_thresh"": 3, ""vol_mult"": 1.2, ""trail_atr"": 2.0, ""max_hold"": 10, ""nifty_filter"": False}",day,50,2018-01 to 2025-12,1742,1742,0,39.9,39.9,0.0,-4508706.0,-45.09,0.8721,-7.22,45.62,-0.4803,-0.5956,-0.1583,4.63,-3.17,1.46,6.7,"{'fixed_sl': 1012, 'trailing_sl': 209, 'max_hold': 521}",165,42.42,0.7884,-7.53,181,41.99,0.7728,-8.58,246,42.28,1.1001,6.18,265,40.0,0.8942,-6.03,226,37.61,0.9034,-4.22,238,41.6,0.9573,-1.55,243,35.39,0.7505,-12.15,178,38.76,0.6465,-11.2
D_MOM_BREAKOUT_ROC5_VOL1.5_TR2.5_MH15_NIFTY,"{""roc_thresh"": 5, ""vol_mult"": 1.5, ""trail_atr"": 2.5, ""max_hold"": 15, ""nifty_filter"": True}",day,50,2018-01 to 2025-12,1202,1021,181,38.1,39.37,30.94,-4097221.0,-40.97,0.8759,-6.38,45.28,-0.2779,-0.3611,-0.1409,6.52,-4.24,1.54,9.9,"{'fixed_sl': 760, 'max_hold': 369, 'trailing_sl': 73}",121,26.45,0.3598,-28.5,127,40.94,0.9074,-3.16,159,42.77,1.5049,27.14,170,39.41,0.9339,-2.95,160,40.62,0.8034,-7.96,157,48.41,1.178,5.01,161,34.16,0.8029,-8.51,147,29.25,0.4656,-22.05
