strategy,params,timeframe,n_symbols,period,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
D_BB_SQUEEZE_BBSQ_SL1.5_TR2_MH10,"{""label"": ""BBSQ_SL1.5_TR2_MH10"", ""sl_atr_mult"": 1.5, ""trail_atr_mult"": 2.0, ""max_hold"": 10}",day,50,2018-01 to 2025-12,1817,1033,784,35.66,38.14,32.4,-11869555.0,-118.7,0.6732,-100.0,127.12,-0.4185,-0.0167,-0.7867,3.98,-2.91,1.37,6.5,"{""fixed_sl"": 1140, ""max_hold"": 499, ""trailing_sl"": 178}",242,38.02,0.8606,-7.03,249,39.76,0.6341,-19.88,239,36.82,0.8066,-10.98,233,34.76,0.7276,-12.42,192,34.9,0.5335,-18.21,222,35.59,0.689,-10.39,243,32.51,0.4985,-24.67,197,31.98,0.5603,-15.1
D_DONCHIAN_DC20_TR2_MH20,"{""label"": ""DC20_TR2_MH20"", ""sl_atr_mult"": 2.0, ""trail_atr_mult"": 2.0, ""max_hold"": 20}",day,50,2018-01 to 2025-12,1806,1085,721,32.83,34.56,30.24,-12269263.0,-122.69,0.655,-100.0,123.5,-0.436,-0.0193,-0.8097,4.13,-2.74,1.51,8.4,"{""fixed_sl"": 1506, ""max_hold"": 104, ""trailing_sl"": 196}",208,34.13,0.6473,-15.83,214,31.78,0.4972,-22.72,248,35.48,0.7764,-14.67,232,29.74,0.6715,-14.97,249,35.34,0.7387,-11.92,233,33.48,0.6996,-9.44,238,28.15,0.5354,-22.05,184,34.78,0.6291,-11.1
D_DONCHIAN_DC10_TR1.5_MH10,"{""label"": ""DC10_TR1.5_MH10"", ""sl_atr_mult"": 1.5, ""trail_atr_mult"": 1.5, ""max_hold"": 10, ""_dc_period"": 10}",day,50,2018-01 to 2025-12,4052,2289,1763,29.02,32.2,24.9,-35407214.0,-354.07,0.4564,-100.0,357.24,-0.4549,-0.0232,-0.2799,2.73,-2.07,1.32,4.5,"{""fixed_sl"": 2750, ""max_hold"": 304, ""trailing_sl"": 998}",484,27.07,0.3954,-49.96,468,28.21,0.4551,-42.72,540,30.93,0.5242,-56.6,528,28.03,0.4157,-50.43,537,33.15,0.6038,-32.86,512,30.86,0.4161,-33.73,535,23.93,0.3206,-58.06,448,29.91,0.4951,-29.71
D_DONCHIAN_DC30_TR2.5_MH30,"{""label"": ""DC30_TR2.5_MH30"", ""sl_atr_mult"": 2.5, ""trail_atr_mult"": 2.5, ""max_hold"": 30, ""_dc_period"": 30}",day,50,2018-01 to 2025-12,1364,819,545,34.09,37.85,28.44,-7990923.0,-79.91,0.7499,-18.38,81.72,0.273,0.0,-0.2249,5.36,-3.36,1.6,12.6,"{""fixed_sl"": 1180, ""max_hold"": 81, ""trailing_sl"": 103}",143,41.26,0.885,-3.74,163,31.9,0.5128,-19.28,176,35.23,1.084,5.02,188,31.38,0.7697,-10.2,187,35.83,0.6304,-16.24,176,35.23,0.6473,-10.76,179,35.75,0.7591,-8.98,152,26.32,0.5033,-15.72
D_NR_BREAKOUT_NR4_RR2_MH5,"{""label"": ""NR4_RR2_MH5"", ""use_nr7"": false, ""risk_reward"": 2.0, ""max_hold"": 5}",day,50,2018-01 to 2025-12,5136,2839,2297,41.84,45.86,36.87,-18371688.0,-183.72,0.7766,-100.0,195.14,-0.5068,-0.2563,-0.5125,3.18,-2.56,1.24,3.9,"{""fixed_tp"": 643, ""fixed_sl"": 1947, ""max_hold"": 2546}",609,38.92,0.6763,-35.15,588,40.65,0.6949,-29.67,682,41.79,0.8064,-31.74,618,40.29,0.7523,-25.75,791,40.83,0.8006,-24.69,670,45.82,0.8152,-13.87,629,44.36,0.9322,-5.25,549,41.89,0.757,-17.6
D_NR_BREAKOUT_NR4_RR3_MH5,"{""label"": ""NR4_RR3_MH5"", ""use_nr7"": false, ""risk_reward"": 3.0, ""max_hold"": 5}",day,50,2018-01 to 2025-12,5016,2765,2251,41.11,44.92,36.43,-17424183.0,-174.24,0.7843,-100.0,183.54,-0.5043,-0.1049,-0.5448,3.28,-2.54,1.29,4.1,"{""fixed_tp"": 245, ""fixed_sl"": 1925, ""max_hold"": 2846}",603,38.14,0.6635,-36.51,572,39.86,0.6841,-30.2,669,41.26,0.8477,-24.37,599,39.07,0.7101,-29.38,766,40.08,0.8128,-22.67,655,44.89,0.8531,-10.9,616,43.99,0.9393,-4.6,536,41.42,0.781,-15.6
D_NR_BREAKOUT_NR7_RR2_MH7,"{""label"": ""NR7_RR2_MH7"", ""use_nr7"": true, ""risk_reward"": 2.0, ""max_hold"": 7}",day,50,2018-01 to 2025-12,2815,1640,1175,38.4,43.35,31.49,-12874713.0,-128.75,0.7405,-100.0,141.62,-0.4487,-0.0217,-0.7061,3.6,-2.66,1.35,4.6,"{""fixed_sl"": 1374, ""max_hold"": 925, ""fixed_tp"": 516}",329,31.61,0.5851,-26.91,316,33.23,0.5839,-24.38,375,40.27,0.7751,-23.83,332,40.36,0.8415,-8.79,464,37.72,0.6944,-24.43,374,45.45,0.9947,-0.23,332,41.27,0.841,-7.18,293,35.84,0.7021,-13.0
D_PA_MACD_PA_MACD_RR2_MH10,"{""label"": ""PA_MACD_RR2_MH10"", ""risk_reward"": 2.0, ""max_hold"": 10}",day,50,2018-01 to 2025-12,3489,2023,1466,57.75,61.3,52.86,29244494.0,292.44,1.8924,18.88,7.23,0.256,0.0,2.6114,3.28,-2.03,1.62,3.5,"{""fixed_tp"": 1850, ""fixed_sl"": 1408, ""max_hold"": 231}",429,55.01,1.6349,28.59,433,55.89,1.6739,28.61,448,64.06,2.8383,91.03,416,59.86,2.0011,38.92,478,60.67,1.9265,40.47,455,60.44,1.9417,29.63,451,54.77,1.6781,27.11,379,49.87,1.2203,8.08
D_PA_MACD_PA_MACD_RR3_MH10,"{""label"": ""PA_MACD_RR3_MH10"", ""risk_reward"": 3.0, ""max_hold"": 10}",day,50,2018-01 to 2025-12,3200,1840,1360,49.84,53.64,44.71,32425210.0,324.25,1.9389,20.06,6.74,0.2651,0.0,2.9774,4.4,-1.95,2.25,4.7,"{""fixed_sl"": 1490, ""fixed_tp"": 1193, ""max_hold"": 517}",391,48.59,1.7759,35.69,396,47.73,1.7115,31.35,417,56.12,2.8231,100.46,388,51.8,1.9192,39.22,430,52.79,2.0859,48.34,413,52.06,2.0532,34.9,415,44.58,1.492,21.33,350,44.0,1.3553,12.97
D_MACD_HIST_MACDH_SL2_TR2.5_MH15,"{""label"": ""MACDH_SL2_TR2.5_MH15"", ""sl_atr_mult"": 2.0, ""trail_atr_mult"": 2.5, ""max_hold"": 15}",day,50,2018-01 to 2025-12,1798,887,911,36.26,42.73,29.97,-10125938.0,-101.26,0.748,-100.0,101.76,-0.3629,-0.0117,-0.9827,4.81,-3.31,1.46,9.9,"{""fixed_sl"": 1211, ""max_hold"": 524, ""trailing_sl"": 63}",225,28.89,0.5277,-28.92,220,38.18,0.8622,-5.87,236,35.17,0.8485,-11.77,234,35.47,0.57,-25.11,233,37.34,0.9036,-4.83,225,38.67,0.7642,-8.45,233,36.91,0.7248,-12.61,192,40.1,0.8769,-3.71
D_MACD_HIST_MACDH_SL1.5_TR2_MH10,"{""label"": ""MACDH_SL1.5_TR2_MH10"", ""sl_atr_mult"": 1.5, ""trail_atr_mult"": 2.0, ""max_hold"": 10}",day,50,2018-01 to 2025-12,2860,1428,1432,35.84,40.27,31.42,-14718782.0,-147.19,0.7132,-100.0,150.45,-0.4727,-0.0294,-0.6647,3.78,-2.6,1.45,6.6,"{""fixed_sl"": 1852, ""max_hold"": 815, ""trailing_sl"": 193}",358,34.36,0.5386,-32.89,346,36.13,0.8508,-8.33,380,37.37,0.6971,-30.98,378,36.77,0.6609,-23.95,368,38.04,0.8166,-12.43,364,32.97,0.6511,-17.06,354,35.03,0.8178,-9.49,312,35.9,0.7288,-12.06
D_STOCH_RSI_STOCHRSI_RR2_MH10,"{""label"": ""STOCHRSI_RR2_MH10"", ""risk_reward"": 2.0, ""sl_atr_mult"": 1.5, ""max_hold"": 10}",day,50,2018-01 to 2025-12,2334,1053,1281,40.75,47.1,35.52,-8907578.0,-89.08,0.8066,-24.43,92.23,0.3175,0.0,-0.2649,4.11,-3.13,1.31,7.0,"{""fixed_tp"": 365, ""max_hold"": 907, ""fixed_sl"": 1062}",273,38.46,0.6599,-20.71,301,46.18,1.0351,1.8,319,38.87,0.722,-24.9,296,39.53,0.7629,-15.08,296,39.53,0.89,-6.69,298,39.6,0.7693,-10.32,295,41.02,0.8272,-8.54,256,42.97,0.885,-4.63
D_STOCH_RSI_STOCHRSI_RR3_MH15,"{""label"": ""STOCHRSI_RR3_MH15"", ""risk_reward"": 3.0, ""sl_atr_mult"": 2.0, ""max_hold"": 15}",day,50,2018-01 to 2025-12,1224,522,702,42.32,48.28,37.89,-4589721.0,-45.9,0.844,-7.48,46.66,0.1439,0.0,-0.1603,5.0,-3.97,1.26,11.6,"{""max_hold"": 659, ""fixed_sl"": 523, ""fixed_tp"": 42}",145,39.31,0.7126,-11.16,148,47.3,1.0732,2.32,170,37.65,0.8098,-10.59,162,41.36,0.6284,-16.67,158,43.67,1.112,4.26,156,42.31,0.8652,-3.63,151,39.74,0.5973,-14.16,134,48.51,1.1633,3.73
