label,symbol,strategy,strike_dist,hold_period,signal,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_weekly_Consensus3_SD1.5_L3,BANKNIFTY,short_strangle,1.5,weekly,Consensus3,3,37,70.27,108631.95,10.86,3.57,1.66,6.28,385.98,3.41,37.84,4,2936.0,10544.27,-15047.2,19554.45,-30000.0,1108631.95
BANKNIFTY_short_strangle_weekly_Consensus3_SD1.5_L5,BANKNIFTY,short_strangle,1.5,weekly,Consensus3,5,37,70.27,234229.5,23.42,7.42,2.05,7.79,385.98,3.41,37.84,4,6330.53,17573.79,-20244.45,32590.75,-30000.0,1234229.5
BANKNIFTY_short_strangle_weekly_Consensus3_SD2.0_L3,BANKNIFTY,short_strangle,2.0,weekly,Consensus3,3,37,72.97,88864.8,8.89,2.94,1.74,4.5,256.4,4.59,54.05,2,2401.75,7730.77,-11986.59,14176.5,-30000.0,1088864.8
BANKNIFTY_short_strangle_weekly_Consensus3_SD2.0_L5,BANKNIFTY,short_strangle,2.0,weekly,Consensus3,5,37,72.97,174787.25,17.48,5.63,2.01,6.73,256.4,4.59,54.05,2,4723.98,12884.61,-17309.72,23627.5,-30173.0,1174787.25
BANKNIFTY_short_strangle_weekly_Consensus3_SD2.5_L3,BANKNIFTY,short_strangle,2.5,weekly,Consensus3,3,37,75.68,66283.8,6.63,2.21,1.79,2.91,166.17,5.74,70.27,2,1791.45,5367.96,-9335.45,9758.4,-30000.0,1066283.8
BANKNIFTY_short_strangle_weekly_Consensus3_SD2.5_L5,BANKNIFTY,short_strangle,2.5,weekly,Consensus3,5,37,75.68,130473.0,13.05,4.26,2.09,4.79,166.17,5.74,70.27,2,3526.3,8946.6,-13336.86,16264.0,-30000.0,1130473.0
BANKNIFTY_short_strangle_weekly_Consensus3_SD3.0_L3,BANKNIFTY,short_strangle,3.0,weekly,Consensus3,3,37,78.38,39159.15,3.92,1.31,1.67,2.49,103.16,6.91,83.78,2,1058.36,3356.17,-7271.23,6277.2,-26135.85,1039159.15
BANKNIFTY_short_strangle_weekly_Consensus3_SD3.0_L5,BANKNIFTY,short_strangle,3.0,weekly,Consensus3,5,37,78.38,78825.0,7.88,2.61,1.95,3.19,103.16,6.91,83.78,2,2130.41,5593.62,-10423.75,10462.0,-30000.0,1078825.0
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD1.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,3,22,72.73,198811.95,19.88,6.29,2.79,2.83,724.84,3.35,4.55,1,9036.91,19380.5,-18546.0,33861.3,-30000.0,1198811.95
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD1.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,5,22,72.73,375266.5,37.53,11.31,3.65,2.73,724.84,3.35,4.55,1,17057.57,32300.83,-23591.12,56435.5,-30000.0,1375266.5
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.0_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,3,22,72.73,166583.85,16.66,5.32,2.65,2.85,559.2,4.49,27.27,1,7571.99,16722.94,-16830.53,27991.05,-30000.0,1166583.85
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,5,22,72.73,317639.75,31.76,9.72,3.48,2.76,559.2,4.49,27.27,1,14438.17,27871.56,-21384.21,46651.75,-30000.0,1317639.75
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,3,22,72.73,134323.8,13.43,4.33,2.51,2.87,423.49,5.64,40.91,1,6105.63,13963.03,-14847.45,22011.45,-30000.0,1134323.8
