label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
BB20_2,ADANIENT,270,53.33,1.23,650.6,23.91,-22.16,238.05,1.14,59,81,130,30.0,57.39
BB20_2,TATASTEEL,251,45.82,1.26,40.74,1.71,-1.15,15.63,1.06,36,58,157,38.69,54.39
BB20_2,BEL,227,55.51,1.32,88.28,2.88,-2.71,30.05,1.3,29,49,149,55.75,55.26
BB20_2,VEDL,254,46.85,1.04,25.12,5.18,-4.38,94.68,0.19,32,69,153,48.8,43.18
BB20_2,BANKBARODA,259,45.56,0.85,-46.29,2.19,-2.16,61.9,-0.85,40,70,149,44.83,46.49
BB20_2,BPCL,254,44.88,0.84,-59.72,2.75,-2.67,107.61,-0.79,23,60,171,34.69,47.32
BB20_2,M&M,231,46.32,0.91,-291.81,26.61,-25.31,697.81,-0.47,29,51,151,47.65,43.9
BB20_2,BAJFINANCE,255,44.71,1.09,67.87,7.31,-5.43,141.48,0.42,38,61,156,44.44,44.96
BB20_1.5,ADANIENT,270,53.33,1.23,650.6,23.91,-22.16,238.05,1.14,59,81,130,30.0,57.39
BB20_1.5,TATASTEEL,251,45.82,1.26,40.74,1.71,-1.15,15.63,1.06,36,58,157,38.69,54.39
BB20_1.5,BEL,227,55.51,1.32,88.28,2.88,-2.71,30.05,1.3,29,49,149,55.75,55.26
BB20_1.5,VEDL,254,46.85,1.04,25.12,5.18,-4.38,94.68,0.19,32,69,153,48.8,43.18
BB20_1.5,BANKBARODA,259,45.56,0.85,-46.29,2.19,-2.16,61.9,-0.85,40,70,149,44.83,46.49
BB20_1.5,BPCL,254,44.88,0.84,-59.72,2.75,-2.67,107.61,-0.79,23,60,171,34.69,47.32
BB20_1.5,M&M,231,46.32,0.91,-291.81,26.61,-25.31,697.81,-0.47,29,51,151,47.65,43.9
BB20_1.5,BAJFINANCE,255,44.71,1.09,67.87,7.31,-5.43,141.48,0.42,38,61,156,44.44,44.96
BB10_2,ADANIENT,282,55.67,1.48,1328.3,26.01,-22.04,194.25,1.79,62,78,142,35.56,59.49
BB10_2,TATASTEEL,261,49.43,1.35,53.77,1.61,-1.16,12.76,1.4,37,59,165,44.78,54.33
BB10_2,BEL,236,55.93,1.5,137.04,3.1,-2.61,27.98,1.65,30,48,158,58.33,53.45
BB10_2,VEDL,249,47.39,1.02,9.75,5.17,-4.58,85.58,0.07,33,70,146,49.38,43.82
BB10_2,BANKBARODA,267,43.07,0.74,-86.86,2.13,-2.19,105.16,-1.58,38,78,151,41.56,45.13
BB10_2,BPCL,244,47.54,0.98,-7.69,2.85,-2.64,73.86,-0.1,23,58,163,42.31,48.17
BB10_2,M&M,241,46.89,0.95,-158.05,26.05,-24.23,639.0,-0.26,31,51,159,48.28,44.79
BB10_2,BAJFINANCE,263,44.11,1.07,53.17,7.2,-5.32,143.8,0.33,40,64,159,45.83,42.66
BB20_2_VWAP,ADANIENT,270,53.33,1.23,650.6,23.91,-22.16,238.05,1.14,59,81,130,30.0,57.39
BB20_2_VWAP,TATASTEEL,251,45.82,1.26,40.74,1.71,-1.15,15.63,1.06,36,58,157,38.69,54.39
BB20_2_VWAP,BEL,227,55.51,1.32,88.28,2.88,-2.71,30.05,1.3,29,49,149,55.75,55.26
BB20_2_VWAP,VEDL,254,46.85,1.04,25.12,5.18,-4.38,94.68,0.19,32,69,153,48.8,43.18
BB20_2_VWAP,BANKBARODA,258,45.35,0.84,-49.37,2.18,-2.16,64.98,-0.9,39,70,149,44.83,46.02
BB20_2_VWAP,BPCL,254,44.88,0.84,-59.72,2.75,-2.67,107.61,-0.79,23,60,171,34.69,47.32
BB20_2_VWAP,M&M,231,46.32,0.91,-291.81,26.61,-25.31,697.81,-0.47,29,51,151,47.65,43.9
BB20_2_VWAP,BAJFINANCE,255,44.71,1.09,67.87,7.31,-5.43,141.48,0.42,38,61,156,44.44,44.96
MTF_EMA20,ADANIENT,278,55.76,1.46,1271.8,25.93,-22.34,222.45,1.73,62,80,136,35.14,58.92
MTF_EMA20,TATASTEEL,253,45.06,1.21,33.85,1.71,-1.16,15.78,0.88,36,60,157,38.41,53.04
MTF_EMA20,BEL,233,57.94,1.43,114.3,2.83,-2.73,27.38,1.66,30,46,157,58.33,57.52
MTF_EMA20,VEDL,257,45.91,0.99,-5.31,5.14,-4.4,112.16,-0.04,32,71,154,48.19,41.76
MTF_EMA20,BANKBARODA,268,44.78,0.85,-46.85,2.25,-2.14,66.55,-0.84,42,73,153,44.23,45.54
MTF_EMA20,BPCL,250,45.6,0.88,-42.57,2.82,-2.68,91.26,-0.57,25,61,164,37.78,47.32
MTF_EMA20,M&M,236,48.31,0.98,-68.18,26.02,-24.87,599.85,-0.11,32,49,155,50.0,45.0
MTF_EMA20,BAJFINANCE,255,44.31,1.08,59.32,7.29,-5.38,139.66,0.37,38,61,156,43.51,45.16
MTF_EMA50,ADANIENT,269,53.9,1.26,724.1,23.89,-22.09,203.45,1.27,58,79,132,31.91,58.56
MTF_EMA50,TATASTEEL,244,47.54,1.22,32.4,1.58,-1.17,18.78,0.93,35,55,154,43.07,53.27
MTF_EMA50,BEL,223,55.61,1.31,84.17,2.88,-2.76,30.33,1.25,28,44,151,58.21,51.69
MTF_EMA50,VEDL,246,46.75,0.95,-27.78,4.89,-4.51,118.93,-0.24,29,67,150,51.16,36.49
MTF_EMA50,BANKBARODA,259,44.79,0.83,-49.86,2.17,-2.11,73.95,-0.92,40,69,150,44.44,45.36
MTF_EMA50,BPCL,249,44.98,0.85,-54.07,2.84,-2.71,110.06,-0.72,23,65,161,44.32,45.34
MTF_EMA50,M&M,222,49.55,1.02,51.52,25.06,-24.16,417.26,0.09,27,47,148,51.72,41.67
MTF_EMA50,BAJFINANCE,257,44.75,1.05,37.6,7.24,-5.6,144.63,0.23,38,65,154,45.07,44.35
MTF_EMA10,ADANIENT,282,54.96,1.42,1194.35,26.09,-22.44,216.05,1.6,61,80,141,34.38,57.6
MTF_EMA10,TATASTEEL,263,49.05,1.29,46.49,1.6,-1.19,13.54,1.2,38,62,163,43.07,55.56
MTF_EMA10,BEL,241,56.43,1.5,137.42,3.05,-2.64,21.45,1.65,32,48,161,57.14,55.65
MTF_EMA10,VEDL,259,47.1,1.01,8.85,5.11,-4.48,100.96,0.07,33,70,156,47.88,45.74
MTF_EMA10,BANKBARODA,273,43.22,0.77,-76.15,2.18,-2.15,98.3,-1.37,40,79,154,42.31,44.44
