label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
OR10_baseline,ADANIENT,409,47.7,1.24,1084.4,28.8,-21.2,419.2,1.24,98,133,178,38.7,55.2
OR10_baseline,TATASTEEL,398,47.5,1.26,64.1,1.7,-1.2,16.4,1.38,63,108,227,43.7,51.0
OR10_baseline,BEL,397,54.2,1.39,194.5,3.2,-2.7,27.4,1.92,62,92,243,56.3,52.5
OR10_baseline,VEDL,395,49.6,1.14,122.7,5.2,-4.5,70.3,0.77,61,112,222,53.4,46.1
OR10_baseline,BANKBARODA,407,44.0,0.9,-48.6,2.3,-2.0,69.5,-0.67,63,134,210,40.8,46.9
OR10_baseline,BPCL,395,49.1,1.05,25.4,3.0,-2.8,58.1,0.27,50,114,231,49.7,48.6
OR10_baseline,M&M,391,50.1,1.15,698.1,26.6,-23.1,541.9,0.89,57,81,253,51.0,49.2
OR10_baseline,BAJFINANCE,394,44.2,1.03,36.2,7.6,-5.8,151.1,0.17,65,112,217,45.6,42.8
OR10_R2.0,ADANIENT,409,46.0,1.31,1425.0,31.9,-20.7,375.0,1.43,63,135,211,37.1,53.4
OR10_R2.0,TATASTEEL,398,46.5,1.29,73.8,1.8,-1.2,19.1,1.47,33,109,256,42.6,50.0
OR10_R2.0,BEL,397,53.6,1.43,216.0,3.4,-2.7,27.4,1.92,37,93,267,55.8,52.0
OR10_R2.0,VEDL,395,49.1,1.16,142.7,5.3,-4.4,76.3,0.85,30,113,252,52.9,45.6
OR10_R2.0,BANKBARODA,407,42.8,0.94,-29.8,2.5,-2.0,60.6,-0.37,38,136,233,40.3,45.0
OR10_R2.0,BPCL,395,48.6,1.06,32.2,3.1,-2.8,70.5,0.32,29,115,251,49.2,48.1
OR10_R2.0,M&M,391,49.9,1.22,986.9,28.2,-23.1,465.9,1.18,34,82,275,51.0,48.6
OR10_R2.0,BAJFINANCE,394,42.9,1.04,47.6,8.0,-5.8,161.2,0.22,35,115,244,45.1,40.8
OR10_VWAP_CPRdir,ADANIENT,275,55.6,1.48,1273.7,25.6,-21.7,187.5,1.76,72,82,121,30.0,56.6
OR10_VWAP_CPRdir,TATASTEEL,317,47.3,1.25,50.2,1.7,-1.2,15.8,1.19,52,85,180,42.8,52.8
OR10_VWAP_CPRdir,BEL,307,55.4,1.51,187.1,3.2,-2.7,25.4,2.04,52,75,180,57.0,53.5
OR10_VWAP_CPRdir,VEDL,327,50.1,1.22,153.6,5.2,-4.2,87.1,1.09,53,92,182,52.4,47.1
OR10_VWAP_CPRdir,BANKBARODA,329,41.6,0.75,-101.6,2.2,-2.1,104.0,-1.56,47,117,165,39.1,44.8
OR10_VWAP_CPRdir,BPCL,249,48.2,1.04,14.4,3.0,-2.6,41.6,0.19,31,70,148,37.5,48.5
OR10_VWAP_CPRdir,M&M,308,50.3,1.16,560.2,26.4,-23.0,401.5,0.81,41,63,204,52.1,48.2
OR10_VWAP_CPRdir,BAJFINANCE,335,43.3,1.01,14.1,7.3,-5.5,115.3,0.08,56,89,190,44.0,42.7
OR10_VWAP_RSI60_CPRdir,ADANIENT,149,54.4,1.49,789.8,29.7,-23.7,184.4,1.23,43,41,65,30.0,56.1
OR10_VWAP_RSI60_CPRdir,TATASTEEL,223,49.3,1.28,37.8,1.6,-1.2,12.8,1.1,39,54,130,43.0,56.9
OR10_VWAP_RSI60_CPRdir,BEL,224,57.1,1.74,189.9,3.5,-2.7,18.2,2.26,42,46,136,55.4,59.6
OR10_VWAP_RSI60_CPRdir,VEDL,253,53.4,1.43,211.6,5.2,-4.2,43.6,1.68,47,61,145,52.2,55.2
OR10_VWAP_RSI60_CPRdir,BANKBARODA,243,45.3,0.81,-52.7,2.0,-2.0,61.2,-1.07,37,68,138,44.4,46.4
OR10_VWAP_RSI60_CPRdir,BPCL,131,52.7,0.99,-2.0,2.7,-3.0,25.9,-0.04,13,32,86,37.5,53.7
OR10_VWAP_RSI60_CPRdir,M&M,222,49.1,1.13,321.2,26.4,-22.6,522.6,0.56,27,45,150,54.2,43.1
OR10_VWAP_RSI60_CPRdir,BAJFINANCE,263,45.6,1.14,109.5,7.3,-5.3,80.9,0.67,41,60,162,47.1,44.4
OR10_VWAP_RSI60_CPRdir_CPRw05,ADANIENT,79,60.8,2.75,1069.3,35.0,-19.7,72.6,1.91,29,17,33,100.0,59.2
OR10_VWAP_RSI60_CPRdir_CPRw05,TATASTEEL,138,52.9,1.5,40.8,1.7,-1.2,8.7,1.45,29,33,76,50.0,56.2
OR10_VWAP_RSI60_CPRdir_CPRw05,BEL,142,55.6,1.7,109.6,3.4,-2.5,15.7,1.98,27,31,84,49.4,63.5
OR10_VWAP_RSI60_CPRdir_CPRw05,VEDL,173,53.2,1.39,123.2,4.8,-4.0,45.0,1.31,35,41,97,51.4,56.5
OR10_VWAP_RSI60_CPRdir_CPRw05,BANKBARODA,170,44.7,0.87,-22.1,2.0,-1.9,42.0,-0.56,27,43,100,43.4,46.5
OR10_VWAP_RSI60_CPRdir_CPRw05,BPCL,93,60.2,1.47,46.0,2.6,-2.7,20.6,1.15,13,18,62,37.5,62.4
OR10_VWAP_RSI60_CPRdir_CPRw05,M&M,134,49.2,1.14,212.4,25.8,-21.9,356.4,0.49,20,27,87,51.4,46.8
OR10_VWAP_RSI60_CPRdir_CPRw05,BAJFINANCE,165,48.5,1.37,158.9,7.4,-5.1,41.0,1.27,30,40,95,51.4,46.1
OR10_VWAP_CPRdir_CPRw05,ADANIENT,156,55.8,1.94,1181.0,28.0,-18.2,172.2,1.94,44,43,69,100.0,54.9
OR10_VWAP_CPRdir_CPRw05,TATASTEEL,190,46.8,1.24,28.8,1.7,-1.2,16.3,0.93,34,53,103,45.0,48.9
OR10_VWAP_CPRdir_CPRw05,BEL,199,53.3,1.49,110.8,3.2,-2.4,28.9,1.78,36,50,113,49.5,56.7
OR10_VWAP_CPRdir_CPRw05,VEDL,219,50.2,1.17,75.8,4.7,-4.0,65.8,0.74,36,62,121,52.4,47.3
OR10_VWAP_CPRdir_CPRw05,BANKBARODA,237,42.2,0.75,-66.9,2.0,-2.0,71.7,-1.42,35,77,125,38.9,46.2
OR10_VWAP_CPRdir_CPRw05,BPCL,171,53.8,1.39,73.9,2.9,-2.4,28.4,1.22,25,41,105,37.5,54.6
OR10_VWAP_CPRdir_CPRw05,M&M,182,50.0,1.05,109.7,24.4,-23.2,404.1,0.22,25,38,119,49.0,51.2
OR10_VWAP_CPRdir_CPRw05,BAJFINANCE,208,46.1,1.23,132.5,7.4,-5.2,60.5,0.95,42,57,109,46.9,45.5
OR10_R2.0_VWAP_CPRdir_CPRw05,ADANIENT,156,54.5,2.18,1516.7,32.9,-18.0,149.8,2.02,31,44,81,100.0,53.6
OR10_R2.0_VWAP_CPRdir_CPRw05,TATASTEEL,190,45.8,1.32,38.4,1.8,-1.2,19.0,1.14,20,54,116,44.0,47.8
OR10_R2.0_VWAP_CPRdir_CPRw05,BEL,199,52.3,1.47,106.4,3.2,-2.4,30.6,1.66,19,51,129,48.4,55.8
OR10_R2.0_VWAP_CPRdir_CPRw05,VEDL,219,48.9,1.17,76.0,4.9,-4.0,79.2,0.72,17,63,139,50.8,46.2
OR10_R2.0_VWAP_CPRdir_CPRw05,BANKBARODA,237,41.4,0.8,-54.2,2.2,-1.9,62.7,-1.08,25,78,134,38.9,44.3
OR10_R2.0_VWAP_CPRdir_CPRw05,BPCL,171,53.2,1.39,75.0,3.0,-2.4,28.9,1.15,14,41,116,37.5,54.0
OR10_R2.0_VWAP_CPRdir_CPRw05,M&M,182,50.0,1.09,190.5,25.3,-23.2,383.3,0.36,14,38,130,49.0,51.2
OR10_R2.0_VWAP_CPRdir_CPRw05,BAJFINANCE,208,43.8,1.22,129.4,8.0,-5.1,71.5,0.87,24,60,124,45.8,42.0
OR10_MT2_R2.0,ADANIENT,519,46.6,1.29,1592.2,29.6,-20.2,305.2,1.53,78,169,272,38.3,54.0
OR10_MT2_R2.0,TATASTEEL,481,47.2,1.29,82.2,1.6,-1.1,16.9,1.59,41,128,312,43.9,50.2
OR10_MT2_R2.0,BEL,465,54.2,1.53,290.6,3.4,-2.6,26.6,2.53,43,102,320,55.6,53.0
OR10_MT2_R2.0,VEDL,481,47.4,1.11,121.7,5.2,-4.2,96.5,0.64,37,141,303,49.8,45.2
OR10_MT2_R2.0,BANKBARODA,513,45.8,1.0,0.2,2.3,-2.0,52.4,0.0,52,163,298,42.8,48.7
OR10_MT2_R2.0,BPCL,481,48.4,1.06,42.3,3.0,-2.6,87.5,0.4,35,134,312,48.5,48.4
OR10_MT2_R2.0,M&M,453,49.9,1.16,823.4,26.5,-22.7,459.3,0.93,35,100,318,50.0,49.8
OR10_MT2_R2.0,BAJFINANCE,482,42.5,1.03,44.0,7.6,-5.5,172.1,0.19,40,135,307,44.0,41.1
OR10_VirginCPR_VWAP_CPRdir,ADANIENT,263,55.5,1.52,1245.7,25.1,-20.6,152.1,1.81,70,79,114,0.0,55.9
OR10_VirginCPR_VWAP_CPRdir,TATASTEEL,108,50.9,1.68,46.3,2.1,-1.3,11.4,1.66,26,29,53,45.9,57.5
OR10_VirginCPR_VWAP_CPRdir,BEL,112,54.5,1.66,91.5,3.8,-2.7,22.9,1.33,17,27,68,52.2,58.1
OR10_VirginCPR_VWAP_CPRdir,VEDL,117,59.8,1.73,168.4,5.7,-4.9,22.9,1.7,20,27,70,59.8,60.0
OR10_VirginCPR_VWAP_CPRdir,BANKBARODA,99,38.4,0.59,-56.6,2.1,-2.2,56.4,-1.65,12,32,55,35.3,45.2
OR10_VirginCPR_VWAP_CPRdir,BPCL,243,48.1,1.08,24.8,3.0,-2.6,41.6,0.34,31,68,144,37.5,48.5
OR10_VirginCPR_VWAP_CPRdir,M&M,88,46.6,0.88,-139.5,26.0,-25.6,407.9,-0.38,7,23,58,50.0,42.5
OR10_VirginCPR_VWAP_CPRdir,BAJFINANCE,107,39.2,0.95,-20.5,8.5,-5.8,143.8,-0.18,17,26,64,41.7,37.3
OR10_InsideDay_VWAP_RSI_CPRdir,ADANIENT,98,52.0,1.64,635.3,31.8,-21.0,151.0,1.13,31,28,39,16.7,54.4
OR10_InsideDay_VWAP_RSI_CPRdir,TATASTEEL,113,52.2,1.52,32.4,1.6,-1.2,7.5,1.32,22,25,66,43.6,60.3
OR10_InsideDay_VWAP_RSI_CPRdir,BEL,132,53.8,1.38,65.9,3.4,-2.9,25.6,1.15,27,30,75,47.5,63.5
OR10_InsideDay_VWAP_RSI_CPRdir,VEDL,148,52.0,1.27,78.9,4.8,-4.1,38.6,0.88,25,36,87,52.6,51.0
OR10_InsideDay_VWAP_RSI_CPRdir,BANKBARODA,134,45.5,0.82,-26.6,2.0,-2.0,33.4,-0.71,19,38,77,43.1,48.4
