label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
VCPR,ADANIENT,385,49.09,1.29,1182.45,27.71,-20.68,358.6,1.41,83,115,187,40.37,55.36
VCPR,TATASTEEL,165,52.12,1.65,62.55,1.85,-1.22,11.86,1.93,27,38,100,48.05,55.68
VCPR,BEL,173,55.49,1.54,119.29,3.53,-2.85,18.6,1.5,25,29,119,57.89,53.61
VCPR,VEDL,165,55.76,1.27,104.31,5.36,-5.33,45.65,0.85,17,37,111,62.11,47.14
VCPR,BANKBARODA,153,44.44,0.89,-19.43,2.4,-2.15,36.72,-0.43,16,37,100,40.26,48.68
VCPR,BPCL,375,49.6,1.05,26.13,2.97,-2.79,94.14,0.28,40,97,238,50.57,48.74
VCPR,M&M,141,48.94,0.98,-29.85,26.1,-25.42,306.5,-0.06,16,30,95,50.0,47.54
VCPR,BAJFINANCE,143,39.86,0.93,-37.28,8.42,-6.01,171.83,-0.28,17,35,91,40.0,39.71
PCPR,ADANIENT,251,50.6,1.18,476.05,24.64,-21.4,179.45,0.86,53,79,119,33.77,58.05
PCPR,TATASTEEL,239,50.63,1.31,43.03,1.49,-1.16,18.22,1.29,41,54,144,45.56,53.69
PCPR,BEL,210,55.24,1.44,102.07,2.9,-2.49,36.65,1.58,28,41,141,55.67,54.87
PCPR,VEDL,231,47.19,1.03,16.49,4.97,-4.3,87.3,0.14,33,61,137,52.42,41.12
PCPR,BANKBARODA,232,49.14,0.97,-8.89,2.18,-2.18,31.83,-0.17,42,64,126,46.99,50.34
PCPR,BPCL,230,47.83,0.98,-6.12,2.73,-2.56,76.27,-0.09,25,57,148,51.38,44.63
PCPR,M&M,215,52.09,1.14,333.88,24.04,-22.9,328.91,0.6,29,37,149,52.94,51.54
PCPR,BAJFINANCE,237,43.88,1.05,35.42,7.48,-5.58,169.4,0.23,38,58,141,43.01,44.44
PHL,ADANIENT,248,56.45,1.52,1185.4,24.8,-21.17,165.15,1.73,54,68,126,66.67,56.33
