label,total_trades,id_trades,pamacd_trades,rb_trades,win_rate,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,total_pnl,pnl_pct,avg_win,avg_loss,avg_rr,exit_reasons,y2018_pnl_pct,y2019_pnl_pct,y2020_pnl_pct,y2021_pnl_pct,y2022_pnl_pct,y2023_pnl_pct,y2024_pnl_pct,y2025_pnl_pct
COMBINED_EQUAL,3052,1201,1345,506,50.52,1.65,7.93,2.36,2.44,3.96,3.37,8296799.0,82.97,4.12,-2.51,1.64,"{'max_hold': 1476, 'fixed_sl': 994, 'fixed_tp': 573, 'eod': 9}",6.84,4.52,21.98,11.99,9.46,13.14,6.82,8.22
COMBINED_WEIGHT_ID,3381,1988,887,506,49.81,1.33,6.16,3.73,1.54,2.55,1.65,6073483.0,60.73,3.88,-2.67,1.46,"{'max_hold': 2048, 'fixed_sl': 939, 'fixed_tp': 384, 'eod': 10}",4.62,4.05,14.88,8.33,8.69,10.5,2.82,6.85
COMBINED_10POS,4077,2024,1885,168,50.45,1.65,20.14,5.16,2.63,4.06,3.9,32621528.0,326.22,4.05,-2.47,1.64,"{'fixed_tp': 731, 'fixed_sl': 1297, 'max_hold': 2039, 'eod': 10}",34.29,28.45,82.72,35.32,50.5,34.31,26.77,33.86
COMBINED_15POS,5779,2713,2579,487,50.25,1.57,23.72,6.45,2.6,4.07,3.68,43881228.0,438.81,4.16,-2.64,1.58,"{'fixed_tp': 1028, 'fixed_sl': 1870, 'max_hold': 2866, 'eod': 15}",48.54,54.4,106.58,52.79,53.48,52.65,31.26,39.11
COMBINED_20POS,7118,3198,2884,1036,49.51,1.5,25.66,8.08,2.42,3.9,3.18,50880624.0,508.81,4.35,-2.81,1.55,"{'fixed_tp': 1197, 'fixed_sl': 2332, 'max_hold': 3569, 'eod': 20}",61.14,66.59,124.28,63.24,61.2,65.2,22.79,44.37
