variant,N,WR%,Tr/yr,Win/yr,SLloss,RSIloss,AbortEv,AbortRec,AbortStr,NeverConf,SkipGap,MedWait,MedSLmin
A. base OR30 RSI60/40 K=12 STRICT abort,326,79.8,180.6,144.0,66,0,75,0,75,79,0,7.5,170.0
A. base OR30 RSI60/40 K=12 LENIENT abort,342,80.1,189.4,151.8,68,0,526,16,0,63,0,20.0,170.0
B. OR15m RSI60/40 K=12 lenient,326,74.8,180.6,135.1,82,0,879,22,0,106,0,20.0,145.0
B. OR30m RSI60/40 K=12 lenient,342,80.1,189.4,151.8,68,0,526,16,0,63,0,20.0,170.0
B. OR45m RSI60/40 K=12 lenient,343,85.1,190.0,161.7,51,0,402,11,0,51,0,10.0,170.0
B. OR60m RSI60/40 K=12 lenient,340,86.8,188.3,163.4,45,0,305,8,0,38,0,10.0,170.0
C. OR30 RSI L>50 S<40 K=12 lenient,361,79.2,199.9,158.4,75,0,390,13,0,44,0,20.0,170.0
C. OR30 RSI L>55 S<40 K=12 lenient,354,79.7,196.1,156.2,72,0,433,12,0,51,0,15.0,180.0
C. OR30 RSI L>55 S<35 K=12 lenient,332,79.5,183.9,146.2,68,0,535,7,0,73,0,10.0,168.0
C. OR30 RSI L>60 S<40 K=12 lenient,342,80.1,189.4,151.8,68,0,526,16,0,63,0,20.0,170.0
C. OR30 RSI L>60 S<35 K=12 lenient,320,80.0,177.2,141.8,64,0,628,11,0,85,0,10.0,168.0
C. OR30 RSI L>60 S<45 K=12 lenient,362,79.3,200.5,159.0,75,0,346,17,0,43,0,20.0,165.0
C. OR30 RSI L>65 S<35 K=12 lenient,279,80.6,154.5,124.6,54,0,892,16,0,126,0,10.0,158.0
C. OR30 RSI L>65 S<40 K=12 lenient,301,80.7,166.7,134.6,58,0,790,21,0,104,0,20.0,178.0
C. OR30 RSI L>50 S<35 K=12 lenient,339,79.1,187.8,148.4,71,0,492,8,0,66,0,10.0,165.0
C. OR30 SHORT-only RSI<40 K=12 lenient,163,84.0,90.3,75.9,26,0,1187,9,0,242,0,20.0,190.0
C. OR30 LONG-only RSI>60 K=12 lenient,179,76.5,99.1,75.9,42,0,1072,7,0,226,0,17.5,158.0
D. OR30 RSI60/40 K=12 lenient gap<=None,342,80.1,189.4,151.8,68,0,526,16,0,63,0,20.0,170.0
D. OR30 RSI60/40 K=12 lenient gap<=1.0,331,80.1,183.3,146.8,66,0,487,16,0,55,29,20.0,178.0
D. OR30 RSI60/40 K=12 lenient gap<=0.5,302,79.8,167.3,133.5,61,0,354,14,0,35,89,17.5,170.0
"E. OR30 NO entry filter, RSI exit L<45 S>55",405,16.8,224.3,37.7,6,331,0,0,0,0,0,,75.0
"E. OR30 NO entry filter, RSI exit L<40 S>60",405,34.1,224.3,76.4,14,253,0,0,0,0,0,,105.0
"E. OR30 NO entry filter, RSI exit L<35 S>65",405,53.6,224.3,120.2,29,159,0,0,0,0,0,,110.0
"E. OR30 NO entry filter, RSI exit L<30 S>70",405,66.7,224.3,149.5,71,64,0,0,0,0,0,,145.0
E. OR30 RSI60/40 entry + RSI exit L<45 S>55 K=12,342,19.9,189.4,37.7,6,268,526,16,0,63,0,20.0,75.0
E. OR30 RSI60/40 entry + RSI exit L<40 S>60 K=12,342,38.3,189.4,72.6,11,200,526,16,0,63,0,20.0,110.0
