label,strategy,cost_mode,total_trades,win_rate,profit_factor,total_pnl,total_pnl_pct,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,long_trades,short_trades,long_wr,short_wr,exit_sl,exit_tp,exit_eod,exit_other,y2018_trades,y2018_wr,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pnl_pct
ORB_TP1.0x_cash,ORB,cash,16527,42.29,0.6,-29316629.0,-293.17,-100,293.09,0.61,0.71,-0.34,0.74,-0.68,1.09,0,7823,8704,41.58,42.92,4315,4582,7630,0,2071,44.7,-32.84,2048,43.9,-36.05,2090,43.3,-40.06,2094,45.3,-29.06,2067,44.6,-28.89,2043,38.4,-42.48,2043,40.0,-41.17,2071,37.9,-42.61
ORB_TP1.0x_futures,ORB,futures,16527,46.81,0.85,-9496841.0,-94.97,-31.21,95.25,1.91,4.54,-0.33,0.71,-0.7,1.02,0,7823,8704,45.55,47.94,4315,4582,7630,0,2071,48.8,-8.0,2048,48.2,-11.48,2090,46.8,-14.99,2094,49.1,-3.95,2067,48.8,-4.11,2043,44.0,-17.98,2043,44.8,-16.67,2071,43.9,-17.78
ORB_TP1.5x_cash,ORB,cash,16527,39.8,0.65,-26154065.0,-261.54,-100,261.4,0.7,0.82,-0.38,0.85,-0.66,1.29,0,7823,8704,39.01,40.5,4315,2457,9755,0,2071,42.4,-26.11,2048,40.5,-32.77,2090,41.5,-31.73,2094,42.4,-26.26,2067,42.0,-25.63,2043,35.6,-40.32,2043,38.0,-36.99,2071,35.8,-41.73
ORB_TP1.5x_futures,ORB,futures,16527,45.01,0.9,-6333768.0,-63.34,-11.8,66.3,0.69,0.91,-0.18,0.79,-0.68,1.16,0,7823,8704,43.61,46.25,4315,2457,9755,0,2071,46.9,-1.27,2048,45.7,-8.2,2090,45.4,-6.66,2094,47.0,-1.15,2067,46.8,-0.85,2043,41.9,-15.82,2043,43.5,-12.49,2071,42.7,-16.89
ORB_TP2.0x_cash,ORB,cash,16527,39.04,0.66,-25396995.0,-253.97,-100,253.38,0.72,0.84,-0.39,0.88,-0.65,1.35,0,7823,8704,38.21,39.79,4315,1325,10887,0,2071,41.4,-23.92,2048,39.5,-32.37,2090,40.6,-30.36,2094,41.8,-24.88,2067,41.3,-24.38,2043,34.9,-40.58,2043,37.2,-36.09,2071,35.5,-41.39
ORB_TP2.0x_futures,ORB,futures,16527,44.51,0.91,-5575994.0,-55.76,-9.7,59.58,0.55,0.7,-0.16,0.82,-0.68,1.2,0,7823,8704,43.08,45.8,4315,1325,10887,0,2071,46.3,0.93,2048,44.8,-7.8,2090,44.8,-5.29,2094,46.7,0.23,2067,46.3,0.4,2043,41.8,-16.08,2043,42.9,-11.59,2071,42.5,-16.56
VWAP_EMA_cash,VWAP_EMA,cash,27599,28.39,0.38,-64615595.0,-646.16,-100,645.96,0.61,0.66,-0.15,0.61,-0.43,1.42,0,15223,12376,27.5,29.48,17838,6679,3082,0,3507,27.7,-91.02,3463,28.0,-85.37,3451,31.6,-68.75,3431,28.1,-85.28,3344,30.1,-73.42,3531,26.7,-83.19,3379,27.8,-77.56,3493,27.2,-81.57
VWAP_EMA_futures,VWAP_EMA,futures,27599,30.56,0.61,-31521530.0,-315.22,-100,315.17,0.79,0.97,-0.32,0.61,-0.4,1.51,0,15223,12376,29.58,31.76,17838,6679,3082,0,3507,28.9,-48.95,3463,29.5,-43.83,3451,33.4,-27.37,3431,30.3,-44.15,3344,32.5,-33.32,3531,29.4,-40.86,3379,30.7,-37.05,3493,29.9,-39.69
EMA_CROSS_cash,EMA_CROSS,cash,38469,18.86,0.11,-110904762.0,-1109.05,-100,1108.95,0.45,0.35,-0.09,0.28,-0.3,0.95,0,19025,19444,17.38,20.3,29051,8604,814,0,4704,19.9,-136.99,4818,18.4,-143.87,4653,22.3,-149.0,4749,19.9,-141.16,4738,20.5,-132.33,4909,16.2,-132.19,4891,18.3,-140.19,5007,15.8,-133.32
EMA_CROSS_futures,EMA_CROSS,futures,38469,23.15,0.26,-64771971.0,-647.72,-100,647.6,0.48,0.43,-0.15,0.28,-0.28,1.01,0,19025,19444,21.55,24.72,29051,8604,814,0,4704,23.2,-80.57,4818,21.3,-86.08,4653,24.2,-93.19,4749,23.2,-84.21,4738,24.4,-75.51,4909,23.5,-73.32,4891,22.4,-81.55,5007,23.2,-73.29
