symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,3,75.88,2.61,0.61,2.72,49.86,369,740,0.8524
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,5,57.18,3.84,0.9,3.83,49.86,369,740,0.7456
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,7,41.73,4.74,1.08,5.1,49.86,369,740,0.6588
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,10,27.37,5.7,1.39,7.4,49.86,369,740,0.5674
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,15,13.66,6.69,1.76,8.85,49.86,369,740,0.4731
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.0,20,9.14,7.26,2.02,8.61,49.86,369,740,0.4279
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,1,99.19,0.99,0.42,0.82,49.86,369,740,0.9776
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,3,88.08,2.82,0.63,2.23,49.86,369,740,0.9143
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,5,72.36,4.34,0.83,3.37,49.86,369,740,0.8293
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,7,59.35,5.59,1.0,4.61,49.86,369,740,0.7566
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,10,42.82,7.03,1.26,6.91,49.86,369,740,0.6611
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,15,27.32,8.7,1.57,8.38,49.86,369,740,0.5619
NIFTY50,daily,BB_SQUEEZE_20,volatility,2.5,20,18.56,9.83,1.76,7.99,49.86,369,740,0.5016
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,1,70.94,0.71,0.44,2.82,47.43,351,740,0.7979
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,3,24.0,1.37,0.8,5.37,47.43,351,740,0.5453
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,5,9.71,1.63,1.18,6.03,47.43,351,740,0.4467
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,7,3.14,1.71,1.47,6.29,47.43,351,740,0.3924
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,10,0.0,1.72,1.9,8.37,47.43,351,740,0.3481
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,15,0.0,1.73,2.6,9.79,47.43,351,740,0.3086
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.0,20,0.0,1.72,3.15,9.85,47.43,351,740,0.281
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,1,89.46,0.89,0.4,2.27,47.43,351,740,0.9107
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,3,56.29,2.17,0.78,4.81,47.43,351,740,0.7283
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,5,34.29,2.97,1.06,5.54,47.43,351,740,0.603
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,7,21.14,3.46,1.28,5.79,47.43,351,740,0.5219
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,10,10.57,3.86,1.62,7.89,47.43,351,740,0.4445
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,15,3.44,4.14,2.21,9.32,47.43,351,740,0.3704
NIFTY50,daily,ATR_CONTRACT_7,volatility,1.5,20,0.87,4.26,2.69,9.23,47.43,351,740,0.328
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,1,98.01,0.98,0.89,1.73,47.43,351,740,0.9421
