id,entry_date,exit_date,entry_price,call_strike,put_strike,zone_width_pct,premium,exit_price,max_price,min_price,max_breach_pct,gross_pnl,net_pnl,pnl_rs,outcome,zone_held,signals,iv,atr,config
0,2023-05-25 00:00:00,2023-06-01 00:00:00,43681.4,44600,42800,4.12,193.22,43790.19921875,44498.6,43588.8,0.0,180.82,176.82,2492.3,max_profit,True,"BB_SQ,ATR_C,ADX_L",0.1627,447.65,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
1,2023-06-09 00:00:00,2023-06-16 00:00:00,43989.0,44700,43300,3.18,174.03,43938.1484375,44212.35,43397.5,0.0,162.57,158.57,2218.55,max_profit,True,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1328,367.94,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
2,2023-06-26 00:00:00,2023-07-04 00:00:00,43641.05,44400,42900,3.44,166.46,45301.44921875,45655.5,43693.15,2.88,-752.61,-756.61,-11509.15,loss,False,"BB_SQ,ATR_C",0.1373,377.59,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
3,2023-08-17 00:00:00,2023-08-24 00:00:00,43891.35,44800,42900,4.33,204.21,44496.19921875,44949.9,43672.45,0.34,114.12,110.12,1491.8,partial,False,"BB_SQ,ATR_C",0.1704,471.02,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
4,2023-09-01 00:00:00,2023-09-08 00:00:00,44436.1,45300,43600,3.83,200.84,45156.3984375,45383.35,44207.25,0.19,69.5,65.5,822.5,partial,False,"BB_SQ,ATR_C,RSI_M",0.1566,438.31,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
5,2023-10-06 00:00:00,2023-10-13 00:00:00,44360.6,45300,43400,4.28,189.03,44287.94921875,44710.55,43796.75,0.0,179.7,175.7,2475.5,max_profit,True,"BB_SQ,ATR_C",0.1642,458.74,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
6,2023-11-13 00:00:00,2023-11-21 00:00:00,43891.25,44800,43000,4.1,217.74,43689.1484375,44420.95,43450.05,0.0,198.86,194.86,2762.9,max_profit,True,"BB_SQ,ATR_C",0.1694,468.29,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
7,2024-01-12 00:00:00,2024-01-19 00:00:00,47709.8,48700,46700,4.19,225.16,45701.1484375,48305.4,45430.7,2.66,-762.84,-766.84,-11662.6,loss,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1683,505.82,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
8,2024-02-26 00:00:00,2024-03-04 00:00:00,46576.5,48000,45100,6.23,326.04,47456.1015625,47529.6,45661.75,0.0,204.94,200.94,2854.1,max_profit,True,"BB_SQ,ATR_C,ADX_L,RSI_M",0.25,733.58,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
9,2024-03-14 00:00:00,2024-03-21 00:00:00,46789.95,48100,45500,5.56,262.83,46684.8984375,46990.25,45828.8,0.0,249.12,245.12,3516.8,max_profit,True,"BB_SQ,ATR_C,ADX_L,RSI_M",0.2146,632.64,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
10,2024-04-15 00:00:00,2024-04-23 00:00:00,47773.25,48700,46800,3.98,211.1,47970.44921875,48302.7,46579.05,0.46,190.62,186.62,2639.3,partial,False,"BB_SQ,ATR_C",0.1587,477.47,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
11,2024-05-21 00:00:00,2024-05-28 00:00:00,48048.2,49200,46900,4.79,267.29,49142.1484375,49688.85,47435.25,1.02,32.53,28.53,267.95,partial,False,"BB_SQ,ATR_C,ADX_L",0.1947,589.29,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
12,2024-07-01 00:00:00,2024-07-08 00:00:00,52574.75,53900,51200,5.14,285.88,52425.80078125,53357.7,51996.65,0.0,270.23,266.23,3833.45,max_profit,True,"BB_SQ,ATR_C",0.2015,667.3,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
13,2024-07-16 00:00:00,2024-07-24 00:00:00,52396.8,53600,51200,4.58,266.15,51317.0,52782.75,50784.25,0.79,78.66,74.66,959.9,partial,False,"BB_SQ,ATR_C,CHOP,RSI_M",0.183,604.06,BANKNIFTY_short_strangle_weekly_BB+ATR_SD2.0
