label,n_stocks,rr,max_hold,direction,pos_size_pct,max_positions,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
CONC20_RR4_MH15_LS,20,4.0,15,LS,0.15,7,1805,1023,782,43.05,47.7,36.96,31044311.0,310.44,1.9178,17.98,8.37,0.2481,0.0573,2.147,5.77,-1.99,2.89,6.5,"{""fixed_sl"": 994, ""max_hold"": 259, ""fixed_tp"": 552}",222,45.95,2.0496,44.29,220,40.0,1.5226,22.61,239,51.88,2.9088,107.43,205,42.93,1.7612,31.44,255,45.1,2.015,45.91,233,44.21,1.7812,26.75,235,35.74,1.4907,20.48,196,37.24,1.3393,11.54
CONC20_RR3_MH5_LS,20,3.0,5,LS,0.15,7,2949,1700,1249,54.66,57.12,51.32,42689182.0,426.89,2.0829,17.98,8.82,0.2545,0.8261,2.0385,3.6,-1.77,2.04,3.4,"{""fixed_sl"": 1086, ""max_hold"": 1031, ""fixed_tp"": 832}",365,51.51,1.6838,38.17,362,51.38,1.8245,42.57,373,61.93,3.1002,127.39,363,53.99,2.1913,61.05,396,59.85,2.4738,69.5,390,60.26,2.2756,46.12,390,48.97,1.4598,23.38,310,47.74,1.4598,18.72
CONC30_RR3_MH10_LS,30,3.0,10,LS,0.12,8,2961,1699,1262,50.08,53.68,45.25,37744978.0,377.45,1.9708,15.98,7.57,0.244,0.0647,2.111,4.51,-1.99,2.26,4.7,"{""fixed_sl"": 1381, ""fixed_tp"": 1115, ""max_hold"": 465}",361,48.2,1.7105,37.74,367,46.87,1.7204,37.03,378,56.88,2.8424,113.21,359,52.92,2.1203,53.23,399,54.64,2.2669,60.16,393,52.42,2.0836,40.81,384,44.27,1.4648,22.85,320,43.12,1.3027,12.42
CONC30_RR3_MH10_LO,30,3.0,10,LO,0.12,8,2159,2159,0,53.77,53.77,0.0,38386668.0,383.87,2.469,13.3,3.25,0.2357,0.6562,4.0974,4.84,-1.99,2.44,4.7,"{""fixed_sl"": 938, ""fixed_tp"": 894, ""max_hold"": 327}",270,50.37,2.1072,41.27,248,47.18,1.9129,32.86,284,60.92,4.0077,107.97,264,59.85,3.1281,66.55,296,57.09,2.5574,50.44,313,61.02,3.1855,56.09,260,46.15,1.5675,18.57,224,43.3,1.3363,10.12
CONC30_RR2.5_MH7_LS,30,2.5,7,LS,0.12,8,3703,2125,1578,54.39,57.69,49.94,45378605.0,453.79,2.0327,15.49,7.71,0.2507,0.0954,2.0083,3.9,-1.97,1.98,3.6,"{""fixed_sl"": 1481, ""fixed_tp"": 1502, ""max_hold"": 720}",455,52.09,1.7491,46.06,462,50.65,1.7295,43.64,464,61.64,3.0819,133.3,443,55.53,2.1886,65.79,509,59.14,2.337,71.75,492,59.15,2.3857,56.46,480,47.92,1.3406,19.81,398,47.49,1.368,16.98
CONC30_RR3.5_MH10_LS,30,3.5,10,LS,0.12,8,2866,1638,1228,47.7,51.53,42.59,37866719.0,378.67,1.9729,15.53,7.78,0.2466,0.0674,1.9979,4.88,-1.97,2.49,5.1,"{""fixed_sl"": 1394, ""max_hold"": 585, ""fixed_tp"": 887}",349,44.99,1.6488,34.98,355,43.94,1.6895,35.46,366,54.64,2.9514,119.16,343,50.73,2.1415,53.71,391,51.92,2.1982,58.53,378,48.94,1.9589,36.94,375,42.4,1.4928,24.09,309,43.04,1.4002,15.81
CONC50_RR2_MH5_LS,50,2.0,5,LS,0.1,10,3983,2305,1678,59.43,62.13,55.72,33321977.0,333.22,2.0213,20.38,7.27,0.267,0.0,2.8044,2.99,-1.82,1.64,2.8,"{""fixed_tp"": 1844, ""fixed_sl"": 1333, ""max_hold"": 806}",488,55.94,1.6383,29.41,502,57.77,1.8946,37.7,507,65.68,2.9837,96.67,487,59.14,2.1071,45.46,526,64.07,2.2241,48.87,524,64.12,2.2114,36.27,514,53.7,1.5422,23.08,435,53.79,1.44,15.75
CONC50_RR3_MH10_LS,50,3.0,10,LS,0.1,10,3200,1840,1360,49.84,53.64,44.71,32425210.0,324.25,1.9389,20.06,6.74,0.2651,0.0,2.9774,4.4,-1.95,2.25,4.7,"{""fixed_sl"": 1490, ""fixed_tp"": 1193, ""max_hold"": 517}",391,48.59,1.7759,35.69,396,47.73,1.7115,31.35,417,56.12,2.8231,100.46,388,51.8,1.9192,39.22,430,52.79,2.0859,48.34,413,52.06,2.0532,34.9,415,44.58,1.492,21.33,350,44.0,1.3553,12.97
CONC50_RR3_MH10_LO,50,3.0,10,LO,0.1,10,3653,3653,0,52.37,52.37,0.0,51318055.0,513.18,2.3172,25.79,2.74,0.2963,0.0,9.4075,4.93,-2.04,2.41,4.7,"{""fixed_sl"": 1635, ""fixed_tp"": 1456, ""max_hold"": 562}",446,48.21,1.968,52.2,423,47.28,1.8098,43.66,483,59.83,3.9484,155.89,446,56.5,2.76,81.71,487,54.41,2.2452,61.66,537,58.29,2.5818,66.45,449,44.77,1.5297,26.72,382,46.6,1.6148,24.91
CONC50_RR3.5_MH15_LS,50,3.5,15,LS,0.1,10,2356,1361,995,45.67,50.04,39.7,26518981.0,265.19,1.9371,17.81,6.74,0.2502,0.0,2.6433,5.3,-2.01,2.63,6.0,"{""fixed_sl"": 1237, ""max_hold"": 266, ""fixed_tp"": 853}",293,48.12,2.0907,39.2,284,40.85,1.5423,20.06,311,53.05,2.7661,82.81,276,45.29,1.8267,28.95,320,48.12,2.0769,39.41,306,46.41,1.7701,22.34,310,41.61,1.6188,20.77,256,40.62,1.4017,11.65
