or_min,sl_pct,N,WR_pct,Tr_per_yr,Wins_per_yr,Losses_per_yr,Med_OR_width_pct,Med_min_to_SL,Avg_favorable_eod_pct,OppOR_brc_on_wins_pct
5,0.15,313,30.0,173.4,52.1,121.3,0.295,35.0,0.472,0.0
5,0.2,313,39.9,173.4,69.2,104.1,0.295,55.0,0.42,0.0
5,0.25,313,45.7,173.4,79.2,94.2,0.295,65.0,0.389,1.4
5,0.3,313,53.0,173.4,91.9,81.4,0.295,75.0,0.34,3.6
5,0.4,313,63.6,173.4,110.2,63.1,0.295,110.0,0.299,10.1
5,0.5,313,70.3,173.4,121.8,51.5,0.295,115.0,0.265,12.3
5,0.75,313,85.9,173.4,149.0,24.4,0.295,170.0,0.176,22.7
5,1.0,313,93.3,173.4,161.7,11.6,0.295,190.0,0.117,28.1
15,0.15,326,33.1,180.6,59.8,120.7,0.359,50.0,0.406,0.0
15,0.2,326,42.9,180.6,77.5,103.0,0.359,68.0,0.368,0.0
15,0.25,326,49.4,180.6,89.2,91.4,0.359,85.0,0.34,0.6
15,0.3,326,59.2,180.6,106.9,73.7,0.359,85.0,0.302,2.6
15,0.4,326,66.6,180.6,120.2,60.4,0.359,110.0,0.276,4.1
15,0.5,326,73.3,180.6,132.4,48.2,0.359,120.0,0.243,6.3
15,0.75,326,88.7,180.6,160.1,20.5,0.359,120.0,0.157,16.6
15,1.0,326,95.1,180.6,171.7,8.9,0.359,172.0,0.114,21.3
30,0.15,342,33.9,189.4,64.2,125.2,0.432,45.0,0.342,0.0
30,0.2,342,44.7,189.4,84.7,104.7,0.432,60.0,0.308,0.0
30,0.25,342,51.2,189.4,96.9,92.5,0.432,85.0,0.28,0.0
30,0.3,342,60.2,189.4,114.1,75.3,0.432,95.0,0.26,1.5
30,0.4,342,68.7,189.4,130.2,59.3,0.432,125.0,0.245,2.1
30,0.5,342,74.9,189.4,141.8,47.6,0.432,135.0,0.219,4.3
30,0.75,342,87.7,189.4,166.2,23.3,0.432,155.0,0.157,11.0
30,1.0,342,94.2,189.4,178.3,11.1,0.432,198.0,0.111,14.9
45,0.15,343,37.3,190.0,70.9,119.1,0.466,50.0,0.324,0.0
45,0.2,343,47.2,190.0,89.7,100.2,0.466,60.0,0.286,0.0
45,0.25,343,53.1,190.0,100.8,89.2,0.466,80.0,0.263,0.0
45,0.3,343,62.4,190.0,118.5,71.4,0.466,95.0,0.231,0.9
45,0.4,343,70.8,190.0,134.6,55.4,0.466,110.0,0.209,1.2
45,0.5,343,76.7,190.0,145.7,44.3,0.466,130.0,0.178,2.7
45,0.75,343,89.8,190.0,170.6,19.4,0.466,170.0,0.131,7.8
45,1.0,343,95.9,190.0,182.2,7.8,0.466,185.0,0.089,11.2
60,0.15,340,37.1,188.3,69.8,118.5,0.509,50.0,0.322,0.0
60,0.2,340,46.5,188.3,87.5,100.8,0.509,65.0,0.294,0.0
60,0.25,340,53.2,188.3,100.2,88.1,0.509,85.0,0.26,0.0
60,0.3,340,62.6,188.3,118.0,70.3,0.509,100.0,0.229,0.5
60,0.4,340,72.9,188.3,137.4,51.0,0.509,105.0,0.186,1.2
60,0.5,340,77.9,188.3,146.8,41.5,0.509,130.0,0.161,1.9
60,0.75,340,88.2,188.3,166.2,22.2,0.509,138.0,0.12,5.7
60,1.0,340,94.7,188.3,178.3,10.0,0.509,180.0,0.077,9.3
90,0.15,321,40.8,177.8,72.6,105.2,0.57,45.0,0.295,0.0
90,0.2,321,48.6,177.8,86.4,91.4,0.57,55.0,0.275,0.0
90,0.25,321,55.8,177.8,99.1,78.6,0.57,78.0,0.25,0.0
90,0.3,321,64.5,177.8,114.6,63.1,0.57,88.0,0.216,0.0
90,0.4,321,74.5,177.8,132.4,45.4,0.57,95.0,0.177,0.4
90,0.5,321,81.0,177.8,144.0,33.8,0.57,110.0,0.146,0.8
90,0.75,321,90.0,177.8,160.1,17.7,0.57,118.0,0.103,3.1
90,1.0,321,94.1,177.8,167.3,10.5,0.57,160.0,0.074,5.6
120,0.15,298,41.9,165.0,69.2,95.8,0.601,45.0,0.271,0.0
120,0.2,298,49.3,165.0,81.4,83.6,0.601,55.0,0.243,0.0
120,0.25,298,57.7,165.0,95.3,69.8,0.601,72.0,0.218,0.0
120,0.3,298,66.8,165.0,110.2,54.8,0.601,80.0,0.19,0.0
120,0.4,298,75.2,165.0,124.1,41.0,0.601,88.0,0.16,0.0
120,0.5,298,81.2,165.0,134.0,31.0,0.601,92.0,0.134,0.4
120,0.75,298,90.3,165.0,149.0,16.1,0.601,100.0,0.086,2.6
120,1.0,298,94.6,165.0,156.2,8.9,0.601,148.0,0.058,4.3
