label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
F01_VWAP,ADANIENT,404,48.76,1.26,1167.1,28.51,-21.49,358.6,1.33,84,121,199,40.11,55.51
F01_VWAP,TATASTEEL,385,50.91,1.38,84.66,1.57,-1.19,15.03,1.86,53,87,245,46.37,54.85
F01_VWAP,BEL,386,55.18,1.44,207.56,3.19,-2.73,39.15,2.03,57,74,255,58.02,53.12
F01_VWAP,VEDL,391,50.38,1.12,106.06,5.0,-4.53,67.97,0.66,50,98,243,52.94,48.04
F01_VWAP,BANKBARODA,399,43.61,0.86,-66.34,2.34,-2.1,97.88,-0.89,51,119,229,39.79,47.12
F01_VWAP,BPCL,384,49.48,1.02,8.58,2.95,-2.84,95.54,0.09,40,99,245,50.0,49.02
F01_VWAP,M&M,382,50.79,1.15,642.09,25.91,-23.32,511.9,0.83,52,69,261,51.78,49.73
F01_VWAP,BAJFINANCE,382,43.98,1.0,-3.0,7.44,-5.85,215.95,-0.01,56,102,224,45.45,42.56
F02_RSI60,ADANIENT,253,49.8,1.36,987.35,29.79,-21.78,234.2,1.32,59,67,127,39.13,58.7
F02_RSI60,TATASTEEL,239,52.3,1.55,74.4,1.67,-1.18,10.34,1.95,37,49,153,45.16,60.0
F02_RSI60,BEL,232,57.33,1.56,149.69,3.15,-2.72,23.95,2.06,40,39,153,55.04,60.19
F02_RSI60,VEDL,259,52.12,1.3,165.99,5.3,-4.43,68.53,1.21,38,56,165,50.97,53.85
F02_RSI60,BANKBARODA,253,49.01,0.96,-10.64,2.14,-2.14,29.42,-0.2,36,58,159,47.29,50.81
F02_RSI60,BPCL,253,52.17,0.95,-17.57,2.6,-2.98,77.69,-0.25,21,61,171,50.71,53.98
F02_RSI60,M&M,239,49.79,1.12,333.77,25.6,-22.6,579.15,0.56,28,44,167,54.03,45.22
F02_RSI60,BAJFINANCE,279,45.16,1.13,111.47,7.52,-5.46,105.66,0.64,42,61,176,45.99,44.37
F03_RSI55,ADANIENT,314,48.73,1.22,790.45,28.15,-21.84,355.95,1.0,67,92,155,39.44,56.4
F03_RSI55,TATASTEEL,293,49.83,1.38,65.65,1.62,-1.16,17.09,1.61,42,64,187,45.58,54.11
F03_RSI55,BEL,282,57.45,1.7,230.43,3.45,-2.74,22.8,2.45,53,52,177,56.52,58.33
F03_RSI55,VEDL,314,50.32,1.16,114.64,5.14,-4.48,62.13,0.78,42,73,199,50.86,49.64
F03_RSI55,BANKBARODA,315,46.35,0.88,-43.14,2.15,-2.11,63.41,-0.73,42,84,189,42.5,50.32
F03_RSI55,BPCL,306,50.65,0.98,-9.9,2.7,-2.83,113.92,-0.13,29,77,200,50.31,51.02
F03_RSI55,M&M,293,51.19,1.2,636.65,25.38,-22.17,337.15,0.97,36,52,205,53.02,49.31
F03_RSI55,BAJFINANCE,324,45.68,1.12,114.82,7.23,-5.43,123.16,0.63,50,74,200,46.41,45.03
F04_RSI50,ADANIENT,363,48.21,1.19,766.9,27.39,-21.42,467.95,0.93,77,103,183,37.89,56.44
F04_RSI50,TATASTEEL,333,50.45,1.33,64.97,1.55,-1.18,16.43,1.53,47,73,213,45.78,55.09
F04_RSI50,BEL,332,56.63,1.61,232.79,3.28,-2.67,32.65,2.39,53,59,220,57.05,56.25
F04_RSI50,VEDL,341,49.56,1.12,91.22,5.1,-4.48,74.47,0.6,43,82,216,50.28,48.77
F04_RSI50,BANKBARODA,347,44.38,0.82,-72.86,2.15,-2.1,87.93,-1.18,47,101,199,39.31,49.43
F04_RSI50,BPCL,336,50.3,0.99,-2.94,2.81,-2.86,89.7,-0.04,34,85,217,50.6,50.0
F04_RSI50,M&M,332,51.2,1.12,458.1,25.15,-23.56,468.35,0.64,42,63,227,53.18,49.06
F04_RSI50,BAJFINANCE,352,44.6,1.06,63.7,7.37,-5.6,146.68,0.33,54,89,209,46.2,43.09
F05_CPRdir,ADANIENT,267,56.55,1.49,1280.85,25.78,-22.52,235.05,1.75,58,74,135,44.44,56.98
F05_CPRdir,TATASTEEL,308,50.97,1.35,63.21,1.56,-1.2,13.08,1.54,43,70,195,46.34,56.25
F05_CPRdir,BEL,293,58.02,1.65,214.03,3.2,-2.68,30.9,2.36,49,59,185,59.21,56.74
F05_CPRdir,VEDL,323,49.85,1.14,98.55,4.98,-4.34,95.42,0.7,41,82,200,51.08,48.18
F05_CPRdir,BANKBARODA,320,41.25,0.72,-112.81,2.2,-2.15,128.07,-1.7,38,103,179,38.33,45.0
F05_CPRdir,BPCL,235,48.09,0.99,-1.87,2.83,-2.63,70.66,-0.03,24,57,154,42.86,48.25
F05_CPRdir,M&M,301,51.5,1.19,647.08,25.83,-22.99,398.7,0.94,39,54,208,52.5,50.35
F05_CPRdir,BAJFINANCE,326,42.94,0.99,-10.53,7.27,-5.53,158.43,-0.06,49,83,194,43.33,42.61
F06_CPRw03,ADANIENT,133,51.88,1.45,601.5,28.3,-21.11,178.25,1.41,35,44,54,43.86,57.89
F06_CPRw03,TATASTEEL,135,54.81,1.61,45.39,1.62,-1.22,11.72,1.66,28,32,75,45.31,63.38
F06_CPRw03,BEL,178,52.81,1.36,79.81,3.21,-2.64,22.81,1.3,28,38,112,53.62,52.29
F06_CPRw03,VEDL,177,57.06,1.36,133.16,4.97,-4.85,45.65,1.2,29,39,109,58.75,55.67
F06_CPRw03,BANKBARODA,200,47.5,1.02,4.19,2.29,-2.03,28.74,0.09,32,53,115,43.43,51.49
F06_CPRw03,BPCL,171,51.46,1.01,2.26,2.76,-2.9,43.53,0.04,17,51,103,42.67,58.33
F06_CPRw03,M&M,124,50.81,0.97,-44.75,22.09,-23.55,388.88,-0.11,14,24,86,51.56,50.0
F06_CPRw03,BAJFINANCE,149,40.27,0.83,-82.9,6.61,-5.39,108.5,-0.74,20,44,85,41.79,39.02
F07_CPRw05,ADANIENT,213,49.3,1.36,785.2,28.46,-20.4,291.5,1.16,47,69,97,39.33,56.45
F07_CPRw05,TATASTEEL,210,51.9,1.43,51.13,1.57,-1.19,13.18,1.56,35,50,125,49.49,54.05
F07_CPRw05,BEL,240,53.33,1.46,126.3,3.14,-2.46,22.86,1.83,38,45,157,50.0,55.48
F07_CPRw05,VEDL,255,50.59,1.12,66.96,4.78,-4.37,74.0,0.55,36,63,156,52.1,49.26
F07_CPRw05,BANKBARODA,280,45.36,0.93,-23.27,2.26,-2.03,50.66,-0.42,43,80,157,41.91,48.61
F07_CPRw05,BPCL,238,52.1,1.16,50.83,3.0,-2.82,56.95,0.68,27,65,146,45.19,57.46
F07_CPRw05,M&M,192,51.56,1.11,226.54,23.28,-22.34,317.75,0.44,27,33,132,51.58,51.55
F07_CPRw05,BAJFINANCE,221,45.25,1.11,73.35,7.4,-5.51,132.97,0.49,38,62,121,47.06,43.7
F08_CPRw08,ADANIENT,352,49.15,1.25,921.55,26.96,-20.91,353.3,1.15,74,109,169,39.04,56.31
F08_CPRw08,TATASTEEL,280,51.43,1.33,52.12,1.46,-1.16,12.46,1.44,39,65,176,45.38,56.67
F08_CPRw08,BEL,316,55.38,1.48,175.5,3.08,-2.58,26.2,1.94,48,60,208,56.25,54.79
F08_CPRw08,VEDL,327,51.68,1.22,155.71,5.05,-4.42,51.58,1.06,46,80,201,53.21,50.29
F08_CPRw08,BANKBARODA,357,43.98,0.84,-64.6,2.2,-2.05,84.42,-1.03,47,108,202,39.77,48.07
F08_CPRw08,BPCL,316,51.58,1.13,55.08,2.9,-2.73,53.37,0.67,33,83,200,49.66,53.22
F08_CPRw08,M&M,254,53.15,1.33,863.73,25.91,-22.13,370.05,1.38,36,45,173,56.06,50.0
F08_CPRw08,BAJFINANCE,347,44.38,1.0,4.5,7.36,-5.85,176.35,0.02,51,94,202,46.43,42.46
F09_VWAP_RSI60,ADANIENT,253,49.8,1.36,987.35,29.79,-21.78,234.2,1.32,59,67,127,39.13,58.7
F09_VWAP_RSI60,TATASTEEL,239,52.3,1.55,74.4,1.67,-1.18,10.34,1.95,37,49,153,45.16,60.0
F09_VWAP_RSI60,BEL,232,57.33,1.56,149.69,3.15,-2.72,23.95,2.06,40,39,153,55.04,60.19
F09_VWAP_RSI60,VEDL,259,52.12,1.3,165.99,5.3,-4.43,68.53,1.21,38,56,165,50.97,53.85
F09_VWAP_RSI60,BANKBARODA,253,49.01,0.96,-10.64,2.14,-2.14,29.42,-0.2,36,58,159,47.29,50.81
F09_VWAP_RSI60,BPCL,253,52.17,0.95,-17.57,2.6,-2.98,77.69,-0.25,21,61,171,50.71,53.98
F09_VWAP_RSI60,M&M,239,49.79,1.12,333.77,25.6,-22.6,579.15,0.56,28,44,167,54.03,45.22
F09_VWAP_RSI60,BAJFINANCE,279,45.16,1.13,111.47,7.52,-5.46,105.66,0.64,42,61,176,45.99,44.37
F10_VWAP_CPRdir,ADANIENT,267,56.55,1.49,1280.85,25.78,-22.52,235.05,1.75,58,74,135,44.44,56.98
F10_VWAP_CPRdir,TATASTEEL,308,50.97,1.35,63.21,1.56,-1.2,13.08,1.54,43,70,195,46.34,56.25
