label,symbol,strategy,strike_dist,hold_period,signal,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss
BANKNIFTY_short_strangle_weekly_BB_only_SD2.5,BANKNIFTY,short_strangle,2.5,weekly,BB_only,52,76.92,5934.8,0.59,0.2,1.09,2.58,167.5,5.87,67.31,3,114.13,1892.22,-5812.82,3523.7,-25926.7
BANKNIFTY_short_strangle_weekly_BB_only_SD3.0,BANKNIFTY,short_strangle,3.0,weekly,BB_only,52,78.85,-5339.95,-0.53,-0.18,0.9,2.32,104.02,7.06,78.85,3,-102.69,1191.23,-4925.49,2336.15,-22407.85
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.0,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,26,69.23,33843.8,3.38,1.13,1.52,2.82,570.24,4.55,34.62,2,1301.68,5521.95,-8193.91,9330.35,-30000.0
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,26,69.23,27059.3,2.71,0.9,1.48,2.84,431.12,5.72,46.15,2,1040.74,4609.12,-6988.1,7337.15,-30000.0
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD3.0,BANKNIFTY,short_strangle,3.0,biweekly,BB+ATR,26,73.08,18993.2,1.9,0.63,1.39,2.86,323.21,6.85,61.54,2,730.51,3559.56,-6948.34,5721.35,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.0,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,30,73.33,19365.55,1.94,0.65,1.18,4.43,589.67,4.67,33.33,3,645.52,5646.54,-13107.29,10242.95,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus3_SD2.5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,30,73.33,11091.7,1.11,0.37,1.12,4.11,446.34,5.86,56.67,3,369.72,4726.16,-11610.48,8829.8,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus3_SD3.0,BANKNIFTY,short_strangle,3.0,biweekly,Consensus3,30,73.33,3336.1,0.33,0.11,1.04,3.9,334.24,7.03,66.67,3,111.2,3877.41,-10245.86,7307.0,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus4_SD2.0,BANKNIFTY,short_strangle,2.0,biweekly,Consensus4,19,63.16,-3764.9,-0.38,-0.13,0.96,4.28,574.58,4.54,36.84,3,-198.15,6802.02,-12198.46,9330.35,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus4_SD2.5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus4,19,63.16,-12242.0,-1.22,-0.41,0.85,4.01,435.08,5.71,42.11,3,-644.32,5589.22,-11330.39,7337.15,-30000.0
BANKNIFTY_short_strangle_biweekly_Consensus4_SD3.0,BANKNIFTY,short_strangle,3.0,biweekly,Consensus4,19,63.16,-21827.6,-2.18,-0.74,0.71,3.85,324.84,6.85,57.89,3,-1148.82,4379.71,-10626.31,5721.35,-30000.0
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.0,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,40,72.5,68370.0,6.84,2.27,1.73,5.41,597.82,4.77,30.0,2,1709.25,5603.44,-8557.25,11517.8,-30000.0
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,40,75.0,56400.8,5.64,1.88,1.7,5.15,452.31,5.99,52.5,2,1410.02,4577.53,-8092.51,9365.0,-28249.15
BANKNIFTY_short_strangle_biweekly_BB_only_SD3.0,BANKNIFTY,short_strangle,3.0,biweekly,BB_only,40,80.0,47644.55,4.76,1.59,1.71,4.57,338.77,7.19,67.5,2,1191.11,3572.89,-8335.99,7307.0,-24640.75
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.0,BANKNIFTY,iron_condor,2.0,weekly,BB+ATR,33,72.73,5846.1,0.58,0.2,1.19,1.08,187.5,4.41,51.52,1,177.15,1503.22,-3359.03,2937.85,-8006.75
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.5,BANKNIFTY,iron_condor,2.5,weekly,BB+ATR,33,75.76,183.75,0.02,0.01,1.01,1.05,124.84,5.54,66.67,1,5.57,1043.31,-3237.37,1875.85,-8844.5
BANKNIFTY_iron_condor_weekly_BB+ATR_SD3.0,BANKNIFTY,iron_condor,3.0,weekly,BB+ATR,33,78.79,-4108.35,-0.41,-0.14,0.79,0.95,79.07,6.66,81.82,1,-124.5,586.85,-2766.63,1057.9,-6793.55
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.0,BANKNIFTY,iron_condor,2.0,weekly,Consensus3,37,67.57,2142.4,0.21,0.07,1.06,1.37,193.96,4.59,54.05,4,57.9,1606.04,-3167.38,3201.25,-7811.45
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.5,BANKNIFTY,iron_condor,2.5,weekly,Consensus3,37,70.27,1243.45,0.12,0.04,1.04,0.97,130.34,5.74,70.27,4,33.61,1144.42,-2591.95,2244.25,-8844.5
BANKNIFTY_iron_condor_weekly_Consensus3_SD3.0,BANKNIFTY,iron_condor,3.0,weekly,Consensus3,37,70.27,-1625.45,-0.16,-0.06,0.92,0.71,83.2,6.91,83.78,4,-43.93,684.0,-1764.5,1412.5,-6793.55
BANKNIFTY_iron_condor_weekly_Consensus4_SD2.0,BANKNIFTY,iron_condor,2.0,weekly,Consensus4,22,72.73,-7323.65,-0.73,-0.25,0.79,1.59,189.86,4.44,68.18,2,-332.89,1765.48,-5928.55,2564.05,-8348.75
BANKNIFTY_iron_condor_weekly_Consensus4_SD2.5,BANKNIFTY,iron_condor,2.5,weekly,Consensus4,22,72.73,-13416.35,-1.34,-0.46,0.59,1.57,125.2,5.59,68.18,2,-609.83,1231.46,-5519.95,1766.35,-8844.5
BANKNIFTY_iron_condor_weekly_Consensus4_SD3.0,BANKNIFTY,iron_condor,3.0,weekly,Consensus4,22,72.73,-17981.6,-1.8,-0.61,0.39,1.84,79.84,6.72,81.82,2,-817.35,721.79,-4921.7,1181.65,-8585.9
