label,strategy,variant,mode,direction_filter,total_trades,win_rate,profit_factor,cagr,sharpe,sortino,calmar,max_drawdown,total_pnl_pct,avg_win,avg_loss,avg_rr,avg_bars_held,long_trades,short_trades,long_wr,short_wr,exit_reasons,y2018_trades,y2018_wr,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pnl_pct
EMA_Pullback_Cash_LO,EMA_Pullback,Cash_LO,cash,longs_only,1475,44.47,1.06,2.53,0.26,0.33,0.09,27.13,21.82,6.03,-4.2,1.43,10.9,1475,0,44.47,0.0,"{'fixed_sl': 623, 'fixed_tp': 74, 'max_hold': 778}",177,37.3,-12.7,194,45.9,7.92,174,51.1,22.28,201,49.3,17.36,182,36.8,-13.68,186,47.3,1.18,202,45.0,4.75,159,42.1,-5.29
EMA_Pullback_Cash_LS,EMA_Pullback,Cash_LS,cash,longs_only,1475,44.47,1.06,2.53,0.26,0.33,0.09,27.13,21.82,6.03,-4.2,1.43,10.9,1475,0,44.47,0.0,"{'fixed_sl': 623, 'fixed_tp': 74, 'max_hold': 778}",177,37.3,-12.7,194,45.9,7.92,174,51.1,22.28,201,49.3,17.36,182,36.8,-13.68,186,47.3,1.18,202,45.0,4.75,159,42.1,-5.29
EMA_Pullback_Fut_LO,EMA_Pullback,Fut_LO,futures,longs_only,1475,45.83,1.19,6.39,0.6,0.77,0.32,20.16,63.18,5.96,-4.21,1.41,10.9,1475,0,45.83,0.0,"{'fixed_sl': 623, 'fixed_tp': 74, 'max_hold': 778}",177,39.5,-7.77,194,46.9,13.38,174,52.3,27.19,201,50.2,23.03,182,37.9,-8.61,186,50.0,6.39,202,45.5,10.42,159,43.4,-0.85
EMA_Pullback_Fut_LS,EMA_Pullback,Fut_LS,futures,longs_only,1475,45.83,1.19,6.39,0.6,0.77,0.32,20.16,63.18,5.96,-4.21,1.41,10.9,1475,0,45.83,0.0,"{'fixed_sl': 623, 'fixed_tp': 74, 'max_hold': 778}",177,39.5,-7.77,194,46.9,13.38,174,52.3,27.19,201,50.2,23.03,182,37.9,-8.61,186,50.0,6.39,202,45.5,10.42,159,43.4,-0.85
KC_MeanRevert_Cash_LO,KC_MeanRevert,Cash_LO,cash,longs_only,263,51.71,1.13,0.91,0.21,0.18,0.07,12.25,7.45,5.02,-4.37,1.15,8.3,263,0,51.71,0.0,"{'fixed_tp': 101, 'max_hold': 64, 'fixed_sl': 98}",3,100.0,1.72,26,30.8,-4.28,26,38.5,-3.98,55,69.1,16.21,43,51.2,-0.39,33,42.4,-2.02,53,47.2,-2.05,24,66.7,2.23
KC_MeanRevert_Cash_LS,KC_MeanRevert,Cash_LS,cash,longs_only,263,51.71,1.13,0.91,0.21,0.18,0.07,12.25,7.45,5.02,-4.37,1.15,8.3,263,0,51.71,0.0,"{'fixed_tp': 101, 'max_hold': 64, 'fixed_sl': 98}",3,100.0,1.72,26,30.8,-4.28,26,38.5,-3.98,55,69.1,16.21,43,51.2,-0.39,33,42.4,-2.02,53,47.2,-2.05,24,66.7,2.23
KC_MeanRevert_Fut_LO,KC_MeanRevert,Fut_LO,futures,longs_only,263,52.85,1.27,1.77,0.4,0.35,0.16,11.14,14.84,5.02,-4.38,1.14,8.3,263,0,52.85,0.0,"{'fixed_tp': 101, 'max_hold': 64, 'fixed_sl': 98}",3,100.0,1.8,26,30.8,-3.56,26,38.5,-3.26,55,69.1,17.78,43,53.5,0.82,33,42.4,-1.09,53,50.9,-0.57,24,66.7,2.91
KC_MeanRevert_Fut_LS,KC_MeanRevert,Fut_LS,futures,longs_only,263,52.85,1.27,1.77,0.4,0.35,0.16,11.14,14.84,5.02,-4.38,1.14,8.3,263,0,52.85,0.0,"{'fixed_tp': 101, 'max_hold': 64, 'fixed_sl': 98}",3,100.0,1.8,26,30.8,-3.56,26,38.5,-3.26,55,69.1,17.78,43,53.5,0.82,33,42.4,-1.09,53,50.9,-0.57,24,66.7,2.91
InsideDay_Breakout_Cash_LO,InsideDay_Breakout,Cash_LO,cash,longs_only,5276,39.1,0.88,-19.01,-0.75,-1.06,-0.23,81.29,-81.14,3.04,-1.87,1.62,2.5,5276,0,39.1,0.0,"{'fixed_tp': 1823, 'fixed_sl': 3075, 'max_hold': 378}",655,37.6,-21.78,687,36.7,-17.45,670,42.5,15.42,671,39.5,-6.34,617,40.5,-9.09,709,41.9,-8.67,664,36.9,-16.8,603,37.0,-16.42
InsideDay_Breakout_Cash_LS,InsideDay_Breakout,Cash_LS,cash,long_short,6369,41.37,0.97,-3.01,-0.19,-0.32,-0.09,35.15,-21.52,3.18,-1.96,1.62,2.7,3848,2521,40.46,42.76,"{'fixed_tp': 2289, 'fixed_sl': 3537, 'max_hold': 543}",795,38.2,-17.34,817,40.3,-9.46,823,43.3,25.89,785,44.6,10.69,782,43.2,3.25,833,40.6,-13.34,784,41.2,-4.7,750,39.6,-16.5
InsideDay_Breakout_Fut_LO,InsideDay_Breakout,Fut_LO,futures,longs_only,5276,39.61,1.12,6.67,0.65,0.94,0.32,20.55,66.53,3.1,-1.79,1.73,2.5,5276,0,39.61,0.0,"{'fixed_tp': 1823, 'fixed_sl': 3075, 'max_hold': 378}",655,37.9,-3.45,687,37.3,1.76,670,42.8,34.21,671,39.8,12.45,617,41.2,8.18,709,42.7,11.17,664,37.2,1.77,603,37.8,0.45
InsideDay_Breakout_Fut_LS,InsideDay_Breakout,Fut_LS,futures,long_short,6369,41.92,1.22,12.67,1.63,2.66,1.35,9.36,156.67,3.24,-1.88,1.72,2.7,3848,2521,40.98,43.36,"{'fixed_tp': 2289, 'fixed_sl': 3537, 'max_hold': 543}",795,39.1,4.9,817,40.9,13.41,823,43.4,48.94,785,44.8,32.66,782,43.9,25.12,833,41.4,9.97,784,41.6,17.21,750,40.3,4.47
