label,symbol,sl_pct,max_reentries,min_squeeze_bars,entry_start,squeeze_occurrence,iv,total_pnl,avg_daily_pnl,win_rate,profit_factor,sharpe,sortino,max_drawdown,best_day,worst_day,entry_days,squeeze_days,total_strangles,total_sl_hits,total_reentries,avg_reentries_per_day,avg_premium
NIFTY50_SL15_RE0_E1000_OCC1_IV20,NIFTY50,0.15,0,1,10:00,1,0.2,-77668.0,-179.0,39.6,0.96,-0.26,-0.75,319251.0,38878.0,-18130.0,434,436,434,558,0,0.0,176.8
NIFTY50_SL15_RE0_E1000_OCC2_IV20,NIFTY50,0.15,0,1,10:00,2,0.2,-113121.0,-686.0,38.2,0.83,-1.08,-2.78,185787.0,33457.0,-18710.0,165,436,165,202,0,0.0,174.3
NIFTY50_SL15_RE0_E1100_OCC1_IV20,NIFTY50,0.15,0,1,11:00,1,0.2,-215060.0,-496.0,36.9,0.88,-0.76,-2.05,437711.0,38878.0,-15620.0,434,436,434,552,0,0.0,176.8
NIFTY50_SL15_RE0_E1100_OCC2_IV20,NIFTY50,0.15,0,1,11:00,2,0.2,-104679.0,-634.0,37.6,0.84,-1.01,-2.51,213078.0,33457.0,-18710.0,165,436,165,201,0,0.0,174.3
NIFTY50_SL15_RE0_E1200_OCC1_IV20,NIFTY50,0.15,0,1,12:00,1,0.2,-305803.0,-708.0,38.7,0.82,-1.16,-2.85,448853.0,38878.0,-15620.0,432,436,432,521,0,0.0,176.8
NIFTY50_SL15_RE0_E1200_OCC2_IV20,NIFTY50,0.15,0,1,12:00,2,0.2,-38948.0,-236.0,44.2,0.93,-0.38,-0.94,163560.0,33457.0,-18710.0,165,436,165,191,0,0.0,174.3
NIFTY50_SL15_RE1_E1000_OCC1_IV20,NIFTY50,0.15,1,1,10:00,1,0.2,-61100.0,-141.0,39.4,0.97,-0.15,-0.33,327619.0,61898.0,-29241.0,434,436,434,945,314,0.7,296.0
NIFTY50_SL15_RE1_E1000_OCC2_IV20,NIFTY50,0.15,1,1,10:00,2,0.2,-128655.0,-780.0,41.2,0.85,-0.91,-1.8,277438.0,60887.0,-28615.0,165,436,165,310,91,0.6,262.2
NIFTY50_SL15_RE1_E1100_OCC1_IV20,NIFTY50,0.15,1,1,11:00,1,0.2,-136907.0,-315.0,37.8,0.94,-0.35,-0.74,377125.0,61898.0,-29241.0,434,436,434,934,314,0.7,295.4
NIFTY50_SL15_RE1_E1100_OCC2_IV20,NIFTY50,0.15,1,1,11:00,2,0.2,-67576.0,-410.0,40.6,0.92,-0.47,-0.97,249682.0,60887.0,-28615.0,165,436,165,309,94,0.6,265.3
NIFTY50_SL15_RE1_E1200_OCC1_IV20,NIFTY50,0.15,1,1,12:00,1,0.2,-441747.0,-1023.0,38.2,0.8,-1.24,-2.35,598136.0,61898.0,-29868.0,432,436,432,878,303,0.7,290.6
NIFTY50_SL15_RE1_E1200_OCC2_IV20,NIFTY50,0.15,1,1,12:00,2,0.2,-27947.0,-169.0,44.2,0.96,-0.2,-0.4,259143.0,60887.0,-28615.0,165,436,165,293,87,0.5,256.4
NIFTY50_SL20_RE0_E1000_OCC1_IV20,NIFTY50,0.2,0,1,10:00,1,0.2,-178881.0,-412.0,43.5,0.9,-0.62,-1.22,290646.0,35686.0,-24174.0,434,436,434,446,0,0.0,176.8
NIFTY50_SL20_RE0_E1000_OCC2_IV20,NIFTY50,0.2,0,1,10:00,2,0.2,-105139.0,-637.0,42.4,0.82,-1.06,-1.84,175135.0,30274.0,-20016.0,165,436,165,151,0,0.0,174.3
