symbol,total_trades,wins,losses,win_rate,profit_factor,total_pnl,avg_win_pct,avg_loss_pct,avg_rr,long_trades,long_wr,short_trades,short_wr,tp_hits,sl_hits,max_hold_exits
ONGC,13,9,4,69.2,4.47,186964.0,2.7,-1.33,2.03,6,66.7,7,71.4,1,0,12
ADANIENT,180,97,83,53.9,1.85,2283930.0,5.15,-3.22,1.6,100,54.0,80,53.8,12,14,154
AXISBANK,150,87,63,58.0,1.62,912073.0,2.77,-2.33,1.19,85,61.2,65,53.8,3,13,134
TATASTEEL,146,84,62,57.5,1.62,1203858.0,3.75,-3.09,1.21,78,61.5,68,52.9,5,14,127
TATAMOTORS,151,86,65,57.0,1.4,944818.0,3.86,-3.61,1.07,95,54.7,56,60.7,5,13,133
TCS,153,83,70,54.2,1.38,524085.0,2.31,-1.95,1.19,82,62.2,71,45.1,4,14,134
ULTRACEMCO,168,86,82,51.2,1.36,665941.0,2.95,-2.24,1.32,92,52.2,76,50.0,3,14,151
MARUTI,163,82,81,50.3,1.31,592081.0,3.08,-2.35,1.31,92,54.3,71,45.1,8,18,137
ASIANPAINT,158,84,74,53.2,1.28,399323.0,2.2,-1.91,1.15,85,51.8,73,54.8,3,12,143
APOLLOHOSP,154,82,72,53.2,1.27,560547.0,3.24,-2.87,1.13,91,57.1,63,47.6,7,18,129
RELIANCE,143,73,70,51.0,1.27,397799.0,2.62,-2.12,1.23,80,52.5,63,49.2,2,12,129
WIPRO,171,102,69,59.6,1.26,449205.0,2.15,-2.48,0.87,103,58.3,68,61.8,3,18,149
ICICIBANK,172,80,92,46.5,1.23,428713.0,2.87,-1.99,1.44,100,49.0,72,43.1,2,19,151
ITC,160,85,75,53.1,1.21,317302.0,2.2,-2.03,1.08,89,51.7,71,54.9,3,17,140
BAJFINANCE,130,60,70,46.2,1.19,325424.0,3.41,-2.42,1.41,65,50.8,65,41.5,4,14,112
ADANIPORTS,177,91,86,51.4,1.17,432654.0,3.28,-2.93,1.12,94,46.8,83,56.6,2,17,158
HCLTECH,162,78,84,48.1,1.15,270251.0,2.66,-2.11,1.26,95,49.5,67,46.3,2,14,146
GRASIM,157,80,77,51.0,1.14,272361.0,2.87,-2.59,1.11,90,52.2,67,49.3,1,13,143
HINDALCO,171,89,82,52.0,1.14,350653.0,3.2,-3.01,1.07,85,56.5,86,47.7,2,14,155
INFY,160,83,77,51.9,1.13,210923.0,2.29,-2.15,1.06,89,52.8,71,50.7,4,14,142
SBIN,151,72,79,47.7,1.12,217723.0,2.94,-2.37,1.24,88,50.0,63,44.4,1,14,136
TITAN,159,80,79,50.3,1.1,209634.0,2.87,-2.61,1.1,90,55.6,69,43.5,6,18,135
SBILIFE,189,94,95,49.7,1.09,175162.0,2.33,-2.08,1.12,99,50.5,90,48.9,2,20,167
DRREDDY,169,82,87,48.5,1.06,94528.0,2.16,-1.89,1.14,111,53.2,58,39.7,3,13,153
NTPC,169,85,84,50.3,1.05,92683.0,2.41,-2.29,1.05,92,48.9,77,51.9,1,17,151
NESTLEIND,176,96,80,54.5,1.04,58218.0,1.7,-1.92,0.88,94,55.3,82,53.7,2,16,158
LT,165,78,87,47.3,1.03,55777.0,2.58,-2.21,1.17,90,44.4,75,50.7,5,14,146
TECHM,149,71,78,47.7,1.01,18367.0,2.77,-2.46,1.13,83,43.4,66,53.0,1,15,132
POWERGRID,163,75,88,46.0,0.99,-9810.0,2.16,-1.82,1.19,89,44.9,74,47.3,3,13,147
SUNPHARMA,183,93,90,50.8,0.99,-29889.0,2.24,-2.31,0.97,111,50.5,72,51.4,3,19,160
TATACONSUM,175,82,93,46.9,0.99,-17459.0,2.81,-2.46,1.14,101,50.5,74,41.9,6,17,152
BAJAJFINSV,160,73,87,45.6,0.96,-92474.0,3.17,-2.73,1.16,99,46.5,61,44.3,4,17,139
