config,mode,kc_mult,trades,win_rate_pct,net_pct,pf
EOD_mult1.6,EOD,1.6,972,46.6,-8.0,0.98
OVERNIGHT_mult1.3,OVERNIGHT,1.3,5729,61.1,-347.0,0.91
OVERNIGHT_mult1.0,OVERNIGHT,1.0,20227,63.8,-1351.1,0.89
OVERNIGHT_mult1.6,OVERNIGHT,1.6,997,56.3,-110.0,0.87
EOD_mult1.3,EOD,1.3,5533,47.4,-601.9,0.8
EOD_mult1.0,EOD,1.0,19617,50.1,-2216.3,0.76
