date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2024-08-21,NIFTY50,12:50:00,13:00:00,time,24721.2,24700,24700,187.57,185.11,184.78,1,1,NIFTY50_BB_Only
2024-08-26,NIFTY50,11:10:00,13:00:00,time,24982.35,25000,25000,326.22,312.6,1021.56,1,3,NIFTY50_BB_Only
2024-08-27,NIFTY50,12:30:00,13:00:00,time,25046.0,25050,25050,267.09,261.79,397.57,1,2,NIFTY50_BB_Only
2024-08-28,NIFTY50,12:45:00,13:00:00,time,25094.85,25100,25100,189.19,185.5,277.33,1,1,NIFTY50_BB_Only
2024-09-05,NIFTY50,11:50:00,13:00:00,time,25178.8,25200,25200,190.25,171.5,1406.34,1,1,NIFTY50_BB_Only
2024-09-06,NIFTY50,11:20:00,13:00:00,time,24894.45,24900,24900,375.56,362.48,980.91,1,4,NIFTY50_BB_Only
2024-09-09,NIFTY50,12:10:00,13:00:00,time,24851.95,24850,24850,324.83,319.25,418.44,1,3,NIFTY50_BB_Only
2024-09-13,NIFTY50,12:00:00,13:00:00,time,25372.65,25350,25350,332.76,325.04,579.06,1,3,NIFTY50_BB_Only
2024-09-17,NIFTY50,12:10:00,13:00:00,time,25412.55,25400,25400,271.59,263.9,576.77,1,2,NIFTY50_BB_Only
2024-09-19,NIFTY50,12:50:00,13:00:00,time,25435.7,25450,25450,191.9,190.19,127.58,1,1,NIFTY50_BB_Only
2024-09-30,NIFTY50,12:25:00,13:00:00,time,25900.8,25900,25900,276.31,269.5,511.04,1,2,NIFTY50_BB_Only
2024-10-01,NIFTY50,11:50:00,13:00:00,time,25795.75,25800,25800,194.48,176.77,1328.38,1,1,NIFTY50_BB_Only
2024-10-07,NIFTY50,12:10:00,13:00:00,time,24925.45,24950,24950,497.24,499.03,-134.11,1,7,NIFTY50_BB_Only
2024-10-08,NIFTY50,12:25:00,13:00:00,time,24930.75,24950,24950,460.48,457.41,229.7,1,6,NIFTY50_BB_Only
2024-10-11,NIFTY50,12:20:00,13:00:00,time,24938.85,24950,24950,376.11,371.54,342.9,1,4,NIFTY50_BB_Only
2024-10-14,NIFTY50,11:15:00,13:00:00,time,25112.0,25100,25100,328.67,312.59,1206.47,1,3,NIFTY50_BB_Only
2024-10-15,NIFTY50,11:15:00,13:00:00,time,25067.2,25050,25050,268.19,247.59,1544.95,1,2,NIFTY50_BB_Only
2024-10-16,NIFTY50,12:45:00,13:00:00,time,24942.5,24950,24950,188.05,184.89,237.1,1,1,NIFTY50_BB_Only
2024-10-17,NIFTY50,11:05:00,13:00:00,time,24806.45,24800,24800,187.26,155.66,2369.47,1,1,NIFTY50_BB_Only
2024-10-21,NIFTY50,11:25:00,13:00:00,time,24798.05,24800,24800,324.0,312.05,895.96,1,3,NIFTY50_BB_Only
2024-10-22,NIFTY50,11:45:00,13:00:00,time,24639.85,24650,24650,262.71,250.29,931.61,1,2,NIFTY50_BB_Only
2024-10-24,NIFTY50,11:45:00,13:00:00,time,24413.85,24400,24400,184.69,164.59,1507.54,1,1,NIFTY50_BB_Only
2024-10-25,NIFTY50,11:35:00,13:00:00,time,24155.6,24150,24150,364.81,353.32,861.99,1,4,NIFTY50_BB_Only
2024-10-28,NIFTY50,11:40:00,13:00:00,time,24427.85,24450,24450,319.02,307.84,838.36,1,3,NIFTY50_BB_Only
2024-10-31,NIFTY50,11:50:00,13:00:00,time,24238.5,24250,24250,182.81,167.6,1140.84,1,1,NIFTY50_BB_Only
2024-11-04,NIFTY50,12:00:00,13:00:00,time,23946.45,23950,23950,312.83,305.19,572.67,1,3,NIFTY50_BB_Only
2024-11-07,NIFTY50,11:25:00,13:00:00,time,24215.8,24200,24200,183.33,158.42,1868.8,1,1,NIFTY50_BB_Only
2024-11-08,NIFTY50,12:35:00,13:00:00,time,24141.95,24150,24150,315.3,311.87,257.4,1,3,NIFTY50_BB_Only
2024-11-14,NIFTY50,12:20:00,13:00:00,time,23534.75,23550,23550,177.62,167.81,735.74,1,1,NIFTY50_BB_Only
2024-11-21,NIFTY50,11:15:00,13:00:00,time,23337.75,23350,23350,176.04,149.63,1980.79,1,1,NIFTY50_BB_Only
2024-11-26,NIFTY50,11:25:00,13:00:00,time,24207.45,24200,24200,182.78,158.86,1793.93,1,1,NIFTY50_BB_Only
2024-11-28,NIFTY50,12:05:00,13:00:00,time,24083.45,24100,24100,314.48,315.53,-78.84,1,3,NIFTY50_BB_Only
2024-11-29,NIFTY50,12:00:00,13:00:00,time,24094.55,24100,24100,256.92,246.92,750.07,1,2,NIFTY50_BB_Only
2024-12-03,NIFTY50,11:50:00,13:00:00,time,24403.35,24400,24400,184.11,167.01,1282.52,1,1,NIFTY50_BB_Only
2024-12-06,NIFTY50,12:45:00,13:00:00,time,24715.95,24700,24700,264.37,260.95,256.31,1,2,NIFTY50_BB_Only
2024-12-11,NIFTY50,12:00:00,13:00:00,time,24672.6,24650,24650,323.63,313.36,769.86,1,3,NIFTY50_BB_Only
2024-12-12,NIFTY50,11:40:00,13:00:00,time,24600.1,24600,24600,262.42,248.0,1081.33,1,2,NIFTY50_BB_Only
2024-12-16,NIFTY50,12:25:00,13:00:00,time,24612.65,24600,24600,186.11,183.75,177.1,1,1,NIFTY50_BB_Only
2024-12-17,NIFTY50,11:55:00,13:00:00,time,24383.8,24400,24400,184.04,167.23,1261.27,1,1,NIFTY50_BB_Only
2024-12-18,NIFTY50,11:30:00,13:00:00,time,24245.6,24250,24250,365.8,354.17,872.29,1,4,NIFTY50_BB_Only
2024-12-19,NIFTY50,11:30:00,13:00:00,time,23957.35,23950,23950,313.35,301.22,909.78,1,3,NIFTY50_BB_Only
2024-12-24,NIFTY50,11:25:00,13:00:00,time,23833.35,23850,23850,179.92,162.12,1334.71,1,1,NIFTY50_BB_Only
2024-12-26,NIFTY50,11:30:00,13:00:00,time,23763.6,23750,23750,311.15,297.7,1008.99,1,3,NIFTY50_BB_Only
2024-12-27,NIFTY50,11:25:00,13:00:00,time,23885.6,23900,23900,254.69,241.63,979.56,1,2,NIFTY50_BB_Only
2024-12-31,NIFTY50,12:15:00,13:00:00,time,23596.0,23600,23600,177.9,167.02,815.69,1,1,NIFTY50_BB_Only
2025-01-01,NIFTY50,12:05:00,13:00:00,time,23713.85,23700,23700,310.52,305.55,372.91,1,3,NIFTY50_BB_Only
2025-01-07,NIFTY50,11:45:00,13:00:00,time,23740.1,23750,23750,179.02,161.07,1346.25,1,1,NIFTY50_BB_Only
2025-01-09,NIFTY50,12:20:00,13:00:00,time,23580.6,23600,23600,470.49,466.38,307.88,1,7,NIFTY50_BB_Only
2025-01-10,NIFTY50,12:20:00,13:00:00,time,23518.6,23500,23500,436.02,431.86,312.08,1,6,NIFTY50_BB_Only
2025-01-13,NIFTY50,12:50:00,13:00:00,time,23214.05,23200,23200,392.55,389.9,198.05,1,5,NIFTY50_BB_Only
2025-01-16,NIFTY50,12:10:00,13:00:00,time,23298.9,23300,23300,304.43,299.15,396.58,1,3,NIFTY50_BB_Only
