id,entry_date,exit_date,entry_price,call_strike,put_strike,zone_width_pct,premium,exit_price,max_price,min_price,max_breach_pct,gross_pnl,net_pnl,pnl_rs,outcome,zone_held,signals,iv,atr,config,lots
0,2023-05-25 00:00:00,2023-06-01 00:00:00,43681.4,44400,43000,3.21,276.61,43790.19921875,44498.6,43588.8,0.23,243.75,239.75,10308.75,partial,False,"BB_SQ,ATR_C,ADX_L",0.1627,447.65,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
1,2023-06-09 00:00:00,2023-06-16 00:00:00,43989.0,44500,43400,2.5,242.64,43938.1484375,44212.35,43397.5,0.01,215.01,211.01,9015.45,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1328,367.94,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
2,2023-06-26 00:00:00,2023-07-04 00:00:00,43641.05,44200,43100,2.52,253.4,45301.44921875,45655.5,43693.15,3.34,-864.18,-666.6666666666666,-30000.0,stopped_out,False,"BB_SQ,ATR_C",0.1373,377.59,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
3,2023-08-17 00:00:00,2023-08-24 00:00:00,43891.35,44600,43200,3.19,309.14,44496.19921875,44949.9,43672.45,0.8,147.69,143.69,5986.05,partial,False,"BB_SQ,ATR_C",0.1704,471.02,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
4,2023-09-01 00:00:00,2023-09-08 00:00:00,44436.1,45100,43800,2.93,288.27,45156.3984375,45383.35,44207.25,0.64,61.82,57.82,2121.9,partial,False,"BB_SQ,ATR_C,RSI_M",0.1566,438.31,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
5,2023-10-06 00:00:00,2023-10-13 00:00:00,44360.6,45000,43700,2.93,317.91,44287.94921875,44710.55,43796.75,0.0,276.86,272.86,11798.7,max_profit,True,"BB_SQ,ATR_C",0.1642,458.74,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
6,2023-11-13 00:00:00,2023-11-21 00:00:00,43891.25,44600,43200,3.19,305.29,43689.1484375,44420.95,43450.05,0.0,259.5,255.5,11017.5,max_profit,True,"BB_SQ,ATR_C",0.1694,468.29,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
7,2024-01-12 00:00:00,2024-01-19 00:00:00,47709.8,48500,47000,3.14,332.2,45701.1484375,48305.4,45430.7,3.29,-951.07,-666.6666666666666,-30000.0,stopped_out,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.1683,505.82,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
8,2024-02-26 00:00:00,2024-03-04 00:00:00,46576.5,47700,45500,4.72,475.53,47456.1015625,47529.6,45661.75,0.0,258.71,254.71,10981.95,max_profit,True,"BB_SQ,ATR_C,ADX_L,RSI_M",0.25,733.58,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
9,2024-03-14 00:00:00,2024-03-21 00:00:00,46789.95,47700,45800,4.06,411.04,46684.8984375,46990.25,45828.8,0.0,364.08,360.08,15723.6,max_profit,True,"BB_SQ,ATR_C,ADX_L,RSI_M",0.2146,632.64,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
10,2024-04-15 00:00:00,2024-04-23 00:00:00,47773.25,48500,47100,2.93,317.93,47970.44921875,48302.7,46579.05,1.09,268.01,264.01,11400.45,partial,False,"BB_SQ,ATR_C",0.1587,477.47,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
11,2024-05-21 00:00:00,2024-05-28 00:00:00,48048.2,48900,47200,3.54,399.58,49142.1484375,49688.85,47435.25,1.64,-4.82,-8.82,-876.9,loss,False,"BB_SQ,ATR_C,ADX_L",0.1947,589.29,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
12,2024-07-01 00:00:00,2024-07-08 00:00:00,52574.75,53600,51600,3.8,433.17,52425.80078125,53357.7,51996.65,0.0,379.1,375.1,16399.5,max_profit,True,"BB_SQ,ATR_C",0.2015,667.3,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
13,2024-07-16 00:00:00,2024-07-24 00:00:00,52396.8,53300,51500,3.44,395.12,51317.0,52782.75,50784.25,1.37,54.03,50.03,1771.35,partial,False,"BB_SQ,ATR_C,CHOP,RSI_M",0.183,604.06,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
14,2024-08-19 00:00:00,2024-08-26 00:00:00,50368.35,51400,49400,3.97,442.23,51148.1015625,51317.85,50333.35,0.0,253.25,249.25,10736.25,max_profit,True,"BB_SQ,ATR_C,ADX_L",0.2124,673.84,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
15,2024-09-03 00:00:00,2024-09-10 00:00:00,51689.1,52300,51000,2.52,276.98,51272.30078125,51636.75,50369.4,1.22,205.15,201.15,8571.75,partial,False,"BB_SQ,ATR_C",0.1315,428.3,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
16,2024-11-11 00:00:00,2024-11-19 00:00:00,51876.75,53000,50800,4.24,464.95,50626.5,52169.05,49904.4,1.73,81.32,77.32,2999.4,partial,False,"BB_SQ,ATR_C,ADX_L,RSI_M",0.2221,725.92,BANKNIFTY_short_strangle_weekly_BB+ATR_SD1.5_L3,3
