date,direction,entry_ts,entry_price,expiry,dte_entry_days,iv_used,pe_strike,ce_strike,pe_credit,ce_credit,total_credit,exit_ts,exit_price,exit_reason,pe_exit,ce_exit,total_exit_value,gross_pnl_per_unit,gross_pnl_per_lot,slippage_total,brokerage_total,stt,net_pnl_per_lot
2025-08-08,SHORT,2025-08-08 10:35:00,24434.5,2025-08-12,4,0.0862,24250.0,24600.0,21.3,33.29,54.59,2025-08-08 15:25:00,24350.85,EOD,40.79,16.74,57.53,-2.94,-191.1,260.0,80.0,1.77,-532.87
2025-08-11,LONG,2025-08-11 10:25:00,24441.35,2025-08-12,1,0.0885,24450.0,24500.0,47.37,23.18,70.55,2025-08-11 15:25:00,24562.15,EOD,9.0,86.15,95.15,-24.6,-1599.0,260.0,80.0,2.29,-1941.29
2025-08-13,LONG,2025-08-13 12:30:00,24614.4,2025-08-19,6,0.0945,24400.0,25000.0,35.02,17.03,52.05,2025-08-13 15:25:00,24630.4,EOD,31.83,18.99,50.82,1.23,79.95,260.0,80.0,1.69,-261.74
2025-08-19,LONG,2025-08-19 11:05:00,24939.15,2025-08-26,7,0.097,24700.0,25350.0,39.32,22.09,61.41,2025-08-19 15:25:00,24989.7,EOD,29.9,29.62,59.52,1.89,122.85,260.0,80.0,2.0,-219.15
2025-08-20,LONG,2025-08-20 10:30:00,25002.75,2025-08-26,6,0.0956,24800.0,25400.0,39.96,17.39,57.35,2025-08-20 15:25:00,25047.15,EOD,30.92,23.23,54.15,3.2,208.0,260.0,80.0,1.86,-133.86
2025-08-22,SHORT,2025-08-22 10:20:00,24920.5,2025-08-26,4,0.0943,24700.0,25100.0,21.5,38.05,59.55,2025-08-22 15:25:00,24869.45,EOD,31.29,26.52,57.81,1.74,113.1,260.0,80.0,1.94,-228.84
2025-08-25,LONG,2025-08-25 12:10:00,24974.7,2025-08-26,1,0.0949,24950.0,25050.0,36.27,22.0,58.27,2025-08-25 15:25:00,24978.55,EOD,34.73,23.12,57.85,0.42,27.3,260.0,80.0,1.89,-314.59
2025-08-29,LONG,2025-08-29 11:45:00,24569.8,2025-09-02,4,0.1088,24400.0,24900.0,41.83,18.99,60.82,2025-08-29 14:25:00,24471.52,SL,72.21,9.0,81.21,-20.39,-1325.35,260.0,80.0,1.98,-1667.33
2025-09-01,LONG,2025-09-01 12:25:00,24571.6,2025-09-02,1,0.1093,24550.0,24700.0,44.04,14.7,58.74,2025-09-01 15:25:00,24624.3,EOD,25.35,27.69,53.04,5.7,370.5,260.0,80.0,1.91,28.59
2025-09-02,LONG,2025-09-02 12:35:00,24752.55,2025-09-09,7,0.1067,24450.0,25250.0,35.34,18.18,53.52,2025-09-02 13:40:00,24653.54,SL,56.71,9.98,66.69,-13.17,-856.05,260.0,80.0,1.74,-1197.79
2025-09-05,SHORT,2025-09-05 12:30:00,24635.45,2025-09-09,4,0.0985,24400.0,24800.0,21.06,44.67,65.73,2025-09-05 13:45:00,24733.99,SL,9.56,79.53,89.09,-23.36,-1518.4,260.0,80.0,2.14,-1860.54
2025-09-08,LONG,2025-09-08 12:35:00,24852.3,2025-09-09,1,0.0985,24850.0,24950.0,47.83,17.55,65.38,2025-09-08 15:10:00,24752.89,SL,110.21,3.73,113.94,-48.56,-3156.4,260.0,80.0,2.12,-3498.52
2025-09-10,LONG,2025-09-10 10:25:00,25029.1,2025-09-16,6,0.0882,24850.0,25350.0,38.32,22.32,60.64,2025-09-10 14:40:00,24928.98,SL,67.29,10.74,78.03,-17.39,-1130.35,260.0,80.0,1.97,-1472.32
