label,symbol,strategy,strike_dist,hold_period,signal,trend_filter,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.0_TF2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,TF2.0,5,29,86.21,762639.25,76.26,21.17,15.46,1.98,1222.72,4.83,48.28,1,26297.91,32614.84,-13182.94,51890.5,-30000.0,1762639.25
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.0_TF2.5_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,TF2.5,3,29,82.76,393162.15,39.32,11.89,8.26,2.37,1233.85,4.85,34.48,1,13557.32,18638.61,-10832.88,39234.75,-30000.0,1393162.15
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.0_TF2.5_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,TF2.5,5,29,82.76,675270.25,67.53,19.1,10.61,2.07,1233.85,4.85,34.48,1,23285.18,31064.34,-14054.8,65391.25,-30000.0,1675270.25
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_noTF_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,noTF,3,31,77.42,329134.2,32.91,10.12,6.12,2.46,1022.75,6.07,38.71,2,10617.23,16394.76,-9191.42,36973.95,-30000.0,1329134.2
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_noTF_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,noTF,5,31,77.42,568557.0,56.86,16.48,7.52,2.67,1022.75,6.07,38.71,2,18340.55,27324.59,-12461.89,61623.25,-30000.0,1568557.0
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF1.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF1.5,3,27,92.59,384703.65,38.47,11.66,13.69,2.34,1023.48,6.02,70.37,1,14248.28,16600.83,-15158.55,29413.95,-30000.0,1384703.65
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF1.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF1.5,5,27,92.59,661172.75,66.12,18.76,22.66,2.04,1023.48,6.02,70.37,1,24487.88,27668.05,-15264.25,49023.25,-30000.0,1661172.75
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF2.0_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF2.0,3,29,86.21,412826.25,41.28,12.42,10.81,2.32,1032.69,6.05,58.62,1,14235.39,18196.39,-10520.85,29007.6,-30000.0,1412826.25
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF2.0_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF2.0,5,29,86.21,708043.75,70.8,19.89,15.12,2.02,1032.69,6.05,58.62,1,24415.3,30327.31,-12534.75,48346.0,-30000.0,1708043.75
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF2.5,3,29,82.76,365518.65,36.55,11.13,8.16,2.4,1038.52,6.1,48.28,1,12604.09,17356.76,-10208.73,36655.8,-30000.0,1365518.65
