date,direction,entry_ts,entry_price,or_width_pct,day_filter_passed,expiry_date,dte_entry_days,iv_used,pe_strike,pe_delta_target,pe_delta_actual,ce_strike,ce_delta_target,ce_delta_actual,pe_credit,ce_credit,total_credit,exit_ts,exit_reason,exit_price,pe_exit,ce_exit,gross_pnl_per_unit,gross_pnl_per_lot,slippage,brokerage,stt,net_pnl_per_lot
2025-09-12,LONG,2025-09-12 11:05:00,25102.75,0.2065,True,2025-09-16,4,0.1251,24850.0,-0.22,-0.2022,25550.0,0.1,0.099,37.46,15.29,52.75,2025-09-12 15:25:00,EOD,25107.7,36.47,15.78,0.5,32.5,260.0,80.0,1.71,-309.21
2025-09-16,LONG,2025-09-16 12:20:00,25191.65,0.4443,True,2025-09-16,0,0.12,25150.0,-0.22,-0.0336,25250.0,0.1,0.0054,0.3,0.04,0.34,2025-09-16 15:25:00,EOD,25254.45,0.01,8.95,-8.62,-560.3,260.0,80.0,0.01,-900.31
2025-09-18,SHORT,2025-09-18 12:35:00,25389.7,0.2172,True,2025-09-23,5,0.12,24950.0,-0.1,-0.0944,25700.0,0.22,0.2135,15.84,42.99,58.83,2025-09-18 15:25:00,EOD,25420.75,13.13,50.02,-4.32,-280.8,260.0,80.0,1.91,-622.71
2025-09-23,SHORT,2025-09-23 11:10:00,25098.9,0.5607,True,2025-09-23,0,0.12,25050.0,-0.1,-0.0156,25150.0,0.22,0.0126,0.13,0.1,0.23,2025-09-23 14:05:00,SL,25250.85,0.01,101.17,-100.95,-6561.75,260.0,80.0,0.01,-6901.76
2025-09-24,SHORT,2025-09-24 11:05:00,25031.9,0.4008,True,2025-09-30,6,0.12,24550.0,-0.1,-0.09,25350.0,0.22,0.2286,16.17,50.69,66.86,2025-09-24 15:25:00,EOD,25060.9,13.74,57.66,-4.54,-295.1,260.0,80.0,2.17,-637.27
2025-09-25,SHORT,2025-09-25 11:40:00,24989.75,0.3551,True,2025-09-30,5,0.12,24550.0,-0.1,-0.091,25300.0,0.22,0.2095,14.93,41.31,56.24,2025-09-25 15:25:00,EOD,24904.55,24.57,26.24,5.43,352.95,260.0,80.0,1.83,11.12
2025-09-26,SHORT,2025-09-26 11:15:00,24755.95,0.4427,True,2025-09-30,4,0.12,24400.0,-0.1,-0.112,25000.0,0.22,0.2364,16.98,42.83,59.81,2025-09-26 15:25:00,EOD,24673.1,28.59,26.43,4.79,311.35,260.0,80.0,1.94,-30.59
2025-09-29,SHORT,2025-09-29 11:45:00,24643.5,0.4806,True,2025-09-30,1,0.12,24450.0,-0.1,-0.0991,24750.0,0.22,0.2562,7.27,23.77,31.04,2025-09-29 15:25:00,EOD,24677.55,4.49,33.76,-7.21,-468.65,260.0,80.0,1.01,-809.66
2025-09-30,SHORT,2025-09-30 10:25:00,24624.0,0.3995,True,2025-09-30,0,0.12,24600.0,-0.1,-0.14,24650.0,0.22,0.1231,1.59,1.36,2.95,2025-09-30 15:25:00,EOD,24633.6,0.09,1.23,1.63,105.95,260.0,80.0,0.1,-234.15
2025-10-01,LONG,2025-10-01 11:10:00,24702.2,0.358,True,2025-10-07,6,0.12,24450.0,-0.22,-0.2284,25250.0,0.1,0.0888,50.74,15.5,66.24,2025-10-01 15:25:00,EOD,24853.4,24.35,34.64,7.25,471.25,260.0,80.0,2.15,129.1
2025-10-06,LONG,2025-10-06 10:20:00,24974.8,0.3702,True,2025-10-07,1,0.12,24850.0,-0.22,-0.2035,25200.0,0.1,0.0811,17.96,5.77,23.73,2025-10-06 15:25:00,EOD,25072.55,5.17,19.69,-1.13,-73.45,260.0,80.0,0.77,-414.22
2025-10-07,LONG,2025-10-07 13:40:00,25210.35,0.5021,True,2025-10-07,0,0.1251,25200.0,-0.22,-0.3303,25250.0,0.1,0.0486,5.18,0.48,5.66,2025-10-07 15:25:00,EOD,25112.8,87.15,0.01,-81.5,-5297.5,260.0,80.0,0.18,-5637.68
2025-10-08,SHORT,2025-10-08 11:00:00,25070.9,0.4566,True,2025-10-14,6,0.12,24600.0,-0.1,-0.0952,25400.0,0.22,0.2205,17.32,48.46,65.78,2025-10-08 15:25:00,EOD,25023.8,22.31,38.9,4.57,297.05,260.0,80.0,2.14,-45.09
2025-10-09,LONG,2025-10-09 11:05:00,25151.05,0.3838,True,2025-10-14,5,0.12,24900.0,-0.22,-0.2163,25650.0,0.1,0.0921,43.92,15.05,58.97,2025-10-09 15:25:00,EOD,25170.3,39.91,16.92,2.14,139.1,260.0,80.0,1.92,-202.82
2025-10-10,LONG,2025-10-10 10:55:00,25297.0,0.5446,True,2025-10-14,4,0.12,25050.0,-0.22,-0.1993,25750.0,0.1,0.0885,35.53,12.93,48.46,2025-10-10 15:25:00,EOD,25278.2,39.44,11.36,-2.34,-152.1,260.0,80.0,1.57,-493.67
2025-10-14,SHORT,2025-10-14 11:15:00,25140.8,0.5452,True,2025-10-14,0,0.12,25100.0,-0.1,-0.0362,25150.0,0.22,0.3449,0.33,5.26,5.59,2025-10-14 15:25:00,EOD,25123.35,0.52,0.33,4.74,308.1,260.0,80.0,0.18,-32.08
2025-10-15,LONG,2025-10-15 10:20:00,25272.95,0.4316,True,2025-10-21,6,0.12,25000.0,-0.22,-0.2168,25800.0,0.1,0.103,48.52,18.96,67.48,2025-10-15 15:25:00,EOD,25327.75,37.73,25.35,4.4,286.0,260.0,80.0,2.19,-56.19
2025-10-16,LONG,2025-10-16 10:25:00,25453.25,0.2991,True,2025-10-21,5,0.1218,25200.0,-0.22,-0.2203,25950.0,0.1,0.0991,46.17,16.89,63.06,2025-10-16 15:25:00,EOD,25566.3,26.05,31.58,5.43,352.95,260.0,80.0,2.05,10.9
2025-10-23,SHORT,2025-10-23 13:55:00,25990.0,0.4155,True,2025-10-28,5,0.12,25550.0,-0.1,-0.0992,26300.0,0.22,0.2195,17.22,45.63,62.85,2025-10-23 15:25:00,EOD,25870.3,33.02,24.66,5.17,336.05,260.0,80.0,2.04,-5.99
2025-10-24,SHORT,2025-10-24 10:25:00,25826.95,0.4266,True,2025-10-28,4,0.12,25450.0,-0.1,-0.1087,26100.0,0.22,0.2194,17.08,40.56,57.64,2025-10-24 15:25:00,EOD,25797.45,20.55,34.47,2.62,170.3,260.0,80.0,1.87,-171.57
2025-10-27,LONG,2025-10-27 11:10:00,25976.3,0.5752,True,2025-10-28,1,0.12,25850.0,-0.22,-0.2097,26200.0,0.1,0.0912,19.41,6.89,26.3,2025-10-27 15:25:00,EOD,25974.0,19.9,6.69,-0.29,-18.85,260.0,80.0,0.85,-359.7
2025-10-28,SHORT,2025-10-28 10:30:00,25880.8,0.5993,True,2025-10-28,0,0.12,25850.0,-0.1,-0.0938,25900.0,0.22,0.208,1.03,2.75,3.78,2025-10-28 15:25:00,EOD,25965.4,0.01,65.45,-61.68,-4009.2,260.0,80.0,0.12,-4349.32
2025-10-30,SHORT,2025-10-30 13:30:00,25877.6,0.5399,True,2025-11-04,5,0.12,25450.0,-0.1,-0.1044,26200.0,0.22,0.2086,18.24,42.55,60.79,2025-10-30 15:25:00,EOD,25891.2,16.86,45.46,-1.53,-99.45,260.0,80.0,1.98,-441.43
2025-10-31,SHORT,2025-10-31 10:30:00,25810.6,0.5098,True,2025-11-04,4,0.12,25400.0,-0.1,-0.0902,26100.0,0.22,0.2048,13.63,37.09,50.72,2025-10-31 15:25:00,EOD,25732.55,22.37,23.6,4.75,308.75,260.0,80.0,1.65,-32.9
2025-11-03,LONG,2025-11-03 10:40:00,25772.25,0.4541,True,2025-11-04,1,0.12,25650.0,-0.22,-0.2152,26000.0,0.1,0.0855,19.92,6.33,26.25,2025-11-03 15:25:00,EOD,25774.3,19.48,6.51,0.26,16.9,260.0,80.0,0.85,-323.95
2025-11-04,SHORT,2025-11-04 11:20:00,25670.8,0.4421,True,2025-11-04,0,0.12,25650.0,-0.1,-0.1844,25700.0,0.22,0.1058,2.34,1.18,3.52,2025-11-04 15:25:00,EOD,25586.25,63.7,0.01,-60.19,-3912.35,260.0,80.0,0.11,-4252.46
2025-11-07,LONG,2025-11-07 11:30:00,25461.25,0.5081,True,2025-11-11,4,0.12,25250.0,-0.22,-0.2339,25900.0,0.1,0.0973,43.98,14.58,58.56,2025-11-07 15:25:00,EOD,25510.05,33.66,20.01,4.89,317.85,260.0,80.0,1.9,-24.05
2025-11-10,LONG,2025-11-10 10:20:00,25619.05,0.389,True,2025-11-11,1,0.12,25500.0,-0.22,-0.2197,25850.0,0.1,0.0812,20.34,5.92,26.26,2025-11-10 15:25:00,EOD,25574.25,32.16,3.11,-9.01,-585.65,260.0,80.0,0.85,-926.5
2025-11-11,SHORT,2025-11-11 10:30:00,25469.8,0.5923,True,2025-11-11,0,0.12,25450.0,-0.1,-0.1942,25500.0,0.22,0.0964,2.48,1.05,3.53,2025-11-11 13:35:00,SL,25637.6,0.01,137.98,-134.46,-8739.9,260.0,80.0,0.11,-9080.01
2025-11-12,LONG,2025-11-12 10:35:00,25867.2,0.3231,True,2025-11-18,6,0.12,25600.0,-0.22,-0.226,26400.0,0.1,0.106,52.41,20.09,72.5,2025-11-12 15:25:00,EOD,25874.0,50.89,20.82,0.79,51.35,260.0,80.0,2.36,-291.01
2025-11-13,LONG,2025-11-13 10:20:00,25913.2,0.383,True,2025-11-18,5,0.12,25650.0,-0.22,-0.2126,26400.0,0.1,0.1048,44.26,18.12,62.38,2025-11-13 15:25:00,EOD,25884.1,50.79,15.28,-3.69,-239.85,260.0,80.0,2.03,-581.88
2025-11-17,LONG,2025-11-17 12:35:00,25981.75,0.2835,True,2025-11-18,1,0.12,25850.0,-0.22,-0.2002,26200.0,0.1,0.0968,18.3,7.41,25.71,2025-11-17 15:25:00,EOD,26014.3,12.64,11.16,1.91,124.15,260.0,80.0,0.84,-216.69
2025-11-19,LONG,2025-11-19 10:30:00,25977.05,0.4334,True,2025-11-25,6,0.12,25700.0,-0.22,-0.2194,26550.0,0.1,0.09,50.66,16.57,67.23,2025-11-19 15:25:00,EOD,26052.7,36.06,24.64,6.53,424.45,260.0,80.0,2.18,82.27
2025-11-20,LONG,2025-11-20 10:45:00,26140.4,0.2793,True,2025-11-25,5,0.12,25900.0,-0.22,-0.2332,26650.0,0.1,0.0961,50.34,16.47,66.81,2025-11-20 15:25:00,EOD,26197.4,38.35,22.75,5.71,371.15,260.0,80.0,2.17,28.98
2025-11-27,SHORT,2025-11-27 13:10:00,26177.25,0.3741,True,2025-12-02,5,0.12,25750.0,-0.1,-0.1071,26500.0,0.22,0.2113,19.02,43.74,62.76,2025-11-27 15:25:00,EOD,26219.85,14.89,53.47,-5.6,-364.0,260.0,80.0,2.04,-706.04
2025-11-28,LONG,2025-11-28 10:40:00,26274.5,0.3645,True,2025-12-02,4,0.12,26050.0,-0.22,-0.2278,26700.0,0.1,0.112,43.86,17.83,61.69,2025-11-28 15:25:00,EOD,26204.55,62.15,11.29,-11.75,-763.75,260.0,80.0,2.0,-1105.75
2025-12-01,SHORT,2025-12-01 10:50:00,26229.65,0.2384,True,2025-12-02,1,0.12,26000.0,-0.1,-0.0761,26350.0,0.22,0.2428,5.65,23.57,29.22,2025-12-01 15:25:00,EOD,26175.95,11.2,13.06,4.96,322.4,260.0,80.0,0.95,-18.55
2025-12-02,SHORT,2025-12-02 12:50:00,26043.9,0.4137,True,2025-12-02,0,0.12,26000.0,-0.1,-0.0311,26050.0,0.22,0.3998,0.29,6.72,7.01,2025-12-02 15:25:00,EOD,26057.0,0.01,10.77,-3.77,-245.05,260.0,80.0,0.23,-585.28
2025-12-03,SHORT,2025-12-03 11:20:00,25893.5,0.6528,True,2025-12-09,6,0.12,25400.0,-0.1,-0.0921,26250.0,0.22,0.2085,17.2,46.57,63.77,2025-12-03 15:25:00,EOD,25985.1,10.33,68.87,-15.43,-1002.95,260.0,80.0,2.07,-1345.02
2025-12-04,LONG,2025-12-04 10:20:00,26050.55,0.4264,True,2025-12-09,5,0.12,25800.0,-0.22,-0.2241,26550.0,0.1,0.1,47.61,17.21,64.82,2025-12-04 15:25:00,EOD,26017.1,55.58,14.13,-4.89,-317.85,260.0,80.0,2.11,-659.96
2025-12-05,LONG,2025-12-05 10:45:00,26124.2,0.4945,True,2025-12-09,4,0.12,25900.0,-0.22,-0.2269,26550.0,0.1,0.1105,43.38,17.43,60.81,2025-12-05 15:25:00,EOD,26176.65,32.69,24.07,4.05,263.25,260.0,80.0,1.98,-78.73
2025-12-09,LONG,2025-12-09 12:20:00,25921.55,0.6334,True,2025-12-09,0,0.1241,25900.0,-0.22,-0.1864,25950.0,0.1,0.122,2.48,1.46,3.94,2025-12-09 15:25:00,EOD,25841.75,58.2,0.01,-54.27,-3527.55,260.0,80.0,0.13,-3867.68
2025-12-10,SHORT,2025-12-10 11:50:00,25828.1,0.3898,True,2025-12-16,6,0.1221,25350.0,-0.1,-0.1022,26150.0,0.22,0.2374,19.79,55.92,75.71,2025-12-10 15:25:00,EOD,25742.65,30.28,38.29,7.14,464.1,260.0,80.0,2.46,121.64
2025-12-11,LONG,2025-12-11 10:30:00,25830.8,0.5013,True,2025-12-16,5,0.12,25600.0,-0.22,-0.239,26350.0,0.1,0.0891,51.37,14.86,66.23,2025-12-11 15:25:00,EOD,25898.4,37.07,21.99,7.17,466.05,260.0,80.0,2.15,123.9
2025-12-15,LONG,2025-12-15 11:50:00,26007.55,0.3955,True,2025-12-16,1,0.1234,25900.0,-0.22,-0.2506,26250.0,0.1,0.0798,25.21,6.06,31.27,2025-12-15 15:25:00,EOD,26014.0,23.63,6.59,1.05,68.25,260.0,80.0,1.02,-272.77
2025-12-17,SHORT,2025-12-17 10:25:00,25813.65,0.4074,True,2025-12-23,6,0.12,25350.0,-0.1,-0.1047,26150.0,0.22,0.2223,20.0,50.44,70.44,2025-12-17 15:25:00,EOD,25821.8,19.16,52.28,-1.0,-65.0,260.0,80.0,2.29,-407.29
2025-12-18,LONG,2025-12-18 10:20:00,25834.45,0.392,True,2025-12-23,5,0.12,25600.0,-0.22,-0.2359,26350.0,0.1,0.0907,50.5,15.19,65.69,2025-12-18 15:25:00,EOD,25815.65,55.09,13.57,-2.97,-193.05,260.0,80.0,2.13,-535.18
