label,total_trades,id_trades,pamacd_trades,rb_trades,win_rate,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,total_pnl,pnl_pct,avg_win,avg_loss,avg_rr,exit_reasons
ID_BASELINE_TP3_MH5,7115,3196,2880,1039,49.46,1.49,25.55,12.07,2.38,3.73,2.12,50458327.0,504.58,4.35,-2.82,1.55,"{'fixed_tp': 1196, 'fixed_sl': 2329, 'max_hold': 3570, 'eod': 20}"
ID_TP2_MH5,7117,3164,2893,1060,50.08,1.52,26.0,12.07,2.36,3.57,2.15,52273484.0,522.73,4.31,-2.81,1.53,"{'fixed_tp': 1328, 'fixed_sl': 2315, 'max_hold': 3454, 'eod': 20}"
ID_TP1.5_MH5,7183,3159,2928,1096,49.98,1.52,26.17,11.67,2.36,3.67,2.24,52863056.0,528.63,4.34,-2.83,1.54,"{'fixed_tp': 1508, 'fixed_sl': 2373, 'max_hold': 3282, 'eod': 20}"
ID_TP2_MH3,7980,3538,3094,1348,49.55,1.54,26.87,9.75,2.35,3.59,2.76,55745373.0,557.45,4.04,-2.54,1.59,"{'fixed_tp': 1346, 'fixed_sl': 2303, 'max_hold': 4311, 'eod': 20}"
ID_TP2_MH5_EMA20,6546,1982,3048,1516,48.87,1.52,25.52,10.02,2.23,3.26,2.55,50449160.0,504.49,4.61,-2.86,1.61,"{'fixed_tp': 1368, 'fixed_sl': 2392, 'max_hold': 2766, 'eod': 20}"
ID_TP2_MH3_EMA20,7008,2093,3187,1728,48.24,1.53,25.8,9.1,2.25,3.41,2.83,51480386.0,514.8,4.44,-2.68,1.66,"{'fixed_tp': 1366, 'fixed_sl': 2409, 'max_hold': 3213, 'eod': 20}"
ID_TP2_MH3_EMA20,7008,2093,3187,1728,48.24,1.53,25.8,9.1,2.25,3.41,2.83,51480386.0,514.8,4.44,-2.68,1.66,"{'fixed_tp': 1366, 'fixed_sl': 2409, 'max_hold': 3213, 'eod': 20}"
ID_TP3_MH5_EMA20,6543,1971,3046,1526,48.36,1.5,24.96,11.38,2.11,3.1,2.19,48396690.0,483.97,4.62,-2.86,1.62,"{'fixed_tp': 1265, 'fixed_sl': 2446, 'max_hold': 2812, 'eod': 20}"
ID_TP3_MH5_EMA20,6543,1971,3046,1526,48.36,1.5,24.96,11.38,2.11,3.1,2.19,48396690.0,483.97,4.62,-2.86,1.62,"{'fixed_tp': 1265, 'fixed_sl': 2446, 'max_hold': 2812, 'eod': 20}"
ID_TP2_MH5_VOL,6840,2604,2969,1267,49.59,1.54,26.0,13.02,2.31,3.48,2.0,52347785.0,523.48,4.45,-2.81,1.58,"{'fixed_tp': 1335, 'fixed_sl': 2342, 'max_hold': 3143, 'eod': 20}"
ID_TP2_MH5_VOL,6840,2604,2969,1267,49.59,1.54,26.0,13.02,2.31,3.48,2.0,52347785.0,523.48,4.45,-2.81,1.58,"{'fixed_tp': 1335, 'fixed_sl': 2342, 'max_hold': 3143, 'eod': 20}"
ID_TP2_MH5_EMA20_VOL,6310,1621,3030,1659,48.76,1.53,25.28,11.32,2.07,3.08,2.23,49565397.0,495.65,4.67,-2.87,1.63,"{'fixed_tp': 1340, 'fixed_sl': 2374, 'max_hold': 2576, 'eod': 20}"
ID_TP2_MH5_EMA20_VOL,6310,1621,3030,1659,48.76,1.53,25.28,11.32,2.07,3.08,2.23,49565397.0,495.65,4.67,-2.87,1.63,"{'fixed_tp': 1340, 'fixed_sl': 2374, 'max_hold': 2576, 'eod': 20}"
ID_TP2_MH3_EMA20_VOL,6704,1655,3203,1846,48.64,1.57,26.53,8.94,2.36,3.66,2.97,54464995.0,544.65,4.6,-2.74,1.68,"{'fixed_tp': 1386, 'fixed_sl': 2402, 'max_hold': 2896, 'eod': 20}"
ID_TP2_MH3_EMA20_VOL,6704,1655,3203,1846,48.64,1.57,26.53,8.94,2.36,3.66,2.97,54464995.0,544.65,4.6,-2.74,1.68,"{'fixed_tp': 1386, 'fixed_sl': 2402, 'max_hold': 2896, 'eod': 20}"
ID_TP2_MH5_R40,6965,2913,2888,1164,50.17,1.53,26.1,10.45,2.32,3.51,2.5,52602199.0,526.02,4.35,-2.82,1.54,"{'fixed_tp': 1329, 'fixed_sl': 2311, 'max_hold': 3305, 'eod': 20}"
ID_TP2_MH5_R40,6965,2913,2888,1164,50.17,1.53,26.1,10.45,2.32,3.51,2.5,52602199.0,526.02,4.35,-2.82,1.54,"{'fixed_tp': 1329, 'fixed_sl': 2311, 'max_hold': 3305, 'eod': 20}"
ID_TP2_MH5_R50,6889,2629,3016,1244,49.67,1.55,26.42,10.81,2.39,3.54,2.45,53929197.0,539.29,4.45,-2.79,1.59,"{'fixed_tp': 1372, 'fixed_sl': 2351, 'max_hold': 3146, 'eod': 20}"
ID_TP2_MH5_R50,6889,2629,3016,1244,49.67,1.55,26.42,10.81,2.39,3.54,2.45,53929197.0,539.29,4.45,-2.79,1.59,"{'fixed_tp': 1372, 'fixed_sl': 2351, 'max_hold': 3146, 'eod': 20}"
ID_TP2_MH3_EMA20_VOL_R40,6612,1558,3151,1903,48.14,1.56,26.15,9.75,2.31,3.46,2.68,52897684.0,528.98,4.65,-2.73,1.7,"{'fixed_tp': 1365, 'fixed_sl': 2408, 'max_hold': 2819, 'eod': 20}"
ID_TP2_MH3_EMA20_VOL_R40,6612,1558,3151,1903,48.14,1.56,26.15,9.75,2.31,3.46,2.68,52897684.0,528.98,4.65,-2.73,1.7,"{'fixed_tp': 1365, 'fixed_sl': 2408, 'max_hold': 2819, 'eod': 20}"
ID_TP2_MH5_EMA20_VOL_R40,6270,1446,3085,1739,48.71,1.53,25.19,12.16,2.16,3.17,2.07,49298736.0,492.99,4.71,-2.9,1.62,"{'fixed_tp': 1370, 'fixed_sl': 2422, 'max_hold': 2458, 'eod': 20}"
ID_TP2_MH5_EMA20_VOL_R40,6270,1446,3085,1739,48.71,1.53,25.19,12.16,2.16,3.17,2.07,49298736.0,492.99,4.71,-2.9,1.62,"{'fixed_tp': 1370, 'fixed_sl': 2422, 'max_hold': 2458, 'eod': 20}"
ID_TP2_SL1.5_MH5,7420,3298,3020,1102,49.29,1.54,26.8,9.91,2.34,3.59,2.7,55455427.0,554.55,4.36,-2.72,1.6,"{'fixed_tp': 1585, 'fixed_sl': 2786, 'max_hold': 3029, 'eod': 20}"
ID_TP2_SL1.5_MH5,7420,3298,3020,1102,49.29,1.54,26.8,9.91,2.34,3.59,2.7,55455427.0,554.55,4.36,-2.72,1.6,"{'fixed_tp': 1585, 'fixed_sl': 2786, 'max_hold': 3029, 'eod': 20}"
ID_TP2_SL1.5_MH5_EMA20,6619,1932,3085,1602,48.44,1.55,26.03,10.03,2.32,3.38,2.6,52396498.0,523.96,4.64,-2.79,1.67,"{'fixed_tp': 1487, 'fixed_sl': 2647, 'max_hold': 2465, 'eod': 20}"
ID_TP2_SL1.5_MH5_EMA20,6619,1932,3085,1602,48.44,1.55,26.03,10.03,2.32,3.38,2.6,52396498.0,523.96,4.64,-2.79,1.67,"{'fixed_tp': 1487, 'fixed_sl': 2647, 'max_hold': 2465, 'eod': 20}"
