variant,direction,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
gc_sma_50_200_adx,LONG,IS,141,58,83,41.13,26979.0,-5960.0,65.8,3.16,1070095.0,4.62,0.61,8.15,0.57,1253281.0
gc_sma_50_200_adx,LONG,OOS,78,34,44,43.59,10520.0,-4472.0,35.4,1.82,160890.0,4.41,0.81,6.02,0.73,1137933.0
gc_sma_50_200,LONG,IS,205,82,123,40.0,27511.0,-5847.0,64.9,3.14,1536682.0,6.62,0.73,13.39,0.49,1377480.0
gc_sma_50_200,LONG,OOS,120,49,71,40.83,9933.0,-4667.0,35.7,1.47,155340.0,4.21,0.64,10.11,0.42,1131511.0
gc_ema_20_50,LONG,IS,431,160,271,37.12,15407.0,-6541.0,35.2,1.39,692422.0,10.21,0.79,22.47,0.45,1624626.0
gc_ema_20_50,LONG,OOS,251,105,146,41.83,13295.0,-6567.0,35.4,1.46,437160.0,11.03,0.9,24.16,0.46,1368128.0
