variant,direction,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
pb_rsi40_confluence,LONG,IS,4,2,2,50.0,8273.0,-5847.0,44.0,1.41,4853.0,0.1,0.11,1.6,0.06,1004853.0
pb_rsi40_confluence,LONG,OOS,12,6,6,50.0,15122.0,-3511.0,37.7,4.31,69664.0,2.27,1.36,1.93,1.18,1069664.0
pb_rsi40_macd,LONG,IS,46,19,27,41.3,12974.0,-5614.0,33.8,1.63,94932.0,1.83,0.54,5.3,0.35,1094932.0
pb_rsi40_macd,LONG,OOS,56,20,36,35.71,13657.0,-4702.0,33.5,1.61,103876.0,3.26,0.7,5.64,0.58,1100806.0
pb_rsi40,LONG,IS,336,143,193,42.56,23272.0,-7202.0,65.5,2.39,1938013.0,9.54,0.69,27.21,0.35,1576286.0
pb_rsi40,LONG,OOS,233,97,136,41.63,13304.0,-6105.0,38.3,1.55,460186.0,12.99,1.01,18.19,0.71,1441781.0
