variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
pb_rsi40_confluence,DABUR,LONG,2018-11-01,2018-12-31,384.75,430.65,259,60,MAX_HOLD,11888.10,11676.91
pb_rsi40_confluence,RELIANCE,LONG,2020-11-23,2021-01-22,929.85,976.85,108,60,MAX_HOLD,5076.00,4870.08
pb_rsi40_confluence,BAJFINANCE,LONG,2021-12-16,2021-12-20,694.50,651.20,146,4,INITIAL_STOP,-6322.41,-6518.88
pb_rsi40_confluence,INFY,LONG,2022-02-25,2022-04-18,1715.00,1629.11,58,52,INITIAL_STOP,-4981.55,-5175.51
pb_rsi40_confluence,HAL,LONG,2023-02-02,2023-03-08,1150.00,1437.50,87,34,TARGET,25012.50,24787.39
pb_rsi40_confluence,GRASIM,LONG,2023-02-15,2023-03-16,1598.35,1528.33,62,29,INITIAL_STOP,-4341.24,-4535.09
pb_rsi40_confluence,AXISBANK,LONG,2023-03-01,2023-05-02,846.05,870.65,118,62,MAX_HOLD,2902.80,2700.23
pb_rsi40_confluence,PERSISTENT,LONG,2023-04-17,2023-06-02,2100.00,2625.00,48,46,TARGET,25200.00,24973.20
pb_rsi40_confluence,ASIANPAINT,LONG,2023-09-18,2023-10-16,3200.00,3104.00,32,28,INITIAL_STOP,-3072.13,-3273.86
pb_rsi40_confluence,CUMMINSIND,LONG,2023-09-01,2023-10-31,1696.10,1676.55,62,60,MAX_HOLD,-1212.10,-1421.20
pb_rsi40_confluence,HCLTECH,LONG,2024-04-29,2024-05-03,1415.00,1345.14,74,4,INITIAL_STOP,-5169.82,-5374.07
pb_rsi40_confluence,WIPRO,LONG,2024-05-28,2024-05-30,222.60,214.47,468,2,INITIAL_STOP,-3803.79,-4008.33
pb_rsi40_confluence,FEDERALBNK,LONG,2024-10-08,2024-12-09,184.02,213.77,564,62,MAX_HOLD,16779.00,16554.65
pb_rsi40_confluence,ITC,LONG,2024-12-06,2025-02-04,406.50,455.15,255,60,MAX_HOLD,12405.75,12186.03
pb_rsi40_confluence,ICICIBANK,LONG,2025-09-24,2025-09-29,1386.40,1355.37,76,5,INITIAL_STOP,-2358.12,-2566.50
pb_rsi40_confluence,RELIANCE,LONG,2025-09-01,2025-10-31,1356.00,1486.40,78,60,MAX_HOLD,10171.20,9949.49
