stack,n,top10_share,mean_ret,mean_ret_cap50,worst_mae,med_mae,p05_mae,med_hold_d,p95_hold_d
TRAIL10_T63_g0_BK20,1278,42.7,4.462,3.093,-33.7,-5.0,-11.8,53,219
TRAIL10_T63_g0,1278,42.6,4.489,3.095,-33.7,-5.1,-11.8,54,220
TRAIL20_T63_g0,538,53.3,16.244,5.509,-25.6,-6.3,-20.5,98,693
