cand,w,cagr,maxdd,calmar,cagr_worst,dd_worst,d_calmar,d_cagr,d_dd,wins
(incumbent TN37.5/OA37.5/IPO25),0,21.18,-24.01,0.885,19.17,-26.39,0.0,0.0,0.0,0.0
(TN+OA 50:50),0,20.28,-26.91,0.749,17.89,-30.42,,,,
52W_OPT,5,20.85,-23.17,0.902,18.95,-25.45,0.016,-0.33,0.82,26.0
52W_OPT,10,20.51,-22.69,0.909,18.71,-24.5,0.033,-0.67,1.61,22.0
52W_OPT,15,20.17,-22.78,0.893,18.48,-23.85,0.016,-1.01,1.57,19.0
52W_OPT,20,19.83,-22.52,0.872,18.24,-23.95,-0.006,-1.35,1.42,12.0
52W_OPT,25,19.49,-22.7,0.85,18.0,-24.06,-0.029,-1.69,1.23,6.0
52W_OPT,33,18.94,-23.01,0.816,17.61,-24.23,-0.064,-2.24,0.93,2.0
52W_Spec_A,5,20.87,-23.35,0.9,18.97,-25.23,0.02,-0.31,0.92,22.0
52W_Spec_A,10,20.55,-24.09,0.848,18.76,-25.54,-0.035,-0.63,-0.21,6.0
52W_Spec_A,15,20.22,-25.32,0.794,18.54,-26.71,-0.09,-0.96,-1.47,2.0
52W_Spec_A,20,19.89,-26.59,0.745,18.31,-27.88,-0.14,-1.29,-2.73,0.0
52W_Spec_A,25,19.55,-27.86,0.7,18.07,-29.05,-0.185,-1.63,-3.99,0.0
52W_Spec_A,33,18.99,-29.88,0.634,17.68,-30.92,-0.25,-2.19,-6.01,0.0
52W_OPT_(PIT-100),5,20.62,-23.8,0.869,18.73,-25.99,-0.019,-0.56,0.14,0.0
52W_OPT_(PIT-100),10,20.07,-23.69,0.848,18.28,-25.76,-0.039,-1.11,0.23,0.0
52W_OPT_(PIT-100),15,19.51,-23.64,0.826,17.83,-25.56,-0.061,-1.67,0.29,0.0
52W_OPT_(PIT-100),20,18.95,-23.82,0.799,17.37,-25.41,-0.084,-2.23,0.28,0.0
52W_OPT_(PIT-100),25,18.39,-24.14,0.768,16.92,-25.26,-0.113,-2.79,0.18,0.0
52W_OPT_(PIT-100),33,17.49,-24.62,0.711,16.18,-25.64,-0.171,-3.69,-0.47,0.0
CASH,5,20.39,-22.83,0.899,18.49,-25.17,0.013,-0.79,1.24,30.0
CASH,10,19.59,-21.61,0.914,17.81,-23.93,0.028,-1.59,2.49,30.0
CASH,15,18.8,-20.36,0.932,17.12,-22.66,0.045,-2.38,3.73,30.0
CASH,20,18.0,-19.06,0.954,16.43,-21.38,0.065,-3.18,5.0,30.0
CASH,25,17.2,-17.67,0.98,15.74,-20.08,0.089,-3.98,6.28,30.0
CASH,33,15.92,-15.5,1.029,14.63,-17.95,0.135,-5.26,8.35,30.0
EW_B&H_Nifty100,5,21.14,-23.94,0.889,19.24,-25.73,0.013,-0.04,0.42,19.0
EW_B&H_Nifty100,10,21.09,-25.39,0.824,19.29,-26.95,-0.056,-0.09,-1.49,2.0
EW_B&H_Nifty100,15,21.04,-27.33,0.765,19.32,-28.76,-0.117,-0.15,-3.4,0.0
EW_B&H_Nifty100,20,20.97,-29.26,0.714,19.35,-30.58,-0.169,-0.22,-5.29,0.0
EW_B&H_Nifty100,25,20.89,-31.17,0.669,19.37,-32.39,-0.215,-0.3,-7.2,0.0
EW_B&H_Nifty100,33,20.73,-34.22,0.606,19.38,-35.26,-0.278,-0.45,-10.24,0.0
