series,year,ret,dd
TRAIL20_T63_g0 E252,2007,58.33,-15.98
TRAIL20_T63_g0 E252,2008,-22.77,-26.57
TRAIL20_T63_g0 E252,2009,30.97,-25.85
TRAIL20_T63_g0 E252,2010,35.15,-14.02
TRAIL20_T63_g0 E252,2011,-19.71,-24.42
TRAIL20_T63_g0 E252,2012,22.01,-24.41
TRAIL20_T63_g0 E252,2013,7.08,-13.1
TRAIL20_T63_g0 E252,2014,42.73,-6.33
TRAIL20_T63_g0 E252,2015,10.92,-11.05
TRAIL20_T63_g0 E252,2016,-0.56,-18.13
TRAIL20_T63_g0 E252,2017,30.78,-12.11
TRAIL20_T63_g0 E252,2018,-0.03,-13.74
TRAIL20_T63_g0 E252,2019,9.66,-15.46
TRAIL20_T63_g0 E252,2020,20.52,-21.32
TRAIL20_T63_g0 E252,2021,46.92,-10.68
TRAIL20_T63_g0 E252,2022,17.45,-18.38
TRAIL20_T63_g0 E252,2023,50.46,-14.17
TRAIL20_T63_g0 E252,2024,37.08,-10.43
TRAIL20_T63_g0 E252,2025,-3.28,-19.15
TRAIL20_T63_g0 E252,2026,-5.05,-18.75
52W_OPT,2006,21.91,-15.54
52W_OPT,2007,65.41,-14.14
52W_OPT,2008,-22.2,-25.74
52W_OPT,2009,33.35,-26.01
52W_OPT,2010,26.31,-21.07
52W_OPT,2011,-12.84,-19.65
52W_OPT,2012,15.68,-20.19
52W_OPT,2013,0.18,-15.12
52W_OPT,2014,40.49,-7.87
52W_OPT,2015,-1.93,-14.16
52W_OPT,2016,7.6,-15.35
52W_OPT,2017,28.73,-12.5
52W_OPT,2018,-2.92,-11.53
52W_OPT,2019,9.65,-14.75
52W_OPT,2020,27.21,-13.72
52W_OPT,2021,46.23,-12.77
52W_OPT,2022,4.56,-21.02
52W_OPT,2023,43.69,-15.53
52W_OPT,2024,22.43,-14.64
52W_OPT,2025,0.63,-16.7
52W_OPT,2026,-4.34,-13.85
52W_Spec_A,2006,38.35,-30.39
52W_Spec_A,2007,57.15,-16.49
52W_Spec_A,2008,-43.53,-46.18
52W_Spec_A,2009,30.86,-46.73
52W_Spec_A,2010,28.67,-32.99
52W_Spec_A,2011,-21.77,-30.9
52W_Spec_A,2012,29.73,-31.82
52W_Spec_A,2013,10.18,-14.2
52W_Spec_A,2014,35.04,-6.06
52W_Spec_A,2015,1.05,-13.89
52W_Spec_A,2016,4.31,-19.88
52W_Spec_A,2017,48.56,-11.26
52W_Spec_A,2018,6.22,-16.72
52W_Spec_A,2019,21.65,-9.74
52W_Spec_A,2020,13.51,-30.89
52W_Spec_A,2021,22.61,-7.5
52W_Spec_A,2022,5.64,-23.87
52W_Spec_A,2023,39.19,-19.67
52W_Spec_A,2024,29.24,-11.55
52W_Spec_A,2025,9.04,-22.14
52W_Spec_A,2026,-13.53,-15.57
NIFTYBEES,2006,40.8,-29.92
NIFTYBEES,2007,52.96,-14.86
NIFTYBEES,2008,-52.13,-59.71
NIFTYBEES,2009,75.6,-59.13
NIFTYBEES,2010,18.61,-24.98
NIFTYBEES,2011,-24.05,-27.27
NIFTYBEES,2012,26.51,-26.03
NIFTYBEES,2013,7.21,-15.99
NIFTYBEES,2014,31.58,-6.22
NIFTYBEES,2015,-4.27,-15.02
NIFTYBEES,2016,3.99,-21.56
NIFTYBEES,2017,29.88,-8.49
NIFTYBEES,2018,4.79,-14.08
NIFTYBEES,2019,13.64,-10.49
NIFTYBEES,2020,15.42,-36.34
NIFTYBEES,2021,25.97,-9.54
NIFTYBEES,2022,5.46,-16.11
NIFTYBEES,2023,21.01,-9.66
NIFTYBEES,2024,10.36,-10.51
NIFTYBEES,2025,11.66,-15.23
NIFTYBEES,2026,-9.45,-14.82
