label,year,ret,dd
AX_buf1_L252_close_ST_14_4,2011,-11.09,-18.97
AX_buf1_L252_close_ST_14_4,2012,15.51,-19.24
AX_buf1_L252_close_ST_14_4,2013,3.84,-10.87
AX_buf1_L252_close_ST_14_4,2014,39.41,-6.84
AX_buf1_L252_close_ST_14_4,2015,-0.63,-14.87
AX_buf1_L252_close_ST_14_4,2016,7.61,-13.45
AX_buf1_L252_close_ST_14_4,2017,24.69,-12.55
AX_buf1_L252_close_ST_14_4,2018,-1.76,-9.84
AX_buf1_L252_close_ST_14_4,2019,5.59,-13.87
AX_buf1_L252_close_ST_14_4,2020,25.15,-13.94
AX_buf1_L252_close_ST_14_4,2021,44.36,-14.17
AX_buf1_L252_close_ST_14_4,2022,2.57,-24.04
AX_buf1_L252_close_ST_14_4,2023,46.13,-16.95
AX_buf1_L252_close_ST_14_4,2024,25.54,-14.96
AX_buf1_L252_close_ST_14_4,2025,-0.79,-15.81
AX_buf1_L252_close_ST_14_4,2026,-4.93,-15.68
AX_buf1_L378_close_ST_14_4,2006,20.52,-14.24
AX_buf1_L378_close_ST_14_4,2007,65.29,-13.69
AX_buf1_L378_close_ST_14_4,2008,-19.47,-24.69
AX_buf1_L378_close_ST_14_4,2009,18.75,-22.44
AX_buf1_L378_close_ST_14_4,2010,23.62,-21.44
AX_buf1_L378_close_ST_14_4,2011,-10.76,-18.53
AX_buf1_L378_close_ST_14_4,2012,16.72,-18.6
AX_buf1_L378_close_ST_14_4,2013,3.01,-10.43
AX_buf1_L378_close_ST_14_4,2014,42.11,-7.04
AX_buf1_L378_close_ST_14_4,2015,0.06,-14.26
AX_buf1_L378_close_ST_14_4,2016,7.9,-12.96
AX_buf1_L378_close_ST_14_4,2017,24.57,-9.58
AX_buf1_L378_close_ST_14_4,2018,-2.25,-9.93
AX_buf1_L378_close_ST_14_4,2019,3.37,-13.9
AX_buf1_L378_close_ST_14_4,2020,26.81,-13.24
AX_buf1_L378_close_ST_14_4,2021,49.13,-12.1
AX_buf1_L378_close_ST_14_4,2022,2.01,-22.63
AX_buf1_L378_close_ST_14_4,2023,45.85,-14.92
AX_buf1_L378_close_ST_14_4,2024,28.99,-14.14
AX_buf1_L378_close_ST_14_4,2025,-1.33,-16.49
AX_buf1_L378_close_ST_14_4,2026,-3.81,-16.83
SPEC_A,2006,38.35,-30.39
SPEC_A,2007,57.15,-16.49
SPEC_A,2008,-43.53,-46.18
SPEC_A,2009,30.86,-46.73
SPEC_A,2010,28.67,-32.99
SPEC_A,2011,-21.77,-30.9
SPEC_A,2012,29.73,-31.82
SPEC_A,2013,10.18,-14.2
SPEC_A,2014,35.04,-6.06
SPEC_A,2015,1.05,-13.89
SPEC_A,2016,4.31,-19.88
SPEC_A,2017,48.56,-11.26
SPEC_A,2018,6.22,-16.72
SPEC_A,2019,21.65,-9.74
SPEC_A,2020,13.51,-30.89
SPEC_A,2021,22.61,-7.5
SPEC_A,2022,5.64,-23.87
SPEC_A,2023,39.19,-19.67
SPEC_A,2024,29.24,-11.55
SPEC_A,2025,9.04,-22.14
SPEC_A,2026,-13.53,-15.57
