series,year,ret,dd
Random-entry null (median path),2010,17.51,-22.21
Random-entry null (median path),2011,-20.67,-29.77
Random-entry null (median path),2012,14.03,-33.18
Random-entry null (median path),2013,-7.59,-34.56
Random-entry null (median path),2014,46.73,-29.72
Random-entry null (median path),2015,-5.47,-16.29
Random-entry null (median path),2016,13.69,-16.32
Random-entry null (median path),2017,30.33,-11.99
Random-entry null (median path),2018,-10.07,-15.86
Random-entry null (median path),2019,5.06,-22.01
Random-entry null (median path),2020,37.98,-15.5
Random-entry null (median path),2021,39.05,-15.22
Random-entry null (median path),2022,-5.31,-26.13
Random-entry null (median path),2023,46.86,-23.13
Random-entry null (median path),2024,20.88,-16.48
Random-entry null (median path),2025,-6.73,-24.24
Random-entry null (median path),2026,-4.53,-25.47
