label,stack,entry,entry_L,group,hard_pct,hard_atr,be_after,lock_after,lock_trail,trail_pct,trail_chand,trail_atr,rule,time_bars,time_min_gain,block_bars,book_dd_kill,cost_bps,offset,window,cagr,maxdd,calmar,sharpe,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,avg_invested,eligible,pct_STOP,pct_RULE,pct_TIME,pct_BOOKKILL,book_kills,tax_paid,cost_paid
HARD5__E189,HARD5,E189,189,hard_alone,0.05,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,14.44,-37.54,0.385,0.883,326,27.6,110.51,-6.57,25.751,36,-17.0,-5.5,37,15.8,0.911,True,69.9,25.8,0.0,0.0,0,21362066,2351785
HARD5__E252,HARD5,E252,252,hard_alone,0.05,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,13.83,-41.95,0.33,0.795,380,25.8,95.23,-6.44,19.781,34,-15.2,-5.5,47,18.4,0.889,True,72.1,24.2,0.0,0.0,0,18712134,2627429
HARD8__E189,HARD8,E189,189,hard_alone,0.08,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,16.24,-39.75,0.408,0.905,242,35.5,126.85,-9.12,39.2,142,-16.5,-8.2,24,11.7,0.921,True,58.3,36.4,0.0,0.0,0,29900872,2744902
HARD8__E252,HARD8,E252,252,hard_alone,0.08,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,12.9,-42.91,0.301,0.815,256,35.9,96.77,-9.62,28.614,138,-33.7,-8.3,30,12.4,0.909,True,59.0,35.5,0.0,0.0,0,15459042,1770899
HARD10__E189,HARD10,E189,189,hard_alone,0.1,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,13.72,-42.37,0.324,0.842,227,38.3,108.14,-10.52,34.959,190,-29.2,-10.1,23,11.0,0.923,True,53.3,40.5,0.0,0.0,0,18375840,1721807
HARD10__E252,HARD10,E252,252,hard_alone,0.1,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,13.62,-42.94,0.317,0.824,227,40.5,98.53,-10.68,33.578,239,-20.4,-10.0,19,11.0,0.912,True,51.1,42.3,0.0,0.0,0,18059606,1536704
HARD12__E189,HARD12,E189,189,hard_alone,0.12,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,14.89,-42.73,0.349,0.874,205,45.4,105.59,-12.3,41.184,296,-29.2,-10.1,15,9.9,0.922,True,44.9,47.3,0.0,0.0,0,23302152,1701812
HARD12__E252,HARD12,E252,252,hard_alone,0.12,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,12.82,-43.69,0.293,0.787,211,44.5,92.33,-12.65,34.118,329,-29.2,-10.9,17,10.2,0.916,True,45.5,47.4,0.0,0.0,0,15536622,1243034
HARD15__E189,HARD15,E189,189,hard_alone,0.15,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,16.19,-43.49,0.372,0.895,174,54.6,104.06,-14.07,50.424,557,-30.4,-9.9,12,8.4,0.929,True,33.9,58.0,0.0,0.0,0,30055748,1602150
HARD15__E252,HARD15,E252,252,hard_alone,0.15,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,12.88,-43.48,0.296,0.787,183,54.6,80.12,-14.4,37.248,549,-35.4,-10.1,13,8.8,0.918,True,32.2,60.1,0.0,0.0,0,15503868,1085596
HARD20__E189,HARD20,E189,189,hard_alone,0.2,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,13.87,-43.5,0.319,0.834,161,59.0,92.04,-17.76,47.031,627,-35.4,-11.1,9,7.8,0.934,True,24.8,65.8,0.0,0.0,0,18990772,1097513
HARD20__E252,HARD20,E252,252,hard_alone,0.2,0,0,0,0,0,0,0,CC252,0,0,0,0,15.0,,full,13.43,-42.75,0.314,0.804,160,60.0,88.23,-15.82,46.608,659,-35.4,-10.5,9,7.7,0.929,True,18.8,71.9,0.0,0.0,0,17356172,1053768
