label,n,total_pnl,top10_pnl,top10_share,pnl_ex_top10,mean_ret,mean_ret_cap50,mean_ret_cap100,worst_mae,med_mae,p95_hold_d
AX_slots100_L252_close_ST_14_4,1563,26292906,7754980,29.5,18537926,6.744,4.107,5.562,-33.7,-4.8,279
AX_slots100_L378_close_ST_14_4,1404,22060982,6741101,30.6,15319881,6.502,4.039,5.449,-33.7,-4.9,281
AX_slots100_L126_high_ST_14_4,1664,28827008,8340452,28.9,20486556,6.961,3.9,5.544,-37.8,-5.5,276
AX_slots15_L252_close_ST_14_4,771,253542192,133174400,52.5,120367792,7.999,5.012,6.67,-33.7,-5.3,276
AX_buf1_L252_close_ST_14_4,891,177982784,82233960,46.2,95748824,7.845,5.005,6.539,-33.7,-5.2,274
AX_buf1_L378_close_ST_14_4,851,174386528,76395408,43.8,97991120,8.042,5.257,6.836,-33.7,-5.1,288
SPEC_A,144,165597520,97751160,59.0,67846360,54.679,19.822,31.732,-59.2,-10.3,1701
