label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
N1_plain_01,null3,n100,252,close,,,,ST_14_4,20,none,15.0,1,full,True,13.82,-35.72,0.387,0.903,145366387.0,20.69,2718,43.9,11.18,-4.09,2.614,3,-34.3,-1.0,22,131.4,,,0.754
N1_plain_02,null3,n100,252,close,,,,ST_14_4,20,none,15.0,2,full,True,11.91,-38.61,0.308,0.73,102590314.0,20.69,2921,42.3,10.7,-4.15,2.131,3,-29.2,-1.0,19,141.2,,,0.747
N1_plain_03,null3,n100,252,close,,,,ST_14_4,20,none,15.0,3,full,True,13.88,-40.24,0.345,0.891,147126297.0,20.69,2750,42.0,11.73,-4.08,2.565,3,-30.7,-1.1,14,132.9,,,0.753
N1_plain_04,null3,n100,252,close,,,,ST_14_4,20,none,15.0,4,full,True,14.02,-38.14,0.368,0.872,150613496.0,20.69,2784,42.3,11.83,-4.12,2.62,3,-35.2,-1.0,15,134.6,,,0.748
N1_plain_05,null3,n100,252,close,,,,ST_14_4,20,none,15.0,5,full,True,12.53,-31.72,0.395,0.755,115147009.0,20.69,2858,42.6,10.44,-4.0,2.155,3,-25.6,-1.0,14,138.1,,,0.754
N1_plain_06,null3,n100,252,close,,,,ST_14_4,20,none,15.0,6,full,True,13.42,-36.82,0.364,0.791,135389921.0,20.69,2770,43.5,10.75,-4.06,2.379,3,-33.7,-1.0,13,133.9,,,0.749
N1_plain_07,null3,n100,252,close,,,,ST_14_4,20,none,15.0,7,full,True,14.88,-36.84,0.404,0.932,176146579.0,20.69,2647,42.7,12.05,-4.0,2.847,3,-33.7,-1.1,15,127.9,,,0.752
N1_plain_08,null3,n100,252,close,,,,ST_14_4,20,none,15.0,8,full,True,14.12,-35.49,0.398,0.863,153537328.0,20.69,2784,42.2,11.68,-4.02,2.615,3,-33.7,-1.1,18,134.6,,,0.756
N1_plain_09,null3,n100,252,close,,,,ST_14_4,20,none,15.0,9,full,True,15.4,-28.92,0.533,0.959,193319066.0,20.69,2644,41.4,12.89,-4.05,2.97,3,-26.9,-1.1,20,127.8,,,0.763
N1_plain_10,null3,n100,252,close,,,,ST_14_4,20,none,15.0,10,full,True,12.07,-36.54,0.33,0.739,105718297.0,20.69,2812,42.1,10.62,-4.02,2.138,3,-32.6,-1.1,14,135.9,,,0.753
N1_plain_11,null3,n100,252,close,,,,ST_14_4,20,none,15.0,11,full,True,14.25,-27.94,0.51,0.889,156979101.0,20.69,2728,43.8,10.96,-3.94,2.59,3,-31.3,-1.0,14,131.9,,,0.749
N1_plain_12,null3,n100,252,close,,,,ST_14_4,20,none,15.0,12,full,True,13.3,-37.85,0.351,0.857,132125416.0,20.69,2721,41.7,11.54,-4.09,2.436,3,-34.5,-1.0,18,131.5,,,0.753
N1_plain_13,null3,n100,252,close,,,,ST_14_4,20,none,15.0,13,full,True,13.01,-30.59,0.425,0.82,125406820.0,20.69,2776,43.2,10.98,-4.22,2.343,3,-33.7,-1.0,19,134.2,,,0.75
N1_plain_14,null3,n100,252,close,,,,ST_14_4,20,none,15.0,14,full,True,14.44,-31.32,0.461,0.909,162702217.0,20.69,2769,42.9,11.36,-3.96,2.609,3,-28.0,-0.9,16,133.8,,,0.752
N1_plain_15,null3,n100,252,close,,,,ST_14_4,20,none,15.0,15,full,True,16.29,-41.3,0.394,0.931,226983904.0,20.69,2706,42.8,12.56,-4.08,3.05,3,-34.4,-1.0,15,130.8,,,0.76
N1_plain_16,null3,n100,252,close,,,,ST_14_4,20,none,15.0,16,full,True,14.26,-34.83,0.409,0.905,157613472.0,20.69,2774,42.0,11.68,-4.0,2.59,3,-34.4,-1.0,19,134.1,,,0.753
N1_plain_17,null3,n100,252,close,,,,ST_14_4,20,none,15.0,17,full,True,14.0,-38.64,0.362,0.904,150488224.0,20.69,2854,43.4,10.82,-3.95,2.454,3,-32.8,-1.0,15,137.9,,,0.749
N1_plain_18,null3,n100,252,close,,,,ST_14_4,20,none,15.0,18,full,True,14.22,-34.26,0.415,0.868,156519808.0,20.69,2869,42.5,11.17,-3.91,2.506,3,-30.5,-0.9,14,138.7,,,0.754
N1_plain_19,null3,n100,252,close,,,,ST_14_4,20,none,15.0,19,full,True,14.1,-31.73,0.444,0.866,153004879.0,20.69,2777,42.9,11.13,-3.95,2.522,3,-27.0,-1.1,16,134.2,,,0.752
N1_plain_20,null3,n100,252,close,,,,ST_14_4,20,none,15.0,20,full,True,13.53,-35.81,0.378,0.87,138026307.0,20.69,2702,41.1,11.99,-4.08,2.521,3,-31.6,-1.2,23,130.6,,,0.758
N1_plain_21,null3,n100,252,close,,,,ST_14_4,20,none,15.0,21,full,True,14.39,-34.13,0.422,0.903,161204904.0,20.69,2718,43.2,11.44,-3.98,2.674,3,-30.7,-1.0,26,131.4,,,0.749
N1_plain_22,null3,n100,252,close,,,,ST_14_4,20,none,15.0,22,full,True,15.57,-36.27,0.429,0.969,199173618.0,20.69,2788,41.8,12.57,-4.03,2.904,3,-29.9,-1.0,15,134.8,,,0.755
N1_plain_23,null3,n100,252,close,,,,ST_14_4,20,none,15.0,23,full,True,12.15,-35.52,0.342,0.781,107179960.0,20.69,2752,42.4,10.86,-4.17,2.201,3,-33.7,-1.1,17,133.0,,,0.758
N1_plain_24,null3,n100,252,close,,,,ST_14_4,20,none,15.0,24,full,True,13.37,-36.05,0.371,0.834,133844345.0,20.69,2784,44.0,10.66,-4.18,2.355,3,-35.0,-1.0,17,134.6,,,0.756
N1_plain_25,null3,n100,252,close,,,,ST_14_4,20,none,15.0,25,full,True,13.78,-33.96,0.406,0.899,144514464.0,20.69,2707,43.3,10.87,-3.99,2.449,3,-34.5,-1.0,18,130.8,,,0.758
N1_plain_26,null3,n100,252,close,,,,ST_14_4,20,none,15.0,26,full,True,13.3,-33.43,0.398,0.827,132388146.0,20.69,2735,42.2,11.05,-3.87,2.422,3,-26.5,-1.0,17,132.2,,,0.754
N1_plain_27,null3,n100,252,close,,,,ST_14_4,20,none,15.0,27,full,True,12.16,-36.28,0.335,0.795,107238328.0,20.69,2848,42.6,10.53,-4.06,2.161,3,-31.2,-1.0,16,137.7,,,0.754
N1_plain_28,null3,n100,252,close,,,,ST_14_4,20,none,15.0,28,full,True,12.83,-36.43,0.352,0.823,121310770.0,20.69,2763,42.9,10.95,-4.11,2.349,3,-31.3,-1.0,16,133.5,,,0.752
N1_plain_29,null3,n100,252,close,,,,ST_14_4,20,none,15.0,29,full,True,14.96,-35.64,0.42,0.942,178569216.0,20.69,2746,41.8,12.01,-3.94,2.727,3,-35.2,-1.1,15,132.7,,,0.758
N1_plain_30,null3,n100,252,close,,,,ST_14_4,20,none,15.0,30,full,True,14.37,-40.24,0.357,0.897,160919942.0,20.69,2831,42.7,11.24,-3.97,2.528,3,-34.2,-1.0,18,136.8,,,0.758
N2_trend_01,null3,n100,252,close,,,,ST_14_4,20,none,15.0,1,full,True,15.65,-32.42,0.483,1.005,202515967.0,20.69,1203,41.9,25.78,-7.27,6.577,67,-24.9,-4.8,22,58.1,,,0.806
